system,energy
S22x5/01-0.9,-9.3996752584
S22x5/01-1.0,-11.6371783235
S22x5/01-1.2,-9.9742327222
S22x5/01-1.5,-5.4967152991
S22x5/01-2.0,-1.8088306354
S22x5/02-0.9,15.0336116939
S22x5/02-1.0, 3.5295813427
S22x5/02-1.2,-0.9172508044
S22x5/02-1.5,-0.8819305551
S22x5/02-2.0,-0.5096736745
S22x5/03-0.9,-0.9052380767
S22x5/03-1.0,-1.9646443127
S22x5/03-1.2,-1.6677565909
S22x5/03-1.5,-0.8131853862
S22x5/03-2.0,-0.2991256088
S22x5/04-0.9,-3.5196053853
S22x5/04-1.0,-4.3842131021
S22x5/04-1.2,-3.6932119055
S22x5/04-1.5,-2.1093364513
S22x5/04-2.0,-0.8898108818
S22x5/05-0.9, 1.5547880683
S22x5/05-1.0, 0.6537640314
S22x5/05-1.2, 0.2070706591
S22x5/05-1.5, 0.0419655746
S22x5/05-2.0, 0.0009942888
S22x5/06-0.9, 3.2118390966
S22x5/06-1.0, 1.0590088969
S22x5/06-1.2, 0.2793351522
S22x5/06-1.5, 0.0723947013
S22x5/06-2.0, 0.0031438852
S22x5/07-0.9, 0.3183619117
S22x5/07-1.0,-0.3442306760
S22x5/07-1.2,-0.4390297245
S22x5/07-1.5,-0.2228308733
S22x5/07-2.0,-0.0889095584
S22x5/08-0.9,-13.0367395614
S22x5/08-1.0,-15.8404911118
S22x5/08-1.2,-13.7839959784
S22x5/08-1.5,-8.1214700858
S22x5/08-2.0,-3.1594743722
S22x5/09-0.9,-10.3637259076
S22x5/09-1.0,-12.7509551805
S22x5/09-1.2,-11.2940762860
S22x5/09-1.5,-6.9615158105
S22x5/09-2.0,-3.1160471398
S22x5/10-0.9, 0.2011885736
S22x5/10-1.0,-0.8659647688
S22x5/10-1.2,-1.1213950103
S22x5/10-1.5,-0.7202069308
S22x5/10-2.0,-0.3271435930
S22x5/11-0.9, 1.5587571912
S22x5/11-1.0, 0.3555469936
S22x5/11-1.2,-0.2331818304
S22x5/11-1.5,-0.2127917885
S22x5/11-2.0,-0.1190091798
S22x5/12-0.9, 2.6750059964
S22x5/12-1.0, 1.3026802384
S22x5/12-1.2, 0.4139632939
S22x5/12-1.5, 0.1547545040
S22x5/12-2.0, 0.0229323965
S22x5/13-0.9, 3.7641238018
S22x5/13-1.0, 1.7520030636
S22x5/13-1.2, 0.3898084462
S22x5/13-1.5, 0.0647058277
S22x5/13-2.0,-0.0271709092
S22x5/14-0.9,11.2257011594
S22x5/14-1.0, 4.6766220377
S22x5/14-1.2, 1.2888435290
S22x5/14-1.5, 0.3728061397
S22x5/14-2.0, 0.0539344393
S22x5/15-0.9, 3.0274159446
S22x5/15-1.0, 0.5044139528
S22x5/15-1.2,-0.9937752709
S22x5/15-1.5,-0.9040002515
S22x5/15-2.0,-0.4965179383
S22x5/16-0.9,13.8513264272
S22x5/16-1.0, 5.9317201152
S22x5/16-1.2, 1.7572150946
S22x5/16-1.5, 0.6846193625
S22x5/16-2.0, 0.1900185284
S22x5/17-0.9,10.3291505748
S22x5/17-1.0, 3.5306224436
S22x5/17-1.2, 0.5062528692
S22x5/17-1.5, 0.0470479620
S22x5/17-2.0,-0.0347906313
S22x5/18-0.9,-10.4776596653
S22x5/18-1.0,-12.7579913815
S22x5/18-1.2,-11.1539933928
S22x5/18-1.5,-6.5904440443
S22x5/18-2.0,-2.6390721056
S22x5/19-0.9,-0.3759171434
S22x5/19-1.0,-1.9977658314
S22x5/19-1.2,-2.3014382484
S22x5/19-1.5,-1.4240814843
S22x5/19-2.0,-0.6276679832
S22x5/20-0.9, 9.0416218665
S22x5/20-1.0, 0.7507011930
S22x5/20-1.2,-1.5930928781
S22x5/20-1.5,-1.0410485089
S22x5/20-2.0,-0.5044129487
S22x5/21-0.9,-13.9367583281
S22x5/21-1.0,-16.4118983526
S22x5/21-1.2,-14.2987989152
S22x5/21-1.5,-8.7781977189
S22x5/21-2.0,-3.8490043729
S22x5/22-0.9, 0.4217887135
S22x5/22-1.0,-1.0406436399
S22x5/22-1.2,-1.5536612495
S22x5/22-1.5,-1.0726473761
S22x5/22-2.0,-0.5423475907
S66x8/01-090,-3.9734288340
S66x8/01-095,-4.3589010642
S66x8/01-100,-4.4326275288
S66x8/01-105,-4.3163843480
S66x8/01-110,-4.0920295679
S66x8/01-125,-3.2120294202
S66x8/01-150,-1.9938154711
S66x8/01-200,-0.8929593478
S66x8/02-090,-3.8298881125
S66x8/02-095,-4.3355162961
S66x8/02-100,-4.4847938974
S66x8/02-105,-4.4122442013
S66x8/02-110,-4.2090240030
S66x8/02-125,-3.3218819190
S66x8/02-150,-2.0341832810
S66x8/02-200,-0.8697261233
S66x8/03-090,-5.6563298013
S66x8/03-095,-6.1301049765
S66x8/03-100,-6.2180348043
S66x8/03-105,-6.0619081881
S66x8/03-110,-5.7594676350
S66x8/03-125,-4.5380004258
S66x8/03-150,-2.7586413376
S66x8/03-200,-1.0938596436
S66x8/04-090,-5.3696554865
S66x8/04-095,-5.9787193198
S66x8/04-100,-6.1738409435
S66x8/04-105,-6.1043082502
S66x8/04-110,-5.8721266072
S66x8/04-125,-4.7907642541
S66x8/04-150,-3.1003759064
S66x8/04-200,-1.2582922262
S66x8/05-090,-3.4846035971
S66x8/05-095,-4.0811077655
S66x8/05-100,-4.2996308490
S66x8/05-105,-4.2793956138
S66x8/05-110,-4.1145191937
S66x8/05-125,-3.2865156733
S66x8/05-150,-2.0106186060
S66x8/05-200,-0.8228935225
S66x8/06-090,-4.7449743857
S66x8/06-095,-5.4933365371
S66x8/06-100,-5.7799501090
S66x8/06-105,-5.7647823892
S66x8/06-110,-5.5641702458
S66x8/06-125,-4.4947703568
S66x8/06-150,-2.7615070479
S66x8/06-200,-1.0738360045
S66x8/07-090,-4.8293845756
S66x8/07-095,-5.5710111659
S66x8/07-100,-5.8653535837
S66x8/07-105,-5.8686498282
S66x8/07-110,-5.6885781407
S66x8/07-125,-4.6859904404
S66x8/07-150,-2.7879051792
S66x8/07-200,-0.8864038191
S66x8/08-090,-3.6161890081
S66x8/08-095,-4.0842690327
S66x8/08-100,-4.2202146933
S66x8/08-105,-4.1501000477
S66x8/08-110,-3.9592608623
S66x8/08-125,-3.1309026736
S66x8/08-150,-1.9269287970
S66x8/08-200,-0.8221861311
S66x8/09-090,-0.6468529558
S66x8/09-095,-1.1407319658
S66x8/09-100,-1.3717144382
S66x8/09-105,-1.4431122779
S66x8/09-110,-1.4195813002
S66x8/09-125,-1.1412953438
S66x8/09-150,-0.7018230368
S66x8/09-200,-0.3398987271
S66x8/10-090,-0.5455583057
S66x8/10-095,-1.3009149287
S66x8/10-100,-1.6805867124
S66x8/10-105,-1.8223070289
S66x8/10-110,-1.8184182899
S66x8/10-125,-1.4605324429
S66x8/10-150,-0.7102545678
S66x8/10-200,-0.2498278997
S66x8/11-090,-0.4172084591
S66x8/11-095,-1.2983986158
S66x8/11-100,-1.7795479057
S66x8/11-105,-1.9990729964
S66x8/11-110,-2.0525913342
S66x8/11-125,-1.5276825455
S66x8/11-150,-0.7421353749
S66x8/11-200,-0.3318065532
S66x8/12-090,-5.0795475654
S66x8/12-095,-5.7051886302
S66x8/12-100,-5.8955697964
S66x8/12-105,-5.8076977622
S66x8/12-110,-5.5499323069
S66x8/12-125,-4.3860872219
S66x8/12-150,-2.6243666093
S66x8/12-200,-0.9757786130
S66x8/13-090,-2.1890477247
S66x8/13-095,-2.9576500060
S66x8/13-100,-3.3369376283
S66x8/13-105,-3.4637712866
S66x8/13-110,-3.4313070211
S66x8/13-125,-2.9193900631
S66x8/13-150,-1.9562526912
S66x8/13-200,-0.9808951998
S66x8/14-090,-3.0981922990
S66x8/14-095,-3.9851441221
S66x8/14-100,-4.4209352703
S66x8/14-105,-4.5581979477
S66x8/14-110,-4.5024722826
S66x8/14-125,-3.8174801794
S66x8/14-150,-2.5017597922
S66x8/14-200,-1.1294628996
S66x8/15-090,-3.1909297279
S66x8/15-095,-4.1108635745
S66x8/15-100,-4.5810544156
S66x8/15-105,-4.7524437565
S66x8/15-110,-4.7302426595
S66x8/15-125,-4.1262519266
S66x8/15-150,-2.8698329416
S66x8/15-200,-1.3201646604
S66x8/16-090,-2.8576723100
S66x8/16-095,-3.4039261473
S66x8/16-100,-3.6248808928
S66x8/16-105,-3.6411063425
S66x8/16-110,-3.5338142706
S66x8/16-125,-2.9235609303
S66x8/16-150,-1.9473402369
S66x8/16-200,-0.9885939880
S66x8/17-090,-11.3266390704
S66x8/17-095,-12.8673608235
S66x8/17-100,-13.4687645232
S66x8/17-105,-13.4492580146
S66x8/17-110,-13.0316331403
S66x8/17-125,-10.7246155169
S66x8/17-150,-6.7950071128
S66x8/17-200,-2.7300777965
S66x8/18-090,-5.3977231695
S66x8/18-095,-5.8938736383
S66x8/18-100,-6.0009701155
S66x8/18-105,-5.8623921155
S66x8/18-110,-5.5769116375
S66x8/18-125,-4.4055586526
S66x8/18-150,-2.7000083584
S66x8/18-200,-1.1101528643
S66x8/19-090,-4.7227795639
S66x8/19-095,-5.4091149138
S66x8/19-100,-5.6542405085
S66x8/19-105,-5.6132207789
S66x8/19-110,-5.5520782638
S66x8/19-125,-4.3024825031
S66x8/19-150,-2.7534682750
S66x8/19-200,-1.0855901982
S66x8/20-090,-14.1940623129
S66x8/20-095,-15.8425307059
S66x8/20-100,-16.4073342879
S66x8/20-105,-16.2652247273
S66x8/20-110,-15.6787064936
S66x8/20-125,-12.7235369698
S66x8/20-150,-7.9585260184
S66x8/20-200,-3.0606484071
S66x8/21-090,-11.1533471835
S66x8/21-095,-12.5718000961
S66x8/21-100,-13.0989071760
S66x8/21-105,-13.0435103259
S66x8/21-110,-12.6200034287
S66x8/21-125,-10.4133814226
S66x8/21-150,-6.7571004577
S66x8/21-200,-2.6362058933
S66x8/22-090,-14.0129773231
S66x8/22-095,-15.6208209410
S66x8/22-100,-16.2151886906
S66x8/22-105,-16.1368533571
S66x8/22-110,-15.6257952085
S66x8/22-125,-12.9480779320
S66x8/22-150,-8.3957072883
S66x8/22-200,-3.5288839914
S66x8/23-090,-13.4669209631
S66x8/23-095,-15.0031233303
S66x8/23-100,-15.6187703027
S66x8/23-105,-15.6152279489
S66x8/23-110,-15.2067899388
S66x8/23-125,-12.8695817051
S66x8/23-150,-8.7132022329
S66x8/23-200,-4.0380789388
S66x8/24-090,10.7686208738
S66x8/24-095, 6.8916232405
S66x8/24-100, 4.5639818908
S66x8/24-105, 3.1469964090
S66x8/24-110, 2.2674645089
S66x8/24-125, 1.0411253161
S66x8/24-150, 0.3707063047
S66x8/24-200, 0.0498180399
S66x8/25-090,10.0305560901
S66x8/25-095, 6.2217131393
S66x8/25-100, 3.8952977549
S66x8/25-105, 2.4904458591
S66x8/25-110, 1.6375715027
S66x8/25-125, 0.5539661797
S66x8/25-150, 0.0798285550
S66x8/25-200,-0.0646167841
S66x8/26-090, 6.9363440210
S66x8/26-095, 3.0178503785
S66x8/26-100, 0.7505728046
S66x8/26-105,-0.5157781493
S66x8/26-110,-1.1641856343
S66x8/26-125,-1.5519822224
S66x8/26-150,-1.1416266060
S66x8/26-200,-0.6122149348
S66x8/27-090,10.6135507325
S66x8/27-095, 6.5443246080
S66x8/27-100, 4.1506257123
S66x8/27-105, 2.7265289795
S66x8/27-110, 1.8667121093
S66x8/27-125, 0.7575584283
S66x8/27-150, 0.2057863983
S66x8/27-200,-0.0130919184
S66x8/28-090,10.2097963276
S66x8/28-095, 6.2678663356
S66x8/28-100, 3.8728541882
S66x8/28-105, 2.4356898843
S66x8/28-110, 1.5789209531
S66x8/28-125, 0.5762159086
S66x8/28-150, 0.2332994256
S66x8/28-200, 0.0846062866
S66x8/29-090,10.3967261289
S66x8/29-095, 5.3417805117
S66x8/29-100, 2.5556044348
S66x8/29-105, 1.0487364414
S66x8/29-110, 0.2433921626
S66x8/29-125,-0.4686356216
S66x8/29-150,-0.4840231578
S66x8/29-200,-0.2931138797
S66x8/30-090, 6.0262889933
S66x8/30-095, 4.0489700560
S66x8/30-100, 2.8348668587
S66x8/30-105, 2.0784503722
S66x8/30-110, 1.5940537834
S66x8/30-125, 0.8705899529
S66x8/30-150, 0.4012452456
S66x8/30-200, 0.0915466042
S66x8/31-090, 4.5173515990
S66x8/31-095, 2.7207621674
S66x8/31-100, 1.6292160885
S66x8/31-105, 0.9656962300
S66x8/31-110, 0.5692870117
S66x8/31-125, 0.1031147413
S66x8/31-150,-0.0398371252
S66x8/31-200,-0.0515945820
S66x8/32-090, 3.6500364298
S66x8/32-095, 1.8648912651
S66x8/32-100, 0.8250525316
S66x8/32-105, 0.2389865440
S66x8/32-110,-0.0755567215
S66x8/32-125,-0.3134899282
S66x8/32-150,-0.2193604950
S66x8/32-200,-0.0817346778
S66x8/33-090, 5.3103602338
S66x8/33-095, 3.5515252862
S66x8/33-100, 2.4452925364
S66x8/33-105, 1.7470762985
S66x8/33-110, 1.2979459304
S66x8/33-125, 0.6523469268
S66x8/33-150, 0.2748978445
S66x8/33-200, 0.0352864265
S66x8/34-090, 6.9450500247
S66x8/34-095, 4.6561799125
S66x8/34-100, 3.2331871571
S66x8/34-105, 2.3272301428
S66x8/34-110, 1.7516652125
S66x8/34-125, 0.9071231152
S66x8/34-150, 0.3163393232
S66x8/34-200,-0.0746768277
S66x8/35-090, 5.1278358000
S66x8/35-095, 3.3244540176
S66x8/35-100, 2.2711191869
S66x8/35-105, 1.6352441328
S66x8/35-110, 1.2446502330
S66x8/35-125, 0.6763230598
S66x8/35-150, 0.2895483709
S66x8/35-200, 0.0238685151
S66x8/36-090, 3.3300692862
S66x8/36-095, 2.3676695516
S66x8/36-100, 1.7679982174
S66x8/36-105, 1.3776770332
S66x8/36-110, 1.1195117289
S66x8/36-125, 0.7041866140
S66x8/36-150, 0.4006877034
S66x8/36-200, 0.2034952984
S66x8/37-090, 4.9999541382
S66x8/37-095, 3.2143266696
S66x8/37-100, 2.1533581862
S66x8/37-105, 1.5089105996
S66x8/37-110, 1.0960295086
S66x8/37-125, 0.4956970932
S66x8/37-150, 0.1199212021
S66x8/37-200,-0.1461585655
S66x8/38-090, 5.2562512213
S66x8/38-095, 3.5801986414
S66x8/38-100, 2.4277260361
S66x8/38-105, 1.7283463330
S66x8/38-110, 1.2998657329
S66x8/38-125, 0.7213577205
S66x8/38-150, 0.3419808036
S66x8/38-200, 0.0665877914
S66x8/39-090, 7.2994144767
S66x8/39-095, 4.6975096946
S66x8/39-100, 3.0560972692
S66x8/39-105, 2.0328312492
S66x8/39-110, 1.4218200657
S66x8/39-125, 0.6298979008
S66x8/39-150, 0.2366926204
S66x8/39-200, 0.0067747178
S66x8/40-090, 5.8020361835
S66x8/40-095, 3.7466011646
S66x8/40-100, 2.5022780523
S66x8/40-105, 1.7379703203
S66x8/40-110, 1.2704857394
S66x8/40-125, 0.6550159756
S66x8/40-150, 0.3537313577
S66x8/40-200, 0.1838935967
S66x8/41-090, 7.7030827874
S66x8/41-095, 5.0658369854
S66x8/41-100, 3.4149442723
S66x8/41-105, 2.3793259166
S66x8/41-110, 1.6160558343
S66x8/41-125, 0.7206490113
S66x8/41-150, 0.2673986669
S66x8/41-200, 0.0233454860
S66x8/42-090, 7.2478442421
S66x8/42-095, 4.6297151398
