system,B3LYP/def2-QZVP/Q-Chem
S22x5/01-A,-467.5325917441
S22x5/01-B,-454.3545965534
S22x5/01-0.9,-921.9050542362
S22x5/01-1.0,-921.9079978558
S22x5/01-1.2,-921.9044494394
S22x5/01-1.5,-921.8965851666
S22x5/01-2.0,-921.8903109672
S22x5/02-A,-467.5320992452
S22x5/02-B,-454.3556647338
S22x5/02-0.9,-921.8700164271
S22x5/02-1.0,-921.8859180034
S22x5/02-1.2,-921.8907872268
S22x5/02-1.5,-921.8895715893
S22x5/02-2.0,-921.888648522
S22x5/03-A,-56.5935270427
S22x5/03-B,-56.5935270427
S22x5/03-0.9,-113.1893146034
S22x5/03-1.0,-113.1907596887
S22x5/03-1.2,-113.190070396
S22x5/03-1.5,-113.1885109507
S22x5/03-2.0,-113.1875942351
S22x5/04-A,-76.4728044055
S22x5/04-B,-76.4728313991
S22x5/04-0.9,-152.9521631594
S22x5/04-1.0,-152.9532839517
S22x5/04-1.2,-152.9518865507
S22x5/04-1.5,-152.949162556
S22x5/04-2.0,-152.947109181
S22x5/05-A,-40.5422703968
S22x5/05-B,-40.5422703968
S22x5/05-0.9,-81.0827958232
S22x5/05-1.0,-81.0839197815
S22x5/05-1.2,-81.0843604476
S22x5/05-1.5,-81.0844952535
S22x5/05-2.0,-81.0845385498
S22x5/06-A,-78.6306563594
S22x5/06-B,-78.6306563594
S22x5/06-0.9,-157.2577544809
S22x5/06-1.0,-157.2605784998
S22x5/06-1.2,-157.2612575122
S22x5/06-1.5,-157.2612622878
S22x5/06-2.0,-157.2613125195
S22x5/07-A,-78.6306116956
S22x5/07-B,-77.3705331526
S22x5/07-0.9,-156.0013571794
S22x5/07-1.0,-156.0022327811
S22x5/07-1.2,-156.0021189135
S22x5/07-1.5,-156.0016189867
S22x5/07-2.0,-156.0013107522
S22x5/08-A,-189.8599035488
S22x5/08-B,-189.8599035488
S22x5/08-0.9,-379.7443752122
S22x5/08-1.0,-379.7479006033
S22x5/08-1.2,-379.7434534112
S22x5/08-1.5,-379.7335476454
S22x5/08-2.0,-379.7251641038
S22x5/09-A,-169.9838484648
S22x5/09-B,-169.9838484648
S22x5/09-0.9,-339.9872931579
S22x5/09-1.0,-339.9904451874
S22x5/09-1.2,-339.9871168166
S22x5/09-1.5,-339.9794926636
S22x5/09-2.0,-339.9729418525
S22x5/10-A,-232.3541152836
S22x5/10-B,-76.472711478
S22x5/10-0.9,-308.8277966955
S22x5/10-1.0,-308.8292738081
S22x5/10-1.2,-308.8291830278
S22x5/10-1.5,-308.8281963066
S22x5/10-2.0,-308.8274010997
S22x5/11-A,-232.35414946
S22x5/11-B,-56.593440761
S22x5/11-0.9,-288.9463245585
S22x5/11-1.0,-288.948036635
S22x5/11-1.2,-288.9484074201
S22x5/11-1.5,-288.9481152712
S22x5/11-2.0,-288.9478388718
S22x5/12-A,-232.3540745448
S22x5/12-B,-40.5422666658
S22x5/12-0.9,-272.8932356218
S22x5/12-1.0,-272.8951724192
S22x5/12-1.2,-272.896197077
S22x5/12-1.5,-272.8962943294
S22x5/12-2.0,-272.896339199
S22x5/13-A,-232.3540730629
S22x5/13-B,-232.3540722887
S22x5/13-0.9,-464.7040184963
S22x5/13-1.0,-464.7065749829
S22x5/13-1.2,-464.7082556804
S22x5/13-1.5,-464.7083306529
S22x5/13-2.0,-464.7082710843
S22x5/14-A,-232.3541180345
S22x5/14-B,-232.3541180345
S22x5/14-0.9,-464.6924253984
S22x5/14-1.0,-464.7025130503
S22x5/14-1.2,-464.7065922266
S22x5/14-1.5,-464.7075590798
S22x5/14-2.0,-464.7078725341
S22x5/15-A,-232.3540014371
S22x5/15-B,-363.979873294
S22x5/15-0.9,-596.3315912927
S22x5/15-1.0,-596.3350202434
S22x5/15-1.2,-596.3367581776
S22x5/15-1.5,-596.3360776484
S22x5/15-2.0,-596.3349360892
S22x5/16-A,-232.3540124668
S22x5/16-B,-363.9799103234
S22x5/16-0.9,-596.3155067855
S22x5/16-1.0,-596.3265178502
S22x5/16-1.2,-596.3319772456
S22x5/16-1.5,-596.3331210904
S22x5/16-2.0,-596.3337073126
S22x5/17-A,-264.4340814648
S22x5/17-B,-264.4341444533
S22x5/17-0.9,-528.8544855568
S22x5/17-1.0,-528.8643906006
S22x5/17-1.2,-528.8681856794
S22x5/17-1.5,-528.8683844983
S22x5/17-2.0,-528.8683321977
S22x5/18-A,-323.6713720023
S22x5/18-B,-303.7920776576
S22x5/18-0.9,-627.4826077859
S22x5/18-1.0,-627.4856863964
S22x5/18-1.2,-627.482349801
S22x5/18-1.5,-627.4744594001
S22x5/18-2.0,-627.4678224394
S22x5/19-A,-307.6151873535
S22x5/19-B,-307.6151206336
S22x5/19-0.9,-615.233417675
S22x5/19-1.0,-615.2353063729
S22x5/19-1.2,-615.2353395298
S22x5/19-1.5,-615.2333722798
S22x5/19-2.0,-615.2317241142
S22x5/20-A,-415.0190111725
S22x5/20-B,-415.0190111726
S22x5/20-0.9,-830.0281157111
S22x5/20-1.0,-830.0400290817
S22x5/20-1.2,-830.0417286917
S22x5/20-1.5,-830.0400198565
