system,cam-B3LYP(w=150)/def2-QZVP/Q-Chem
S22x5/01-A,-467.4443427352
S22x5/01-B,-454.2685694913
S22x5/01-0.9,-921.7357302977
S22x5/01-1.0,-921.7377488316
S22x5/01-1.2,-921.7327894358
S22x5/01-1.5,-921.723540714
S22x5/01-2.0,-921.7163257745
S22x5/02-A,-467.4437545458
S22x5/02-B,-454.2695613218
S22x5/02-0.9,-921.7066199968
S22x5/02-1.0,-921.718950343
S22x5/02-1.2,-921.7192774177
S22x5/02-1.5,-921.7156904067
S22x5/02-2.0,-921.7142343426
S22x5/03-A,-56.5700013703
S22x5/03-B,-56.5700013703
S22x5/03-0.9,-113.1443167452
S22x5/03-1.0,-113.1452185744
S22x5/03-1.2,-113.1437429925
S22x5/03-1.5,-113.141667227
S22x5/03-2.0,-113.140560635
S22x5/04-A,-76.4553780562
S22x5/04-B,-76.4554026171
S22x5/04-0.9,-152.9193715785
S22x5/04-1.0,-152.9200511433
S22x5/04-1.2,-152.9179746741
S22x5/04-1.5,-152.9146755537
S22x5/04-2.0,-152.9123206924
S22x5/05-A,-40.5122506038
S22x5/05-B,-40.5122506038
S22x5/05-0.9,-81.024141155
S22x5/05-1.0,-81.0246430309
S22x5/05-1.2,-81.0245097229
S22x5/05-1.5,-81.0244806035
S22x5/05-2.0,-81.0244997493
S22x5/06-A,-78.5927965193
S22x5/06-B,-78.5927965193
S22x5/06-0.9,-157.1848453362
S22x5/06-1.0,-157.1866083066
S22x5/06-1.2,-157.186070297
S22x5/06-1.5,-157.1856188427
S22x5/06-2.0,-157.1855950282
S22x5/07-A,-78.5927590265
S22x5/07-B,-77.3417260294
S22x5/07-0.9,-155.9359397078
S22x5/07-1.0,-155.9364400337
S22x5/07-1.2,-155.9358485442
S22x5/07-1.5,-155.9350574658
S22x5/07-2.0,-155.9346638305
S22x5/08-A,-189.830170012
S22x5/08-B,-189.830170012
S22x5/08-0.9,-379.6897180123
S22x5/08-1.0,-379.6924865004
S22x5/08-1.2,-379.6867371304
S22x5/08-1.5,-379.6754755943
S22x5/08-2.0,-379.6660484707
S22x5/09-A,-169.9479714419
S22x5/09-B,-169.9479714419
S22x5/09-0.9,-339.9199048692
S22x5/09-1.0,-339.9222556502
S22x5/09-1.2,-339.9176604967
S22x5/09-1.5,-339.908791639
S22x5/09-2.0,-339.9014259748
S22x5/10-A,-232.2798492133
S22x5/10-B,-76.4552818408
S22x5/10-0.9,-308.7385547313
S22x5/10-1.0,-308.739370634
S22x5/10-1.2,-308.7384188781
S22x5/10-1.5,-308.7368141869
S22x5/10-2.0,-308.7357705893
S22x5/11-A,-232.2798824448
S22x5/11-B,-56.5699058127
S22x5/11-0.9,-288.8508230075
S22x5/11-1.0,-288.8518885253
S22x5/11-1.2,-288.8514521523
S22x5/11-1.5,-288.8505684024
S22x5/11-2.0,-288.8500674802
S22x5/12-A,-232.279854062
S22x5/12-B,-40.5122481765
S22x5/12-0.9,-272.7912300496
S22x5/12-1.0,-272.7925265284
S22x5/12-1.2,-272.7927012309
S22x5/12-1.5,-272.7922619754
S22x5/12-2.0,-272.7921249921
S22x5/13-A,-232.2798476506
S22x5/13-B,-232.2798441314
S22x5/13-0.9,-464.5585505178
S22x5/13-1.0,-464.5603926687
S22x5/13-1.2,-464.5609557825
S22x5/13-1.5,-464.5602578981
S22x5/13-2.0,-464.5598668959
S22x5/14-A,-232.2798627053
S22x5/14-B,-232.2798627052
S22x5/14-0.9,-464.549414094
S22x5/14-1.0,-464.5574211147
S22x5/14-1.2,-464.5593606282
S22x5/14-1.5,-464.5593240176
S22x5/14-2.0,-464.5594753437
S22x5/15-A,-232.2797603733
S22x5/15-B,-363.8830871622
S22x5/15-0.9,-596.1645112718
S22x5/15-1.0,-596.1670230926
S22x5/15-1.2,-596.1673743936
S22x5/15-1.5,-596.1656019763
S22x5/15-2.0,-596.164001576
S22x5/16-A,-232.2797877067
S22x5/16-B,-363.8831165452
S22x5/16-0.9,-596.1515186348
S22x5/16-1.0,-596.160375277
S22x5/16-1.2,-596.1629436555
S22x5/16-1.5,-596.1624810882
S22x5/16-2.0,-596.1626863699
S22x5/17-A,-264.3716534674
S22x5/17-B,-264.3716896754
S22x5/17-0.9,-528.7354546206
S22x5/17-1.0,-528.7433108091
S22x5/17-1.2,-528.7446855297
S22x5/17-1.5,-528.7437331606
S22x5/17-2.0,-528.7434693066
S22x5/18-A,-323.5990163428
S22x5/18-B,-303.7140973218
S22x5/18-0.9,-627.3368541473
S22x5/18-1.0,-627.3391347757
S22x5/18-1.2,-627.3344779822
S22x5/18-1.5,-627.325287819
S22x5/18-2.0,-627.3177586346
S22x5/19-A,-307.5371623429
S22x5/19-B,-307.5370803815
S22x5/19-0.9,-615.0813588465
S22x5/19-1.0,-615.0825039748
S22x5/19-1.2,-615.0812942424
S22x5/19-1.5,-615.0781999766
S22x5/19-2.0,-615.075840818
S22x5/20-A,-414.9488698956
S22x5/20-B,-414.9488698956
S22x5/20-0.9,-829.8962181567
S22x5/20-1.0,-829.9050937336
S22x5/20-1.2,-829.9033746258
S22x5/20-1.5,-829.9000452485
S22x5/20-2.0,-829.8985889694
S22x5/21-A,-414.9481526674
S22x5/21-B,-414.9481526675
S22x5/21-0.9,-829.9264240274
S22x5/21-1.0,-829.9289727166
S22x5/21-1.2,-829.9230978898
S22x5/21-1.5,-829.9121823464
S22x5/21-2.0,-829.9029608282
S22x5/22-A,-232.2798142351
S22x5/22-B,-93.4461530791
S22x5/22-0.9,-325.7301006618
S22x5/22-1.0,-325.7313068642
S22x5/22-1.2,-325.7306016354
S22x5/22-1.5,-325.7285930074
S22x5/22-2.0,-325.7270750725
S66x8/01-A,-76.4553793579
S66x8/01-B,-76.4553792483
S66x8/01-090,-152.9197352799
S66x8/01-095,-152.9199946758
S66x8/01-100,-152.9198002432
S66x8/01-105,-152.9193392215
S66x8/01-110,-152.9187374574
S66x8/01-125,-152.9167654301
S66x8/01-150,-152.9142703406
S66x8/01-200,-152.9121496106
S66x8/02-A,-76.4553886402
S66x8/02-B,-115.7522879112
S66x8/02-090,-192.2170261186
S66x8/02-095,-192.2174089443
S66x8/02-100,-192.217274751
S66x8/02-105,-192.2168313472
S66x8/02-110,-192.2162161764
S66x8/02-125,-192.2141112346
S66x8/02-150,-192.2113795606
S66x8/02-200,-192.2090711318
S66x8/03-A,-76.455401756
S66x8/03-B,-95.8710604491
S66x8/03-090,-172.3382229834
S66x8/03-095,-172.3386290149
S66x8/03-100,-172.3384570971
S66x8/03-105,-172.3379307747
S66x8/03-110,-172.3372016018
S66x8/03-125,-172.3346580471
S66x8/03-150,-172.3312059495
S66x8/03-200,-172.3281114344
S66x8/04-A,-76.4554005535
S66x8/04-B,-248.5818670615
S66x8/04-090,-325.0502641339
S66x8/04-095,-325.0507312457
S66x8/04-100,-325.0505925441
S66x8/04-105,-325.0500815789
S66x8/04-110,-325.0493491732
S66x8/04-125,-325.0467236392
S66x8/04-150,-325.0430630864
S66x8/04-200,-325.0393058289
S66x8/05-A,-115.7521752448
S66x8/05-B,-115.7523106573
S66x8/05-090,-231.5135859954
S66x8/05-095,-231.5140996685
S66x8/05-100,-231.5140595941
S66x8/05-105,-231.5136838409
S66x8/05-110,-231.5131166425
S66x8/05-125,-231.5110804627
S66x8/05-150,-231.5083472709
S66x8/05-200,-231.5059705784
S66x8/06-A,-115.7519513549
S66x8/06-B,-95.8711109077
S66x8/06-090,-211.6346238289
S66x8/06-095,-211.6353383623
S66x8/06-100,-211.6353659596
S66x8/06-105,-211.634959036
S66x8/06-110,-211.6342920466
S66x8/06-125,-211.631782011
S66x8/06-150,-211.6282249847
S66x8/06-200,-211.6249545607
S66x8/07-A,-115.7520544249
S66x8/07-B,-248.5817130006
S66x8/07-090,-364.3463054464
S66x8/07-095,-364.3469712535
S66x8/07-100,-364.3469761948
S66x8/07-105,-364.3465648243
S66x8/07-110,-364.3458945937
S66x8/07-125,-364.3433430668
S66x8/07-150,-364.3392003935
S66x8/07-200,-364.3353407074
S66x8/08-A,-115.7521836545
S66x8/08-B,-76.4553848812
S66x8/08-090,-192.2162695747
S66x8/08-095,-192.2166468433
S66x8/08-100,-192.2165375017
S66x8/08-105,-192.2161371903
S66x8/08-110,-192.2155770117
S66x8/08-125,-192.2136612218
S66x8/08-150,-192.2111671166
S66x8/08-200,-192.2090139947
S66x8/09-A,-95.8710346143
S66x8/09-B,-115.7522902577
S66x8/09-090,-211.6274396844
S66x8/09-095,-211.6277632057
S66x8/09-100,-211.6277241654
S66x8/09-105,-211.6274877989
S66x8/09-110,-211.6271538394
S66x8/09-125,-211.6260434291
S66x8/09-150,-211.6247816892
S66x8/09-200,-211.6238968938
S66x8/10-A,-95.8710395119
S66x8/10-B,-95.8710650412
S66x8/10-090,-191.7471623132
S66x8/10-095,-191.747822826
S66x8/10-100,-191.7479362915
S66x8/10-105,-191.7477193188
S66x8/10-110,-191.7473261809
S66x8/10-125,-191.7458717121
S66x8/10-150,-191.7437383283
S66x8/10-200,-191.7426079834
S66x8/11-A,-95.8708680762
S66x8/11-B,-248.5818638066
S66x8/11-090,-344.4588717743
S66x8/11-095,-344.4596521797
S66x8/11-100,-344.4598594126
S66x8/11-105,-344.4596993242
S66x8/11-110,-344.459317582
S66x8/11-125,-344.4569061811
S66x8/11-150,-344.4545359682
S66x8/11-200,-344.4534692615
S66x8/12-A,-95.8710787178
S66x8/12-B,-76.4550889251
S66x8/12-090,-172.3382534057
S66x8/12-095,-172.3388171561
S66x8/12-100,-172.3387272125
S66x8/12-105,-172.3382342822
S66x8/12-110,-172.3375118296
S66x8/12-125,-172.3349248483
S66x8/12-150,-172.3313475401
S66x8/12-200,-172.328156923
S66x8/13-A,-248.5818481484
