system,cam-QTP-01(w=450)/def2-QZVP/Q-Chem
S22x5/01-A,-466.9452855868
S22x5/01-B,-453.8239500402
S22x5/01-0.9,-920.7930456162
S22x5/01-1.0,-920.7948839604
S22x5/01-1.2,-920.7897562641
S22x5/01-1.5,-920.7803196915
S22x5/01-2.0,-920.7728463736
S22x5/02-A,-466.9440806965
S22x5/02-B,-453.8251634217
S22x5/02-0.9,-920.767138099
S22x5/02-1.0,-920.7779679291
S22x5/02-1.2,-920.7765630902
S22x5/02-1.5,-920.7720717066
S22x5/02-2.0,-920.7702376927
S22x5/03-A,-56.5271305578
S22x5/03-B,-56.5271305578
S22x5/03-0.9,-113.0586567896
S22x5/03-1.0,-113.0596609461
S22x5/03-1.2,-113.0581704936
S22x5/03-1.5,-113.0560229358
S22x5/03-2.0,-113.0548289462
S22x5/04-A,-76.4044379918
S22x5/04-B,-76.4045188868
S22x5/04-0.9,-152.8180654226
S22x5/04-1.0,-152.8186044508
S22x5/04-1.2,-152.8164082763
S22x5/04-1.5,-152.813051666
S22x5/04-2.0,-152.8106101531
S22x5/05-A,-40.4788858605
S22x5/05-B,-40.4788858605
S22x5/05-0.9,-80.9578528075
S22x5/05-1.0,-80.9581998642
S22x5/05-1.2,-80.9578864334
S22x5/05-1.5,-80.9577747485
S22x5/05-2.0,-80.9577709036
S22x5/06-A,-78.5067992645
S22x5/06-B,-78.5067992645
S22x5/06-0.9,-157.0136381135
S22x5/06-1.0,-157.0151706759
S22x5/06-1.2,-157.0143241052
S22x5/06-1.5,-157.0136885987
S22x5/06-2.0,-157.0136039718
S22x5/07-A,-78.5067661558
S22x5/07-B,-77.2452453167
S22x5/07-0.9,-155.7536154322
S22x5/07-1.0,-155.7541535248
S22x5/07-1.2,-155.7535468589
S22x5/07-1.5,-155.7526670022
S22x5/07-2.0,-155.7522109686
S22x5/08-A,-189.6693583838
S22x5/08-B,-189.6693583838
S22x5/08-0.9,-379.3710929605
S22x5/08-1.0,-379.3730941175
S22x5/08-1.2,-379.3664661278
S22x5/08-1.5,-379.3546474002
S22x5/08-2.0,-379.3448035803
S22x5/09-A,-169.7956949474
S22x5/09-B,-169.7956949474
S22x5/09-0.9,-339.6168610165
S22x5/09-1.0,-339.6189475131
S22x5/09-1.2,-339.6140735861
S22x5/09-1.5,-339.6048996265
S22x5/09-2.0,-339.5972112885
S22x5/10-A,-232.0022913272
S22x5/10-B,-76.4042756506
S22x5/10-0.9,-308.4109498997
S22x5/10-1.0,-308.4115176698
S22x5/10-1.2,-308.4103243946
S22x5/10-1.5,-308.4085200698
S22x5/10-2.0,-308.4073197305
S22x5/11-A,-232.0023681116
S22x5/11-B,-56.5269626383
S22x5/11-0.9,-288.5312204262
S22x5/11-1.0,-288.5320477797
S22x5/11-1.2,-288.5314294704
S22x5/11-1.5,-288.5303122933
S22x5/11-2.0,-288.5296636553
S22x5/12-A,-232.0024214841
S22x5/12-B,-40.478982103
S22x5/12-0.9,-272.4813182614
S22x5/12-1.0,-272.4823886436
S22x5/12-1.2,-272.4823100903
S22x5/12-1.5,-272.4816987125
