system,BLYP/def2-QZVP/Q-Chem
S22x5/01-A,-467.4023754614
S22x5/01-B,-454.2323529627
S22x5/01-0.9,-921.6497825592
S22x5/01-1.0,-921.6533964333
S22x5/01-1.2,-921.6507131655
S22x5/01-1.5,-921.6435124723
S22x5/01-2.0,-921.6376641888
S22x5/02-A,-467.4019580173
S22x5/02-B,-454.2330842465
S22x5/02-0.9,-921.6114565144
S22x5/02-1.0,-921.6292668552
S22x5/02-1.2,-921.6363922745
S22x5/02-1.5,-921.6363785497
S22x5/02-2.0,-921.635862897
S22x5/03-A,-56.5669311739
S22x5/03-B,-56.5669311739
S22x5/03-0.9,-113.1353780096
S22x5/03-1.0,-113.136997155
S22x5/03-1.2,-113.136581435
S22x5/03-1.5,-113.1352134595
S22x5/03-2.0,-113.1343928538
S22x5/04-A,-76.4559385256
S22x5/04-B,-76.455910018
S22x5/04-0.9,-152.9175081865
S22x5/04-1.0,-152.9188801852
S22x5/04-1.2,-152.9177702548
S22x5/04-1.5,-152.9152229508
S22x5/04-2.0,-152.9132682249
S22x5/05-A,-40.5052062588
S22x5/05-B,-40.5052062588
S22x5/05-0.9,-81.0079327804
S22x5/05-1.0,-81.009360405
S22x5/05-1.2,-81.010090245
S22x5/05-1.5,-81.010338205
S22x5/05-2.0,-81.0104093703
S22x5/06-A,-78.5836755225
S22x5/06-B,-78.5836755225
S22x5/06-0.9,-157.1623417887
S22x5/06-1.0,-157.1656940098
S22x5/06-1.2,-157.1669525776
S22x5/06-1.5,-157.1672236039
S22x5/06-2.0,-157.1673470669
S22x5/07-A,-78.5836258885
S22x5/07-B,-77.3397821919
S22x5/07-0.9,-155.9229358383
S22x5/07-1.0,-155.9239785654
S22x5/07-1.2,-155.9241009781
S22x5/07-1.5,-155.9237775317
S22x5/07-2.0,-155.9235524641
S22x5/08-A,-189.8301245653
S22x5/08-B,-189.8301245653
S22x5/08-0.9,-379.6811157319
S22x5/08-1.0,-379.6855937327
S22x5/08-1.2,-379.6822880926
S22x5/08-1.5,-379.6731791093
S22x5/08-2.0,-379.6653075264
S22x5/09-A,-169.9437509325
S22x5/09-B,-169.9437509325
S22x5/09-0.9,-339.9041033283
S22x5/09-1.0,-339.9079564386
S22x5/09-1.2,-339.9055140299
S22x5/09-1.5,-339.8985839745
S22x5/09-2.0,-339.8924781519
S22x5/10-A,-232.2446684914
S22x5/10-B,-76.4558617684
S22x5/10-0.9,-308.7002035485
S22x5/10-1.0,-308.7020134613
S22x5/10-1.2,-308.7023234376
S22x5/10-1.5,-308.7016443403
S22x5/10-2.0,-308.7010096819
S22x5/11-A,-232.2446736218
S22x5/11-B,-56.5668364573
S22x5/11-0.9,-288.8090173193
S22x5/11-1.0,-288.811050773
S22x5/11-1.2,-288.8118088129
S22x5/11-1.5,-288.8118290577
S22x5/11-2.0,-288.811711565
S22x5/12-A,-232.2445417809
S22x5/12-B,-40.5051108357
S22x5/12-0.9,-272.7453571103
S22x5/12-1.0,-272.7476177122
S22x5/12-1.2,-272.7490621816
S22x5/12-1.5,-272.749438756
S22x5/12-2.0,-272.74962252
S22x5/13-A,-232.2445674753
S22x5/13-B,-232.2445783279
S22x5/13-0.9,-464.4833551678
S22x5/13-1.0,-464.4862799108
S22x5/13-1.2,-464.4885434041
S22x5/13-1.5,-464.4890334306
S22x5/13-2.0,-464.4892047907
S22x5/14-A,-232.2446089268
S22x5/14-B,-232.2446089268
S22x5/14-0.9,-464.4709127459
S22x5/14-1.0,-464.481883433
S22x5/14-1.2,-464.4869087115
S22x5/14-1.5,-464.4883653436
S22x5/14-2.0,-464.4887929352
S22x5/15-A,-232.244592743
S22x5/15-B,-363.8306526772
S22x5/15-0.9,-596.0706983063
S22x5/15-1.0,-596.0745976714
S22x5/15-1.2,-596.0770493551
S22x5/15-1.5,-596.0769573786
S22x5/15-2.0,-596.0761537908
S22x5/16-A,-232.2445196276
S22x5/16-B,-363.8306411593
S22x5/16-0.9,-596.0535471794
S22x5/16-1.0,-596.0655043195
S22x5/16-1.2,-596.0722799822
S22x5/16-1.5,-596.0741637473
S22x5/16-2.0,-596.0749766976
S22x5/17-A,-264.3491370687
S22x5/17-B,-264.3492287333
S22x5/17-0.9,-528.6819723954
S22x5/17-1.0,-528.6927041059
S22x5/17-1.2,-528.697581939
S22x5/17-1.5,-528.6983579207
S22x5/17-2.0,-528.6984667747
S22x5/18-A,-323.5708248579
S22x5/18-B,-303.6791052498
S22x5/18-0.9,-627.2666560507
S22x5/18-1.0,-627.2703088315
S22x5/18-1.2,-627.2677282138
S22x5/18-1.5,-627.2604111476
S22x5/18-2.0,-627.2541267421
S22x5/19-A,-307.5009135113
S22x5/19-B,-307.500914973
S22x5/19-0.9,-615.0027122125
S22x5/19-1.0,-615.0050350193
S22x5/19-1.2,-615.0057265141
S22x5/19-1.5,-615.0043026672
S22x5/19-2.0,-615.0030527376
S22x5/20-A,-414.9232301112
S22x5/20-B,-414.9232301113
S22x5/20-0.9,-829.831933852
S22x5/20-1.0,-829.845469295
S22x5/20-1.2,-829.8489094684
S22x5/20-1.5,-829.8481163053
S22x5/20-2.0,-829.8472391202
S22x5/21-A,-414.9226566332
S22x5/21-B,-414.9226566332
S22x5/21-0.9,-829.867388219
S22x5/21-1.0,-829.8715741564
S22x5/21-1.2,-829.8679125737
S22x5/21-1.5,-829.8590554081
S22x5/21-2.0,-829.8512404591
S22x5/22-A,-232.2446178355
S22x5/22-B,-93.4501291643
S22x5/22-0.9,-325.6942509953
S22x5/22-1.0,-325.6964330197
S22x5/22-1.2,-325.6972872995
S22x5/22-1.5,-325.6965215421
S22x5/22-2.0,-325.6956246367
S66x8/01-A,-76.4558622109
S66x8/01-B,-76.4559184895
S66x8/01-090,-152.9181628164
S66x8/01-095,-152.9187710295
S66x8/01-100,-152.9188854205
S66x8/01-105,-152.9186988763
S66x8/01-110,-152.9183399324
S66x8/01-125,-152.9169286017
S66x8/01-150,-152.9149651327
S66x8/01-200,-152.913204505
S66x8/02-A,-76.4558685539
S66x8/02-B,-115.7444189858
S66x8/02-090,-192.2064354305
S66x8/02-095,-192.2072374558
S66x8/02-100,-192.2074767867
S66x8/02-105,-192.2073656516
S66x8/02-110,-192.207043844
S66x8/02-125,-192.2056164757
S66x8/02-150,-192.203533642
S66x8/02-200,-192.2016815737
S66x8/03-A,-76.455870959
S66x8/03-B,-95.8586617795
S66x8/03-090,-172.323608186
S66x8/03-095,-172.3243567571
S66x8/03-100,-172.3244931796
S66x8/03-105,-172.3242453856
S66x8/03-110,-172.3237652068
S66x8/03-125,-172.3218088106
S66x8/03-150,-172.3189414656
S66x8/03-200,-172.3162805494
S66x8/04-A,-76.4558730812
S66x8/04-B,-248.5558185505
S66x8/04-090,-325.0203020662
S66x8/04-095,-325.0212497507
S66x8/04-100,-325.021551742
S66x8/04-105,-325.0214447903
S66x8/04-110,-325.0210772352
S66x8/04-125,-325.0193337315
S66x8/04-150,-325.0166352478
S66x8/04-200,-325.0137051158
S66x8/05-A,-115.7442329499
S66x8/05-B,-115.74445315
S66x8/05-090,-231.4942692667
S66x8/05-095,-231.4952154779
S66x8/05-100,-231.4955592656
S66x8/05-105,-231.4955247221
S66x8/05-110,-231.4952595416
