system,LC-BLYP(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-466.379651882
S22x5/01-B,-453.2861818345
S22x5/01-0.9,-919.6919655591
S22x5/01-1.0,-919.6932950024
S22x5/01-1.2,-919.6874189365
S22x5/01-1.5,-919.6773564848
S22x5/01-2.0,-919.669537369
S22x5/02-A,-466.3782893233
S22x5/02-B,-453.2868877082
S22x5/02-0.9,-919.6684144961
S22x5/02-1.0,-919.6769009895
S22x5/02-1.2,-919.6733579641
S22x5/02-1.5,-919.6680667721
S22x5/02-2.0,-919.6661508136
S22x5/03-A,-56.4449325258
S22x5/03-B,-56.4449325258
S22x5/03-0.9,-112.8953926035
S22x5/03-1.0,-112.8960038077
S22x5/03-1.2,-112.8940961358
S22x5/03-1.5,-112.8917201282
S22x5/03-2.0,-112.89044892
S22x5/04-A,-76.3227766261
S22x5/04-B,-76.3227952485
S22x5/04-0.9,-152.6558832639
S22x5/04-1.0,-152.6561239104
S22x5/04-1.2,-152.6535030921
S22x5/04-1.5,-152.6498334443
S22x5/04-2.0,-152.6472435739
S22x5/05-A,-40.3926530089
S22x5/05-B,-40.3926530089
S22x5/05-0.9,-80.7858577406
S22x5/05-1.0,-80.785973669
S22x5/05-1.2,-80.7854674472
S22x5/05-1.5,-80.7853103577
S22x5/05-2.0,-80.7853052065
S22x5/06-A,-78.3702448383
S22x5/06-B,-78.3702448383
S22x5/06-0.9,-156.7416623645
S22x5/06-1.0,-156.7426702544
S22x5/06-1.2,-156.7413577963
S22x5/06-1.5,-156.7405850167
S22x5/06-2.0,-156.7404942942
S22x5/07-A,-78.3702079031
S22x5/07-B,-77.1273228599
S22x5/07-0.9,-155.4995235209
S22x5/07-1.0,-155.4998770953
S22x5/07-1.2,-155.4991053252
S22x5/07-1.5,-155.4981713152
S22x5/07-2.0,-155.4977204034
S22x5/08-A,-189.4760051332
S22x5/08-B,-189.4760051332
S22x5/08-0.9,-378.986283022
S22x5/08-1.0,-378.9880457438
S22x5/08-1.2,-378.9807955093
S22x5/08-1.5,-378.9683480971
S22x5/08-2.0,-378.9581359739
S22x5/09-A,-169.6012488158
S22x5/09-B,-169.6012488158
S22x5/09-0.9,-339.22979689
S22x5/09-1.0,-339.2314615411
S22x5/09-1.2,-339.2259447723
S22x5/09-1.5,-339.2162706503
S22x5/09-2.0,-339.2083245611
S22x5/10-A,-231.6479057085
S22x5/10-B,-76.3226173619
S22x5/10-0.9,-307.9759133929
S22x5/10-1.0,-307.9761152246
S22x5/10-1.2,-307.9745159789
S22x5/10-1.5,-307.9725004409
S22x5/10-2.0,-307.9712481434
S22x5/11-A,-231.6479637392
S22x5/11-B,-56.4447263962
S22x5/11-0.9,-288.0954793983
S22x5/11-1.0,-288.0959725537
S22x5/11-1.2,-288.0949899171
S22x5/11-1.5,-288.0936955075
S22x5/11-2.0,-288.0930111868
S22x5/12-A,-231.6480015756
S22x5/12-B,-40.3926418408
S22x5/12-0.9,-272.0414276762
S22x5/12-1.0,-272.0421805282
S22x5/12-1.2,-272.0417561673
S22x5/12-1.5,-272.0409712911
S22x5/12-2.0,-272.0406934652
S22x5/13-A,-231.6479732965
S22x5/13-B,-231.6479502507
S22x5/13-0.9,-463.2970558302
S22x5/13-1.0,-463.2983315601
S22x5/13-1.2,-463.2980179504
S22x5/13-1.5,-463.2968018101
S22x5/13-2.0,-463.2961534631
S22x5/14-A,-231.6479841257
S22x5/14-B,-231.6479841257
S22x5/14-0.9,-463.2898957215
S22x5/14-1.0,-463.295970447
S22x5/14-1.2,-463.2964561978
S22x5/14-1.5,-463.2957948766
S22x5/14-2.0,-463.2958469478
S22x5/15-A,-231.6477978138
S22x5/15-B,-362.9433377396
S22x5/15-0.9,-594.5959047198
S22x5/15-1.0,-594.5975915253
S22x5/15-1.2,-594.5968093271
S22x5/15-1.5,-594.5942681522
S22x5/15-2.0,-594.5923701027
S22x5/16-A,-231.6479179421
S22x5/16-B,-362.9433574779
S22x5/16-0.9,-594.585290226
S22x5/16-1.0,-594.5921992599
S22x5/16-1.2,-594.5925662571
S22x5/16-1.5,-594.591057915
S22x5/16-2.0,-594.5910134001
S22x5/17-A,-263.7278958409
S22x5/17-B,-263.7278768528
S22x5/17-0.9,-527.4526977277
S22x5/17-1.0,-527.4586132817
S22x5/17-1.2,-527.4581131815
S22x5/17-1.5,-527.4563507657
S22x5/17-2.0,-527.4559102081
S22x5/18-A,-322.8432693384
S22x5/18-B,-302.9663763156
S22x5/18-0.9,-625.8362606929
S22x5/18-1.0,-625.8379853238
S22x5/18-1.2,-625.8324994949
S22x5/18-1.5,-625.8226119687
S22x5/18-2.0,-625.8145663962
S22x5/19-A,-306.7864274881
S22x5/19-B,-306.7863061382
S22x5/19-0.9,-613.5833656331
S22x5/19-1.0,-613.5837669752
S22x5/19-1.2,-613.5814683452
S22x5/19-1.5,-613.577517103
S22x5/19-2.0,-613.5745786579
S22x5/20-A,-414.0720900246
S22x5/20-B,-414.0720900246
S22x5/20-0.9,-828.1501463979
S22x5/20-1.0,-828.1557473988
S22x5/20-1.2,-828.1512655765
S22x5/20-1.5,-828.1467621275
S22x5/20-2.0,-828.1450612512
S22x5/21-A,-414.071604472
S22x5/21-B,-414.071604472
S22x5/21-0.9,-828.1767670672
S22x5/21-1.0,-828.1786440985
S22x5/21-1.2,-828.171909362
S22x5/21-1.5,-828.1601928179
S22x5/21-2.0,-828.1503552334
S22x5/22-A,-231.6478492952
S22x5/22-B,-93.2254575625
S22x5/22-0.9,-324.8798445243
S22x5/22-1.0,-324.880495624
S22x5/22-1.2,-324.8789490416
S22x5/22-1.5,-324.8763556578
S22x5/22-2.0,-324.8745471327
S66x8/01-A,-76.3227483389
S66x8/01-B,-76.3227519225
S66x8/01-090,-152.6561015032
S66x8/01-095,-152.6561402565
S66x8/01-100,-152.6557581726
S66x8/01-105,-152.6551367046
S66x8/01-110,-152.6543986985
S66x8/01-125,-152.6521355111
S66x8/01-150,-152.649375361
S66x8/01-200,-152.6470318297
S66x8/02-A,-76.3227660213
S66x8/02-B,-115.5120596889
S66x8/02-090,-191.8463435658
S66x8/02-095,-191.8464307532
S66x8/02-100,-191.8460416068
S66x8/02-105,-191.845379269
S66x8/02-110,-191.8445779344
S66x8/02-125,-191.8420754007
S66x8/02-150,-191.8389853004
S66x8/02-200,-191.8363823073
S66x8/03-A,-76.3227980667
S66x8/03-B,-95.6388812339
S66x8/03-090,-171.9750328955
S66x8/03-095,-171.9752275949
S66x8/03-100,-171.9748731549
S66x8/03-105,-171.9741897761
S66x8/03-110,-171.9733279415
S66x8/03-125,-171.9705038724
S66x8/03-150,-171.9668061071
S66x8/03-200,-171.9634882127
S66x8/04-A,-76.3227937765
S66x8/04-B,-248.0236098943
S66x8/04-090,-324.3622718413
S66x8/04-095,-324.3624113939
S66x8/04-100,-324.361980431
S66x8/04-105,-324.3612086188
S66x8/04-110,-324.3602469626
S66x8/04-125,-324.3571059993
S66x8/04-150,-324.3529186993
S66x8/04-200,-324.3486713352
S66x8/05-A,-115.512084519
S66x8/05-B,-115.5120922844
S66x8/05-090,-231.0354562489
S66x8/05-095,-231.0356740091
S66x8/05-100,-231.0353789124
S66x8/05-105,-231.0347841883
S66x8/05-110,-231.0340296054
S66x8/05-125,-231.0315836758
S66x8/05-150,-231.0284734554
S66x8/05-200,-231.0258046155
S66x8/06-A,-115.5119099264
S66x8/06-B,-95.6389044976
S66x8/06-090,-211.1643751452
S66x8/06-095,-211.1648134666
S66x8/06-100,-211.164599607
S66x8/06-105,-211.1639869345
S66x8/06-110,-211.1631509709
S66x8/06-125,-211.1602712602
S66x8/06-150,-211.1563758249
S66x8/06-200,-211.1528520525
S66x8/07-A,-115.5119913545
S66x8/07-B,-248.0235641091
S66x8/07-090,-363.5508421429
S66x8/07-095,-363.5511802223
S66x8/07-100,-363.5508910579
S66x8/07-105,-363.5502203464
S66x8/07-110,-363.5493254678
S66x8/07-125,-363.5462636092
S66x8/07-150,-363.5415544848
S66x8/07-200,-363.5372466539
S66x8/08-A,-115.512092508
S66x8/08-B,-76.3227617657
S66x8/08-090,-191.8452147974
S66x8/08-095,-191.8453667415
S66x8/08-100,-191.8450645475
S66x8/08-105,-191.84449912
S66x8/08-110,-191.8437977498
S66x8/08-125,-191.8415762331
S66x8/08-150,-191.8388000407
S66x8/08-200,-191.8364203208
S66x8/09-A,-95.6388497637
S66x8/09-B,-115.5121028837
S66x8/09-090,-211.1565790175
S66x8/09-095,-211.156673539
S66x8/09-100,-211.156445591
S66x8/09-105,-211.1560485049
S66x8/09-110,-211.1555767582
S66x8/09-125,-211.1541786929
S66x8/09-150,-211.1526587688
S66x8/09-200,-211.1515965973
S66x8/10-A,-95.6389003564
S66x8/10-B,-95.6388549547
S66x8/10-090,-191.2847866707
S66x8/10-095,-191.2851604048
S66x8/10-100,-191.285029291
S66x8/10-105,-191.2846078464
S66x8/10-110,-191.2840399504
S66x8/10-125,-191.2821955723
S66x8/10-150,-191.2796499015
S66x8/10-200,-191.2783005824
S66x8/11-A,-95.6386978655
S66x8/11-B,-248.0237017889
S66x8/11-090,-343.6712659758
S66x8/11-095,-343.6716766577
S66x8/11-100,-343.6715551876
S66x8/11-105,-343.6711150868
S66x8/11-110,-343.670499807
S66x8/11-125,-343.6673764933
S66x8/11-150,-343.6644799391
S66x8/11-200,-343.6631907798
S66x8/12-A,-95.6388668721
S66x8/12-B,-76.3225042052
S66x8/12-090,-171.9756192606
S66x8/12-095,-171.9758977955
S66x8/12-100,-171.9755620592
S66x8/12-105,-171.9748570114
S66x8/12-110,-171.9739511782
S66x8/12-125,-171.970950177
S66x8/12-150,-171.9670077664
S66x8/12-200,-171.963525936
S66x8/13-A,-248.0237384975
S66x8/13-B,-115.5121154796
S66x8/13-090,-363.5464507836
S66x8/13-095,-363.5468646176
S66x8/13-100,-363.5467380053
S66x8/13-105,-363.5462810808
S66x8/13-110,-363.5456400174
S66x8/13-125,-363.543429235
S66x8/13-150,-363.540490576
S66x8/13-200,-363.537864889
S66x8/14-A,-248.0235646483
S66x8/14-B,-95.6388437721
S66x8/14-090,-343.6740248934
S66x8/14-095,-343.6746942824
S66x8/14-100,-343.6747174126
S66x8/14-105,-343.6743320567
S66x8/14-110,-343.6737020955
S66x8/14-125,-343.6713046255
S66x8/14-150,-343.6678782775
S66x8/14-200,-343.6646582163
S66x8/15-A,-248.023516441
S66x8/15-B,-248.0235909785
S66x8/15-090,-496.0605919486
S66x8/15-095,-496.0611821487
S66x8/15-100,-496.0611359183
S66x8/15-105,-496.0606804607
S66x8/15-110,-496.059982035
S66x8/15-125,-496.0574089641
S66x8/15-150,-496.0536900351
S66x8/15-200,-496.0496985569
S66x8/16-A,-248.0236772112
S66x8/16-B,-76.3227658493
S66x8/16-090,-324.3559847443
S66x8/16-095,-324.3562767684
S66x8/16-100,-324.3561085561
S66x8/16-105,-324.3556658476
S66x8/16-110,-324.3550794163
S66x8/16-125,-324.3531249854
S66x8/16-150,-324.3505942154
S66x8/16-200,-324.3483359859
S66x8/17-A,-414.0717556105
S66x8/17-B,-414.0719099162
S66x8/17-090,-828.1724447253
S66x8/17-095,-828.1738114663
S66x8/17-100,-828.1737533091
S66x8/17-105,-828.1727941818
S66x8/17-110,-828.1712918356
S66x8/17-125,-828.1655653122
S66x8/17-150,-828.1571190184
S66x8/17-200,-828.1488112866
S66x8/18-A,-76.3227759867
S66x8/18-B,-247.6902436961
S66x8/18-090,-324.0261006429
S66x8/18-095,-324.0263244452
S66x8/18-100,-324.0259927335
S66x8/18-105,-324.0253265425
S66x8/18-110,-324.0244770216
S66x8/18-125,-324.0216923486
S66x8/18-150,-324.0180599486
S66x8/18-200,-324.0148331328
S66x8/19-A,-115.5118946853
S66x8/19-B,-247.6902424603
S66x8/19-090,-363.2153368249
S66x8/19-095,-363.2158136145
S66x8/19-100,-363.2156528374
S66x8/19-105,-363.2150991946
S66x8/19-110,-363.2139197561
S66x8/19-125,-363.2115775273
S66x8/19-150,-363.2073408414
S66x8/19-200,-363.2038427706
S66x8/20-A,-228.6986567779
S66x8/20-B,-228.6986578515
S66x8/20-090,-457.4329637671
S66x8/20-095,-457.4341786774
S66x8/20-100,-457.4338115098
S66x8/20-105,-457.4324275821
S66x8/20-110,-457.430456032
S66x8/20-125,-457.4233892221
S66x8/20-150,-457.4132187967
S66x8/20-200,-457.40322089
S66x8/21-A,-208.8211217222
S66x8/21-B,-208.8211258393
S66x8/21-090,-417.6703618812
S66x8/21-095,-417.6715231983
S66x8/21-100,-417.6713636199
S66x8/21-105,-417.6703817216
S66x8/21-110,-417.6688985553
S66x8/21-125,-417.663415531
S66x8/21-150,-417.6555076482
S66x8/21-200,-417.6471015304
S66x8/22-A,-228.6985786281
S66x8/22-B,-414.0716684366
S66x8/22-090,-642.8046615501
S66x8/22-095,-642.8060015501
S66x8/22-100,-642.8058248235
S66x8/22-105,-642.8046712471
S66x8/22-110,-642.8029384961
S66x8/22-125,-642.7964406434
S66x8/22-150,-642.7867946681
S66x8/22-200,-642.7769605983
S66x8/23-A,-208.8210279604
S66x8/23-B,-414.0714965503
S66x8/23-090,-622.9250664532
S66x8/23-095,-622.9264363569
S66x8/23-100,-622.9264257813
S66x8/23-105,-622.9255113421
S66x8/23-110,-622.9240382308
S66x8/23-125,-622.9182926574
S66x8/23-150,-622.9094600312
S66x8/23-200,-622.9000734347
S66x8/24-A,-231.6480957043
S66x8/24-B,-231.6480045677
S66x8/24-090,-463.2902819445
S66x8/24-095,-463.2940440637
S66x8/24-100,-463.2959960938
S66x8/24-105,-463.2967131215
S66x8/24-110,-463.2967405774
S66x8/24-125,-463.2962858432
S66x8/24-150,-463.2957859301
S66x8/24-200,-463.2958691452
S66x8/25-A,-247.6901182257
S66x8/25-B,-247.6901702269
S66x8/25-090,-495.3768048909
S66x8/25-095,-495.3803827204
S66x8/25-100,-495.3821234724
S66x8/25-105,-495.3828007745
S66x8/25-110,-495.3827930951
S66x8/25-125,-495.381861129
S66x8/25-150,-495.3807948766
S66x8/25-200,-495.380459219
S66x8/26-A,-414.0720900677
S66x8/26-B,-414.0720900676
S66x8/26-090,-828.1520609543
S66x8/26-095,-828.1549356582
S66x8/26-100,-828.1557473875
S66x8/26-105,-828.1553645759
S66x8/26-110,-828.1543955681
S66x8/26-125,-828.1510201385
S66x8/26-150,-828.1474361267
S66x8/26-200,-828.1453369854
S66x8/27-A,-231.6480790215
S66x8/27-B,-247.6901970467
S66x8/27-090,-479.3335106318
S66x8/27-095,-479.3373421594
S66x8/27-100,-479.3392476189
S66x8/27-105,-479.3399521867
S66x8/27-110,-479.3399070174
S66x8/27-125,-479.3391575714
S66x8/27-150,-479.3383296351
S66x8/27-200,-479.3381916303
S66x8/28-A,-231.6477767362
S66x8/28-B,-414.0726933861
S66x8/28-090,-645.7204738001
S66x8/28-095,-645.7236145192
S66x8/28-100,-645.7249748705
S66x8/28-105,-645.7253115888
S66x8/28-110,-645.7249744884
S66x8/28-125,-645.7230530477
S66x8/28-150,-645.721231666
S66x8/28-200,-645.7205660907
S66x8/29-A,-247.6900741557
S66x8/29-B,-414.0726758308
S66x8/29-090,-661.763222095
S66x8/29-095,-661.7676509639
S66x8/29-100,-661.7691855187
