system,PBE/def2-QZVP/Q-Chem
S22x5/01-A,-466.9990308499
S22x5/01-B,-453.8365159676
S22x5/01-0.9,-920.8566220066
S22x5/01-1.0,-920.8587644896
S22x5/01-1.2,-920.8544004494
S22x5/01-1.5,-920.8460437341
S22x5/01-2.0,-920.8391962411
S22x5/02-A,-466.9985967439
S22x5/02-B,-453.8371392044
S22x5/02-0.9,-920.8254902678
S22x5/02-1.0,-920.8380791967
S22x5/02-1.2,-920.8410760013
S22x5/02-1.5,-920.8384781541
S22x5/02-2.0,-920.8366809592
S22x5/03-A,-56.5158545757
S22x5/03-B,-56.5158545757
S22x5/03-0.9,-113.0354042444
S22x5/03-1.0,-113.0364482042
S22x5/03-1.2,-113.0354344684
S22x5/03-1.5,-113.0335290688
S22x5/03-2.0,-113.0323053368
S22x5/04-A,-76.3867214431
S22x5/04-B,-76.386687447
S22x5/04-0.9,-152.7809361185
S22x5/04-1.0,-152.7818520277
S22x5/04-1.2,-152.7802577107
S22x5/04-1.5,-152.7773332999
S22x5/04-2.0,-152.7749922067
S22x5/05-A,-40.4674117626
S22x5/05-B,-40.4674117626
S22x5/05-0.9,-80.9340271062
S22x5/05-1.0,-80.9349624545
S22x5/05-1.2,-80.9350188756
S22x5/05-1.5,-80.9348511916
S22x5/05-2.0,-80.9348232345
S22x5/06-A,-78.5071853021
S22x5/06-B,-78.5071853021
S22x5/06-0.9,-157.0126538232
S22x5/06-1.0,-157.0149578754
S22x5/06-1.2,-157.0150585134
S22x5/06-1.5,-157.0145148128
S22x5/06-2.0,-157.0143761159
S22x5/07-A,-78.5071405896
S22x5/07-B,-77.2576150391
S22x5/07-0.9,-155.7660955008
S22x5/07-1.0,-155.7666701987
S22x5/07-1.2,-155.7662279695
S22x5/07-1.5,-155.7654291856
S22x5/07-2.0,-155.7649402473
S22x5/08-A,-189.6574639035
S22x5/08-B,-189.6574639035
S22x5/08-0.9,-379.3413537851
S22x5/08-1.0,-379.3444055059
S22x5/08-1.2,-379.3394620657
S22x5/08-1.5,-379.3293662907
S22x5/08-2.0,-379.3207018067
S22x5/09-A,-169.7898107675
S22x5/09-B,-169.7898107675
S22x5/09-0.9,-339.6010283208
S22x5/09-1.0,-339.6036154797
S22x5/09-1.2,-339.5998307304
S22x5/09-1.5,-339.5920556363
S22x5/09-2.0,-339.5851558613
S22x5/10-A,-232.0359245088
S22x5/10-B,-76.3866729233
S22x5/10-0.9,-308.4254904163
S22x5/10-1.0,-308.4264876224
S22x5/10-1.2,-308.4259303944
S22x5/10-1.5,-308.424473845
S22x5/10-2.0,-308.4232752617
S22x5/11-A,-232.0359511078
S22x5/11-B,-56.5157922441
S22x5/11-0.9,-288.5522738497
S22x5/11-1.0,-288.5535779787
S22x5/11-1.2,-288.5534628275
S22x5/11-1.5,-288.5527103153
S22x5/11-2.0,-288.5520637974
S22x5/12-A,-232.0358904633
S22x5/12-B,-40.4672927678
S22x5/12-0.9,-272.5017846033
S22x5/12-1.0,-272.5033187381
S22x5/12-1.2,-272.5038794599
S22x5/12-1.5,-272.5035580379
S22x5/12-2.0,-272.5032461076
S22x5/13-A,-232.0359194676
S22x5/13-B,-232.035921985
S22x5/13-0.9,-464.0701416778
S22x5/13-1.0,-464.0720394268
S22x5/13-1.2,-464.0730863156
S22x5/13-1.5,-464.0726035266
S22x5/13-2.0,-464.0720848009
S22x5/14-A,-232.0358937274
S22x5/14-B,-232.0358937274
S22x5/14-0.9,-464.0608621365
S22x5/14-1.0,-464.0691112064
S22x5/14-1.2,-464.0715600003
S22x5/14-1.5,-464.0715738834
S22x5/14-2.0,-464.0714481323
S22x5/15-A,-232.035844342
S22x5/15-B,-363.5152800084
S22x5/15-0.9,-595.5522151419
S22x5/15-1.0,-595.5547289673
S22x5/15-1.2,-595.5556644334
