system,LC-wPBE08(w=200)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0772220333
S22x5/01-B,-453.9120171398
S22x5/01-0.9,-921.008678967
S22x5/01-1.0,-921.0108781194
S22x5/01-1.2,-921.0068977627
S22x5/01-1.5,-920.9990565377
S22x5/01-2.0,-920.9926762211
S22x5/02-A,-467.076643307
S22x5/02-B,-453.9127033202
S22x5/02-0.9,-920.9793473253
S22x5/02-1.0,-920.9913641249
S22x5/02-1.2,-920.9941103591
S22x5/02-1.5,-920.9918442551
S22x5/02-2.0,-920.9902599229
S22x5/03-A,-56.5305943933
S22x5/03-B,-56.5305943933
S22x5/03-0.9,-113.0640490477
S22x5/03-1.0,-113.0652730079
S22x5/03-1.2,-113.064500439
S22x5/03-1.5,-113.062838957
S22x5/03-2.0,-113.0617520485
S22x5/04-A,-76.3991475709
S22x5/04-B,-76.3991216626
S22x5/04-0.9,-152.8050326045
S22x5/04-1.0,-152.8060165132
S22x5/04-1.2,-152.8046162558
S22x5/04-1.5,-152.801951634
S22x5/04-2.0,-152.799814172
S22x5/05-A,-40.4849314649
S22x5/05-B,-40.4849314649
S22x5/05-0.9,-80.9686316803
S22x5/05-1.0,-80.9696715834
S22x5/05-1.2,-80.9698849526
S22x5/05-1.5,-80.96986267
S22x5/05-2.0,-80.9698622294
S22x5/06-A,-78.5305339587
S22x5/06-B,-78.5305339587
S22x5/06-0.9,-157.0587720356
S22x5/06-1.0,-157.0611542683
S22x5/06-1.2,-157.0614358464
S22x5/06-1.5,-157.0611500172
S22x5/06-2.0,-157.0610716949
S22x5/07-A,-78.5305039688
S22x5/07-B,-77.2756690425
S22x5/07-0.9,-155.8068633328
S22x5/07-1.0,-155.8075692382
S22x5/07-1.2,-155.8073567822
S22x5/07-1.5,-155.8067382889
S22x5/07-2.0,-155.806351788
S22x5/08-A,-189.6831897624
S22x5/08-B,-189.6831897624
S22x5/08-0.9,-379.3920340796
S22x5/08-1.0,-379.3949340237
S22x5/08-1.2,-379.3899797106
S22x5/08-1.5,-379.3802057294
S22x5/08-2.0,-379.3719237351
S22x5/09-A,-169.8173693892
S22x5/09-B,-169.8173693892
S22x5/09-0.9,-339.6550268172
S22x5/09-1.0,-339.6576234326
S22x5/09-1.2,-339.6541151175
S22x5/09-1.5,-339.6467250812
S22x5/09-2.0,-339.6401711819
S22x5/10-A,-232.0897733108
S22x5/10-B,-76.3990885443
S22x5/10-0.9,-308.4915088803
S22x5/10-1.0,-308.4923906581
S22x5/10-1.2,-308.4919145901
S22x5/10-1.5,-308.4906325081
S22x5/10-2.0,-308.4895596315
S22x5/11-A,-232.0897939891
S22x5/11-B,-56.5305121502
