system,PBE20/def2-QZVP/Q-Chem
S22x5/01-A,-467.0012733531
S22x5/01-B,-453.8387932514
S22x5/01-0.9,-920.8615842206
S22x5/01-1.0,-920.863462367
S22x5/01-1.2,-920.8588281245
S22x5/01-1.5,-920.8503825915
S22x5/01-2.0,-920.8436098727
S22x5/02-A,-467.0008210313
S22x5/02-B,-453.8397586779
S22x5/02-0.9,-920.8320223598
S22x5/02-1.0,-920.843797126
S22x5/02-1.2,-920.845939366
S22x5/02-1.5,-920.8432699932
S22x5/02-2.0,-920.8415346601
S22x5/03-A,-56.5191212747
S22x5/03-B,-56.5191212747
S22x5/03-0.9,-113.0417487868
S22x5/03-1.0,-113.0428176425
S22x5/03-1.2,-113.0418154225
S22x5/03-1.5,-113.0399795133
S22x5/03-2.0,-113.0388199397
S22x5/04-A,-76.3862671855
S22x5/04-B,-76.3862859351
S22x5/04-0.9,-152.7800123408
S22x5/04-1.0,-152.7808527038
S22x5/04-1.2,-152.7792269519
S22x5/04-1.5,-152.7763678085
S22x5/04-2.0,-152.7741197772
S22x5/05-A,-40.475845725
S22x5/05-B,-40.475845725
S22x5/05-0.9,-80.9508962455
S22x5/05-1.0,-80.9517631286
S22x5/05-1.2,-80.9518291958
S22x5/05-1.5,-80.9517086414
S22x5/05-2.0,-80.9516908974
S22x5/06-A,-78.5156411191
S22x5/06-B,-78.5156411191
S22x5/06-0.9,-157.0297546567
S22x5/06-1.0,-157.0318779614
S22x5/06-1.2,-157.0318897691
S22x5/06-1.5,-157.0314060318
S22x5/06-2.0,-157.0312878873
S22x5/07-A,-78.5156017007
S22x5/07-B,-77.2603213272
S22x5/07-0.9,-155.7772754623
S22x5/07-1.0,-155.7778354928
S22x5/07-1.2,-155.7773816135
S22x5/07-1.5,-155.7765941254
S22x5/07-2.0,-155.7761164206
S22x5/08-A,-189.6509815389
S22x5/08-B,-189.6509815389
S22x5/08-0.9,-379.3298077685
S22x5/08-1.0,-379.3322895741
S22x5/08-1.2,-379.326766864
S22x5/08-1.5,-379.3164075141
S22x5/08-2.0,-379.3077094965
S22x5/09-A,-169.7874590329
S22x5/09-B,-169.7874590329
S22x5/09-0.9,-339.5972927348
S22x5/09-1.0,-339.5995305639
S22x5/09-1.2,-339.5953733214
S22x5/09-1.5,-339.5873949421
S22x5/09-2.0,-339.5804765664
S22x5/10-A,-232.0540391062
S22x5/10-B,-76.3862039318
S22x5/10-0.9,-308.44331239
S22x5/10-1.0,-308.4442011111
S22x5/10-1.2,-308.4435663372
S22x5/10-1.5,-308.4421197525
S22x5/10-2.0,-308.4409619394
S22x5/11-A,-232.054086493
S22x5/11-B,-56.5190677968
S22x5/11-0.9,-288.5738497069
S22x5/11-1.0,-288.5750384718
S22x5/11-1.2,-288.5748637467
S22x5/11-1.5,-288.5741012306
S22x5/11-2.0,-288.5734841999
S22x5/12-A,-232.0540661771
S22x5/12-B,-40.4758093706
S22x5/12-0.9,-272.5286500273
S22x5/12-1.0,-272.5300604124
S22x5/12-1.2,-272.5305168045
S22x5/12-1.5,-272.5302085487
S22x5/12-2.0,-272.5299347514
S22x5/13-A,-232.054070908
S22x5/13-B,-232.0540646008
S22x5/13-0.9,-464.1067385564
S22x5/13-1.0,-464.108538997
S22x5/13-1.2,-464.1094032816
S22x5/13-1.5,-464.1088822544
S22x5/13-2.0,-464.1083856623
S22x5/14-A,-232.0540564803
S22x5/14-B,-232.0540564803
S22x5/14-0.9,-464.0975192258
S22x5/14-1.0,-464.1054464758
S22x5/14-1.2,-464.107756281
S22x5/14-1.5,-464.1078512135
S22x5/14-2.0,-464.1078154365
S22x5/15-A,-232.0539297103
S22x5/15-B,-363.5356050804
S22x5/15-0.9,-595.5911030715
S22x5/15-1.0,-595.5934847225
S22x5/15-1.2,-595.5941829212
S22x5/15-1.5,-595.5927010706
S22x5/15-2.0,-595.5909244657
S22x5/16-A,-232.0539676007
S22x5/16-B,-363.5356457438
S22x5/16-0.9,-595.5781752701
S22x5/16-1.0,-595.5862664845
S22x5/16-1.2,-595.589511777
S22x5/16-1.5,-595.5895272567
S22x5/16-2.0,-595.589486401
S22x5/17-A,-264.1150694026
S22x5/17-B,-264.1151154533
S22x5/17-0.9,-528.2216926399
S22x5/17-1.0,-528.2292503382
S22x5/17-1.2,-528.2314456371
S22x5/17-1.5,-528.2307824985
S22x5/17-2.0,-528.2303398855
S22x5/18-A,-323.2890604754
S22x5/18-B,-303.4229880089
S22x5/18-0.9,-626.7348316401
S22x5/18-1.0,-626.7368347984
S22x5/18-1.2,-626.7323671436
S22x5/18-1.5,-626.7238887609
S22x5/18-2.0,-626.7168034032
S22x5/19-A,-307.2422211724
S22x5/19-B,-307.241941592
S22x5/19-0.9,-614.4897550021
S22x5/19-1.0,-614.4909623056
S22x5/19-1.2,-614.4906069318
S22x5/19-1.5,-614.4882362243
S22x5/19-2.0,-614.4860676246
S22x5/20-A,-414.5546453715
S22x5/20-B,-414.5546453716
S22x5/20-0.9,-829.1054576951
S22x5/20-1.0,-829.1148427784
S22x5/20-1.2,-829.1147610331
S22x5/20-1.5,-829.111854519
S22x5/20-2.0,-829.1101377484
S22x5/21-A,-414.553960054
S22x5/21-B,-414.5539600539
S22x5/21-0.9,-829.13620957
S22x5/21-1.0,-829.1385769563
S22x5/21-1.2,-829.1330385871
S22x5/21-1.5,-829.1231010311
S22x5/21-2.0,-829.1144997897
S22x5/22-A,-232.05402998
S22x5/22-B,-93.3500940675
S22x5/22-0.9,-325.4081956877
S22x5/22-1.0,-325.4092732588
S22x5/22-1.2,-325.4087619875
S22x5/22-1.5,-325.4069693822
S22x5/22-2.0,-325.4053179361
S66x8/01-A,-76.3862768171
S66x8/01-B,-76.3862749253
S66x8/01-090,-152.7804115544
S66x8/01-095,-152.780762023
S66x8/01-100,-152.7806798596
S66x8/01-105,-152.7803399266
S66x8/01-110,-152.7798584372
S66x8/01-125,-152.7782153201
S66x8/01-150,-152.7760223862
S66x8/01-200,-152.7739629466
S66x8/02-A,-76.3862818146
S66x8/02-B,-115.6453981521
S66x8/02-090,-192.0396805004
S66x8/02-095,-192.0401683157
S66x8/02-100,-192.0401611757
S66x8/02-105,-192.0398563996
S66x8/02-110,-192.0393800105
S66x8/02-125,-192.0376556715
S66x8/02-150,-192.0352926954
S66x8/02-200,-192.0330912346
S66x8/03-A,-76.3862854118
S66x8/03-B,-95.7835729634
S66x8/03-090,-172.1808563901
S66x8/03-095,-172.1812596166
S66x8/03-100,-172.1811134768
S66x8/03-105,-172.1806346762
S66x8/03-110,-172.179969554
S66x8/03-125,-172.177651385
S66x8/03-150,-172.1744981274
S66x8/03-200,-172.1715399358
S66x8/04-A,-76.3862857495
S66x8/04-B,-248.3488938631
S66x8/04-090,-324.7465676286
S66x8/04-095,-324.7471223095
S66x8/04-100,-324.7470983964
S66x8/04-105,-324.7467241431
S66x8/04-110,-324.7461402171
S66x8/04-125,-324.7439653942
S66x8/04-150,-324.7408027726
S66x8/04-200,-324.7372542635
S66x8/05-A,-115.6454283813
S66x8/05-B,-115.6454277093
S66x8/05-090,-231.2986580524
S66x8/05-095,-231.2992592168
S66x8/05-100,-231.299331101
S66x8/05-105,-231.2990819992
S66x8/05-110,-231.2986448974
S66x8/05-125,-231.2969776448
S66x8/05-150,-231.2946201332
S66x8/05-200,-231.2923609724
S66x8/06-A,-115.6452457247
S66x8/06-B,-95.7836263272
S66x8/06-090,-211.4396621633
S66x8/06-095,-211.4403922267
S66x8/06-100,-211.4404467649
S66x8/06-105,-211.4400828902
S66x8/06-110,-211.4394839296
S66x8/06-125,-211.4372226645
S66x8/06-150,-211.4339702593
S66x8/06-200,-211.4308243626
S66x8/07-A,-115.6453427756
S66x8/07-B,-248.3485844091
S66x8/07-090,-364.005002627
S66x8/07-095,-364.0057233752
S66x8/07-100,-364.0058186229
S66x8/07-105,-364.0055228256
