system,energy
S22x5/01-0.9,-13.5025079667
S22x5/01-1.0,-14.6810626268
S22x5/01-1.2,-11.7730315519
S22x5/01-1.5,-6.4733795791
S22x5/01-2.0,-2.2234343654
S22x5/02-0.9, 5.3698178232
S22x5/02-1.0,-2.0189595247
S22x5/02-1.2,-3.3632354209
S22x5/02-1.5,-1.6881786985
S22x5/02-2.0,-0.5992407372
S22x5/03-0.9,-2.2001971876
S22x5/03-1.0,-2.8709142660
S22x5/03-1.2,-2.2420117206
S22x5/03-1.5,-1.0899613037
S22x5/03-2.0,-0.3623178836
S22x5/04-0.9,-4.6807313462
S22x5/04-1.0,-5.2080670906
S22x5/04-1.2,-4.1878923705
S22x5/04-1.5,-2.3937527987
S22x5/04-2.0,-0.9830918594
S22x5/05-0.9, 0.4989983577
S22x5/05-1.0,-0.0449790006
S22x5/05-1.2,-0.0864367945
S22x5/05-1.5,-0.0107877664
S22x5/05-2.0, 0.0003467617
S22x5/06-0.9, 0.9585718640
S22x5/06-1.0,-0.3738219521
S22x5/06-1.2,-0.3812313957
S22x5/06-1.5,-0.0776816569
S22x5/06-2.0,-0.0035448638
S22x5/07-0.9,-0.8486653993
S22x5/07-1.0,-1.2000898440
S22x5/07-1.2,-0.9152762831
S22x5/07-1.5,-0.4211200394
S22x5/07-2.0,-0.1213557515
S22x5/08-0.9,-17.4728072227
S22x5/08-1.0,-19.0301637500
S22x5/08-1.2,-15.5646108385
S22x5/08-1.5,-9.0640206289
S22x5/08-2.0,-3.6059321774
S22x5/09-0.9,-14.0403167814
S22x5/09-1.0,-15.4445757434
S22x5/09-1.2,-12.8358666878
S22x5/09-1.5,-7.8293580877
S22x5/09-2.0,-3.4880117893
S22x5/10-0.9,-1.9260474599
S22x5/10-1.0,-2.4837283702
S22x5/10-1.2,-2.0854017339
S22x5/10-1.5,-1.1776561293
S22x5/10-2.0,-0.4511174396
S22x5/11-0.9,-0.4363808188
S22x5/11-1.0,-1.1823420562
S22x5/11-1.2,-1.0727004006
S22x5/11-1.5,-0.5942143236
S22x5/11-2.0,-0.2070217134
S22x5/12-0.9, 0.7690256619
S22x5/12-1.0,-0.1160043507
S22x5/12-1.2,-0.4023947175
S22x5/12-1.5,-0.2089612824
S22x5/12-2.0,-0.0371508827
S22x5/13-0.9, 0.8766008661
S22x5/13-1.0,-0.2531926683
S22x5/13-1.2,-0.7955394432
S22x5/13-1.5,-0.4685899389
S22x5/13-2.0,-0.1569736913
S22x5/14-0.9, 6.6476689550
S22x5/14-1.0, 1.6732444750
S22x5/14-1.2, 0.2238198283
S22x5/14-1.5, 0.1642487851
S22x5/14-2.0, 0.1866991916
S22x5/15-0.9,-0.9841110603
S22x5/15-1.0,-2.4786196272
S22x5/15-1.2,-2.9167459264
S22x5/15-1.5,-1.9868706355
S22x5/15-2.0,-0.8720342287
S22x5/16-0.9, 7.1775000535
S22x5/16-1.0, 2.1001863591
S22x5/16-1.2, 0.0637345685
S22x5/16-1.5, 0.0540209101
S22x5/16-2.0, 0.0796582489
S22x5/17-0.9, 5.3289459977
S22x5/17-1.0, 0.5864187106
S22x5/17-1.2,-0.7911521480
S22x5/17-1.5,-0.3750263938
S22x5/17-2.0,-0.0972825428
S22x5/18-0.9,-14.2966461185
S22x5/18-1.0,-15.5536469302
S22x5/18-1.2,-12.7501512154
S22x5/18-1.5,-7.4298857446
S22x5/18-2.0,-2.9837566592
S22x5/19-0.9,-3.5091821391
S22x5/19-1.0,-4.2667765237
S22x5/19-1.2,-4.0437760973
S22x5/19-1.5,-2.5561346803
S22x5/19-2.0,-1.1953178226
S22x5/20-0.9, 2.4052739354
S22x5/20-1.0,-3.4839547523
S22x5/20-1.2,-3.4326588020
S22x5/20-1.5,-1.6087936671
S22x5/20-2.0,-0.5315038505
S22x5/21-0.9,-17.7519054900
S22x5/21-1.0,-19.2374628225
S22x5/21-1.2,-15.7620836775
S22x5/21-1.5,-9.5261731362
S22x5/21-2.0,-4.1288126672
S22x5/22-0.9,-2.5549928014
S22x5/22-1.0,-3.2311788758
S22x5/22-1.2,-2.9103512911
S22x5/22-1.5,-1.7854744817
S22x5/22-2.0,-0.7491764078
S66x8/01-090,-4.9321064961
S66x8/01-095,-5.1520288630
S66x8/01-100,-5.1004705511
S66x8/01-105,-4.8871593729
S66x8/01-110,-4.5850202127
S66x8/01-125,-3.5539486651
S66x8/01-150,-2.1778618664
S66x8/01-200,-0.8855440056
S66x8/02-090,-5.0204106961
S66x8/02-095,-5.3265194185
S66x8/02-100,-5.3220390009
S66x8/02-105,-5.1307891106
S66x8/02-110,-4.8318504369
S66x8/02-125,-3.7498113775
S66x8/02-150,-2.2670214873
S66x8/02-200,-0.8855839780
S66x8/03-090,-6.9013585480
S66x8/03-095,-7.1543869970
S66x8/03-100,-7.0626828880
S66x8/03-105,-6.7622309752
S66x8/03-110,-6.3448604931
S66x8/03-125,-4.8901874826
S66x8/03-150,-2.9114884638
S66x8/03-200,-1.0551952081
S66x8/04-090,-7.1460879333
S66x8/04-095,-7.4941554532
S66x8/04-100,-7.4791497564
S66x8/04-105,-7.2443022648
S66x8/04-110,-6.8778831676
S66x8/04-125,-5.5131611930
S66x8/04-150,-3.5285861754
S66x8/04-200,-1.3018630956
S66x8/05-090,-4.8958049475
S66x8/05-095,-5.2730413041
S66x8/05-100,-5.3181493206
S66x8/05-105,-5.1618355811
S66x8/05-110,-4.8875500604
S66x8/05-125,-3.8413332578
S66x8/05-150,-2.3619723931
S66x8/05-200,-0.9443275872
S66x8/06-090,-6.7708971320
S66x8/06-095,-7.2290188324
S66x8/06-100,-7.2632420696
S66x8/06-105,-7.0349072479
S66x8/06-110,-6.6590537967
S66x8/06-125,-5.2400885226
S66x8/06-150,-3.1991734454
S66x8/06-200,-1.2250934610
S66x8/07-090,-6.9499449751
S66x8/07-095,-7.4022212991
S66x8/07-100,-7.4619901333
S66x8/07-105,-7.2763745251
S66x8/07-110,-6.9369983879
S66x8/07-125,-5.5885843177
S66x8/07-150,-3.3237326955
S66x8/07-200,-1.0043868327
S66x8/08-090,-4.7753331058
S66x8/08-095,-5.0608681771
S66x8/08-100,-5.0564878473
S66x8/08-105,-4.8776425015
S66x8/08-110,-4.5990202001
S66x8/08-125,-3.6016263329
S66x8/08-150,-2.2313252343
S66x8/08-200,-0.9246994046
S66x8/09-090,-1.9689075493
S66x8/09-095,-2.2814762308
S66x8/09-100,-2.3651859946
S66x8/09-105,-2.3145491176
S66x8/09-110,-2.1898921642
