system,wB97M(w=1)/def2-QZVP/ORCA_5.0.1
S22x5/01-A,-467.87485549
S22x5/01-B,-454.65963119
S22x5/01-0.9,-922.54376819
S22x5/01-1.0,-922.5486532
S22x5/01-1.2,-922.54826074
S22x5/01-1.5,-922.54301578
S22x5/01-2.0,-922.53778307
S22x5/02-A,-467.87506258
S22x5/02-B,-454.66094854
S22x5/02-0.9,-922.50383979
S22x5/02-1.0,-922.52614392
S22x5/02-1.2,-922.53780469
S22x5/02-1.5,-922.53852662
S22x5/02-2.0,-922.53695229
S22x5/03-A,-56.62620376
S22x5/03-B,-56.62620376
S22x5/03-0.9,-113.2519167
S22x5/03-1.0,-113.25448181
S22x5/03-1.2,-113.25500746
S22x5/03-1.5,-113.25398263
S22x5/03-2.0,-113.25294983
S22x5/04-A,-76.50923984
S22x5/04-B,-76.50926837
S22x5/04-0.9,-153.02146369
S22x5/04-1.0,-153.02362474
S22x5/04-1.2,-153.02367008
S22x5/04-1.5,-153.02191609
S22x5/04-2.0,-153.02005001
S22x5/05-A,-40.56916576
S22x5/05-B,-40.56916576
S22x5/05-0.9,-81.13569294
S22x5/05-1.0,-81.13757616
S22x5/05-1.2,-81.13841918
S22x5/05-1.5,-81.13836186
S22x5/05-2.0,-81.13833345
S22x5/06-A,-78.69326875
S22x5/06-B,-78.69326875
S22x5/06-0.9,-157.37985268
S22x5/06-1.0,-157.38444698
S22x5/06-1.2,-157.3866565
S22x5/06-1.5,-157.3866697
S22x5/06-2.0,-157.38654366
S22x5/07-A,-78.69326645
S22x5/07-B,-77.43871324
S22x5/07-0.9,-156.13116244
S22x5/07-1.0,-156.13257968
S22x5/07-1.2,-156.13303536
S22x5/07-1.5,-156.13262474
S22x5/07-2.0,-156.13217761
S22x5/08-A,-189.97031248
S22x5/08-B,-189.97031248
S22x5/08-0.9,-379.95507634
S22x5/08-1.0,-379.96057849
S22x5/08-1.2,-379.95947701
S22x5/08-1.5,-379.95272905
S22x5/08-2.0,-379.94598708
S22x5/09-A,-170.08956213
S22x5/09-B,-170.08956213
S22x5/09-0.9,-340.19045603
S22x5/09-1.0,-340.1954194
S22x5/09-1.2,-340.1951518
S22x5/09-1.5,-340.19001057
S22x5/09-2.0,-340.18446065
S22x5/10-A,-232.54685271
S22x5/10-B,-76.50921211
S22x5/10-0.9,-309.05449846
S22x5/10-1.0,-309.05686993
S22x5/10-1.2,-309.05812459
S22x5/10-1.5,-309.05768425
S22x5/10-2.0,-309.05673312
S22x5/11-A,-232.54684534
S22x5/11-B,-56.62620025
S22x5/11-0.9,-289.16963043
S22x5/11-1.0,-289.17215578
S22x5/11-1.2,-289.17376614
S22x5/11-1.5,-289.17383652
S22x5/11-2.0,-289.17335451
S22x5/12-A,-232.54684532
S22x5/12-B,-40.56916132
S22x5/12-0.9,-273.11094763
S22x5/12-1.0,-273.11366803
S22x5/12-1.2,-273.11567343
S22x5/12-1.5,-273.1161686
S22x5/12-2.0,-273.11607553
S22x5/13-A,-232.54684531
S22x5/13-B,-232.54685583
S22x5/13-0.9,-465.08656643
S22x5/13-1.0,-465.09044724
S22x5/13-1.2,-465.09342307
S22x5/13-1.5,-465.09418284
S22x5/13-2.0,-465.09394182
S22x5/14-A,-232.54682622
S22x5/14-B,-232.54682622
S22x5/14-0.9,-465.0728321
S22x5/14-1.0,-465.08506649
S22x5/14-1.2,-465.0921341
S22x5/14-1.5,-465.09356932
S22x5/14-2.0,-465.09361616
S22x5/15-A,-232.54686636
S22x5/15-B,-364.27181772
S22x5/15-0.9,-596.81210723
S22x5/15-1.0,-596.81699854
S22x5/15-1.2,-596.82055055
S22x5/15-1.5,-596.82095881
S22x5/15-2.0,-596.81984104
S22x5/16-A,-232.54683071
S22x5/16-B,-364.27178969
S22x5/16-0.9,-596.79220005
S22x5/16-1.0,-596.80702613
S22x5/16-1.2,-596.81612025
S22x5/16-1.5,-596.81829655
S22x5/16-2.0,-596.81840335
S22x5/17-A,-264.64012778
S22x5/17-B,-264.64013838
S22x5/17-0.9,-529.25982242
S22x5/17-1.0,-529.27289967
S22x5/17-1.2,-529.27986072
S22x5/17-1.5,-529.2807354
S22x5/17-2.0,-529.28036706
S22x5/18-A,-323.90640995
S22x5/18-B,-304.02286231
S22x5/18-0.9,-627.9402942
S22x5/18-1.0,-627.94513584
S22x5/18-1.2,-627.94472199
S22x5/18-1.5,-627.93934219
S22x5/18-2.0,-627.93379471
S22x5/19-A,-307.84464135
S22x5/19-B,-307.84476248
S22x5/19-0.9,-615.68642554
S22x5/19-1.0,-615.6901299
S22x5/19-1.2,-615.69227641
S22x5/19-1.5,-615.69204966
S22x5/19-2.0,-615.69087009
S22x5/20-A,-415.29653965
S22x5/20-B,-415.29653965
S22x5/20-0.9,-830.57273399
S22x5/20-1.0,-830.58936757
S22x5/20-1.2,-830.59637073
S22x5/20-1.5,-830.59556935
S22x5/20-2.0,-830.59396262
S22x5/21-A,-415.29559036
S22x5/21-B,-415.29559036
S22x5/21-0.9,-830.60801301
S22x5/21-1.0,-830.61306444
S22x5/21-1.2,-830.61176726
S22x5/21-1.5,-830.60490447
S22x5/21-2.0,-830.59775613
S22x5/22-A,-232.54687312
S22x5/22-B,-93.54630958
S22x5/22-0.9,-326.09141501
S22x5/22-1.0,-326.09437854
S22x5/22-1.2,-326.09602092
S22x5/22-1.5,-326.09554428
S22x5/22-2.0,-326.0943116
S66x8/01-A,-76.50926961
S66x8/01-B,-76.50926722
S66x8/01-090,-153.02233382
S66x8/01-095,-153.02335398
S66x8/01-100,-153.02383686
S66x8/01-105,-153.0239813
S66x8/01-110,-153.02390773
S66x8/01-125,-153.02314071
S66x8/01-150,-153.02167319
S66x8/01-200,-153.01990823
S66x8/02-A,-76.50926971
S66x8/02-B,-115.85217951
S66x8/02-090,-192.36458279
S66x8/02-095,-192.365851
S66x8/02-100,-192.36650721
S66x8/02-105,-192.3667694
S66x8/02-110,-192.36677764
S66x8/02-125,-192.36610799
S66x8/02-150,-192.36463724
S66x8/02-200,-192.36282068
S66x8/03-A,-76.50926195
S66x8/03-B,-95.9730898
S66x8/03-090,-172.48811046
S66x8/03-095,-172.48926589
S66x8/03-100,-172.48978035
S66x8/03-105,-172.48987833
S66x8/03-110,-172.48971326
S66x8/03-125,-172.48852562
S66x8/03-150,-172.48639215
S66x8/03-200,-172.48397631
S66x8/04-A,-76.50926421
S66x8/04-B,-248.81076527
S66x8/04-090,-325.32492922
S66x8/04-095,-325.32639867
S66x8/04-100,-325.3271868
S66x8/04-105,-325.32750785
S66x8/04-110,-325.327528
S66x8/04-125,-325.32669661
S66x8/04-150,-325.32483509
S66x8/04-200,-325.32203365
S66x8/05-A,-115.85194228
S66x8/05-B,-115.85218636
S66x8/05-090,-231.70692247
S66x8/05-095,-231.70832668
S66x8/05-100,-231.70908748
S66x8/05-105,-231.7094275
S66x8/05-110,-231.70949486
S66x8/05-125,-231.70891196
S66x8/05-150,-231.70745605
S66x8/05-200,-231.70561409
S66x8/06-A,-115.85168268
S66x8/06-B,-95.97309568
S66x8/06-090,-211.8291937
S66x8/06-095,-211.83083855
S66x8/06-100,-211.83173153
S66x8/06-105,-211.83211404
S66x8/06-110,-211.83214402
S66x8/06-125,-211.83122932
S66x8/06-150,-211.82917064
S66x8/06-200,-211.82667195
S66x8/07-A,-115.85180556
S66x8/07-B,-248.81078923
S66x8/07-090,-364.66679533
S66x8/07-095,-364.66847047
S66x8/07-100,-364.66940627
S66x8/07-105,-364.66983537
S66x8/07-110,-364.66993678
S66x8/07-125,-364.66926234
S66x8/07-150,-364.66716736
S66x8/07-200,-364.66421277
S66x8/08-A,-115.85197258
S66x8/08-B,-76.50926827
S66x8/08-090,-192.36463702
S66x8/08-095,-192.36578994
S66x8/08-100,-192.36637176
S66x8/08-105,-192.36659074
S66x8/08-110,-192.36657269
S66x8/08-125,-192.36588962
S66x8/08-150,-192.36445166
S66x8/08-200,-192.36269098
S66x8/09-A,-95.97300294
S66x8/09-B,-115.85215176
S66x8/09-090,-211.82455805
S66x8/09-095,-211.82579848
S66x8/09-100,-211.82653291
S66x8/09-105,-211.82693938
S66x8/09-110,-211.82714041
S66x8/09-125,-211.82712332
S66x8/09-150,-211.82654936
S66x8/09-200,-211.82573949
S66x8/10-A,-95.97301804
S66x8/10-B,-95.97307423
S66x8/10-090,-191.94446186
S66x8/10-095,-191.94622993
S66x8/10-100,-191.94733287
S66x8/10-105,-191.94798252
S66x8/10-110,-191.94832362
S66x8/10-125,-191.94847525
S66x8/10-150,-191.94765805
S66x8/10-200,-191.94662189
S66x8/11-A,-95.97285898
S66x8/11-B,-248.81096851
S66x8/11-090,-344.78176227
S66x8/11-095,-344.78376501
S66x8/11-100,-344.78505856
S66x8/11-105,-344.7858643
S66x8/11-110,-344.78634119
S66x8/11-125,-344.78660923
S66x8/11-150,-344.78560754
S66x8/11-200,-344.78455651
S66x8/12-A,-95.97306948
S66x8/12-B,-76.50893697
S66x8/12-090,-172.48702642
S66x8/12-095,-172.48849285
S66x8/12-100,-172.48923372
S66x8/12-105,-172.48949474
