system,wB97M(w=100)/def2-QZVP/Q-Chem
S22x5/01-A,-467.68123018
S22x5/01-B,-454.47113354
S22x5/01-0.9,-922.16851243
S22x5/01-1.0,-922.17202406
S22x5/01-1.2,-922.16940284
S22x5/01-1.5,-922.16212103
S22x5/01-2.0,-922.15578246
S22x5/02-A,-467.68125404
S22x5/02-B,-454.47231221
S22x5/02-0.9,-922.1384258
S22x5/02-1.0,-922.15433647
S22x5/02-1.2,-922.15853541
S22x5/02-1.5,-922.15633568
S22x5/02-2.0,-922.15448953
S22x5/03-A,-56.59172344
S22x5/03-B,-56.59172345
S22x5/03-0.9,-113.18565904
S22x5/03-1.0,-113.18734197
S22x5/03-1.2,-113.18674008
S22x5/03-1.5,-113.1851139
S22x5/03-2.0,-113.18398727
S22x5/04-A,-76.47592208
S22x5/04-B,-76.47594642
S22x5/04-0.9,-152.95747449
S22x5/04-1.0,-152.95897824
S22x5/04-1.2,-152.95804191
S22x5/04-1.5,-152.9555419
S22x5/04-2.0,-152.95341537
S22x5/05-A,-40.53147177
S22x5/05-B,-40.53147177
S22x5/05-0.9,-81.06185671
S22x5/05-1.0,-81.06288247
S22x5/05-1.2,-81.06307549
S22x5/05-1.5,-81.06296717
S22x5/05-2.0,-81.06294529
S22x5/06-A,-78.63798926
S22x5/06-B,-78.63798926
S22x5/06-0.9,-157.27315363
S22x5/06-1.0,-157.27597038
S22x5/06-1.2,-157.27647619
S22x5/06-1.5,-157.27610969
S22x5/06-2.0,-157.27598437
S22x5/07-A,-78.63798436
S22x5/07-B,-77.39123619
S22x5/07-0.9,-156.02996548
S22x5/07-1.0,-156.03080804
S22x5/07-1.2,-156.03059186
S22x5/07-1.5,-156.02988219
S22x5/07-2.0,-156.02941858
S22x5/08-A,-189.89693537
S22x5/08-B,-189.89693538
S22x5/08-0.9,-379.81505857
S22x5/08-1.0,-379.81944073
S22x5/08-1.2,-379.8163649
S22x5/08-1.5,-379.80754042
S22x5/08-2.0,-379.79945774
S22x5/09-A,-170.01531366
S22x5/09-B,-170.01531366
S22x5/09-0.9,-340.04806912
S22x5/09-1.0,-340.05180799
S22x5/09-1.2,-340.04952125
S22x5/09-1.5,-340.04254053
S22x5/09-2.0,-340.03606082
S22x5/10-A,-232.4201654
S22x5/10-B,-76.4758887
S22x5/10-0.9,-308.89779805
S22x5/10-1.0,-308.89916228
S22x5/10-1.2,-308.89907078
S22x5/10-1.5,-308.89785074
S22x5/10-2.0,-308.89673243
S22x5/11-A,-232.42016533
S22x5/11-B,-56.59170544
S22x5/11-0.9,-289.01155025
S22x5/11-1.0,-289.01307691
S22x5/11-1.2,-289.0134108
S22x5/11-1.5,-289.01278723
S22x5/11-2.0,-289.01217722
S22x5/12-A,-232.42017404
S22x5/12-B,-40.53146753
S22x5/12-0.9,-272.94960679
S22x5/12-1.0,-272.95132241
S22x5/12-1.2,-272.95207424
S22x5/12-1.5,-272.9519089
S22x5/12-2.0,-272.95169905
S22x5/13-A,-232.42017001
S22x5/13-B,-232.42017625
S22x5/13-0.9,-464.83742829
S22x5/13-1.0,-464.84002674
S22x5/13-1.2,-464.8413181
S22x5/13-1.5,-464.84105222
S22x5/13-2.0,-464.84058372
S22x5/14-A,-232.42015653
S22x5/14-B,-232.42015652
S22x5/14-0.9,-464.82780408
S22x5/14-1.0,-464.83664564
S22x5/14-1.2,-464.8401101
S22x5/14-1.5,-464.84027259
S22x5/14-2.0,-464.84027081
S22x5/15-A,-232.42016731
S22x5/15-B,-364.09386597
S22x5/15-0.9,-596.51310773
S22x5/15-1.0,-596.51645687
S22x5/15-1.2,-596.51784778
S22x5/15-1.5,-596.51677519
S22x5/15-2.0,-596.51521909
S22x5/16-A,-232.42015266
S22x5/16-B,-364.09383677
S22x5/16-0.9,-596.49874291
S22x5/16-1.0,-596.50953452
S22x5/16-1.2,-596.51381713
S22x5/16-1.5,-596.51383814
S22x5/16-2.0,-596.513744
S22x5/17-A,-264.51630957
S22x5/17-B,-264.51631724
S22x5/17-0.9,-529.02101657
S22x5/17-1.0,-529.03056571
S22x5/17-1.2,-529.03368109
S22x5/17-1.5,-529.03316622
S22x5/17-2.0,-529.03272334
S22x5/18-A,-323.76051885
S22x5/18-B,-303.87705296
S22x5/18-0.9,-627.6550573
S22x5/18-1.0,-627.65866562
S22x5/18-1.2,-627.65620247
S22x5/18-1.5,-627.64886528
S22x5/18-2.0,-627.64222833
S22x5/19-A,-307.69779233
S22x5/19-B,-307.69785568
S22x5/19-0.9,-615.39817629
S22x5/19-1.0,-615.40064328
S22x5/19-1.2,-615.4009092
S22x5/19-1.5,-615.39909475
S22x5/19-2.0,-615.39716802
S22x5/20-A,-415.13149632
S22x5/20-B,-415.13149632
S22x5/20-0.9,-830.25489943
S22x5/20-1.0,-830.26651242
S22x5/20-1.2,-830.26816268
S22x5/20-1.5,-830.26556655
S22x5/20-2.0,-830.26386726
S22x5/21-A,-415.13063053
S22x5/21-B,-415.13063053
S22x5/21-0.9,-830.28452163
S22x5/21-1.0,-830.28832692
S22x5/21-1.2,-830.28495398
S22x5/21-1.5,-830.27610693
S22x5/21-2.0,-830.26792773
S22x5/22-A,-232.42017874
S22x5/22-B,-93.49959693
S22x5/22-0.9,-325.92193857
S22x5/22-1.0,-325.92381171
S22x5/22-1.2,-325.92391176
S22x5/22-1.5,-325.92242298
S22x5/22-2.0,-325.92092625
S66x8/01-A,-76.47594328
S66x8/01-B,-76.47594504
S66x8/01-090,-152.95812014
S66x8/01-095,-152.95880433
S66x8/01-100,-152.95898154
S66x8/01-105,-152.95884975
S66x8/01-110,-152.95852979
S66x8/01-125,-152.95719409
S66x8/01-150,-152.95523256
S66x8/01-200,-152.95327455
S66x8/02-A,-76.4759442
S66x8/02-B,-115.79289341
S66x8/02-090,-192.27489152
S66x8/02-095,-192.27576732
S66x8/02-100,-192.27606592
S66x8/02-105,-192.27600427
S66x8/02-110,-192.27572281
S66x8/02-125,-192.27437735
S66x8/02-150,-192.27230113
S66x8/02-200,-192.27022339
S66x8/03-A,-76.47593813
S66x8/03-B,-95.91323939
S66x8/03-090,-172.39782872
S66x8/03-095,-172.3986578
S66x8/03-100,-172.39886756
S66x8/03-105,-172.39868293
S66x8/03-110,-172.39825835
S66x8/03-125,-172.39642745
S66x8/03-150,-172.39363495
S66x8/03-200,-172.39084278
S66x8/04-A,-76.4759402
S66x8/04-B,-248.68853063
S66x8/04-090,-325.17328985
S66x8/04-095,-325.1743162
S66x8/04-100,-325.17468705
S66x8/04-105,-325.17461957
S66x8/04-110,-325.17428455
S66x8/04-125,-325.17259177
S66x8/04-150,-325.1698366
S66x8/04-200,-325.1665109
S66x8/05-A,-115.79271996
S66x8/05-B,-115.79290138
S66x8/05-090,-231.59145258
S66x8/05-095,-231.59245076
S66x8/05-100,-231.59284222
S66x8/05-105,-231.59284747
S66x8/05-110,-231.59261509
S66x8/05-125,-231.59133196
S66x8/05-150,-231.58924175
S66x8/05-200,-231.58710748
S66x8/06-A,-115.79248695
S66x8/06-B,-95.9132421
S66x8/06-090,-211.71385461
S66x8/06-095,-211.71504885
S66x8/06-100,-211.71552068
S66x8/06-105,-211.715513
S66x8/06-110,-211.71519969
S66x8/06-125,-211.71348637
S66x8/06-150,-211.71061833
S66x8/06-200,-211.70765691
S66x8/07-A,-115.79259832
S66x8/07-B,-248.68845649
S66x8/07-090,-364.48947002
S66x8/07-095,-364.49067549
S66x8/07-100,-364.49117326
S66x8/07-105,-364.49119651
S66x8/07-110,-364.49092582
S66x8/07-125,-364.48932719
S66x8/07-150,-364.48616666
S66x8/07-200,-364.48267293
S66x8/08-A,-115.79274631
S66x8/08-B,-76.4759465
S66x8/08-090,-192.27464471
S66x8/08-095,-192.27544499
S66x8/08-100,-192.27570623
S66x8/08-105,-192.2756362
S66x8/08-110,-192.27536045
S66x8/08-125,-192.27408251
S66x8/08-150,-192.27212155
S66x8/08-200,-192.27014288
S66x8/09-A,-95.91316696
S66x8/09-B,-115.79288383
S66x8/09-090,-211.70805054
S66x8/09-095,-211.7088134
S66x8/09-100,-211.70914387
S66x8/09-105,-211.70921188
S66x8/09-110,-211.70912543
S66x8/09-125,-211.70851428
S66x8/09-150,-211.70754282
S66x8/09-200,-211.70663612
S66x8/10-A,-95.91319197
S66x8/10-B,-95.91322368
S66x8/10-090,-191.82868136
S66x8/10-095,-191.82983296
S66x8/10-100,-191.83038455
S66x8/10-105,-191.83055551
S66x8/10-110,-191.8304856
S66x8/10-125,-191.82972381
S66x8/10-150,-191.82811892
S66x8/10-200,-191.82694217
S66x8/11-A,-95.91303799
S66x8/11-B,-248.68862917
S66x8/11-090,-344.60438913
S66x8/11-095,-344.60570368
S66x8/11-100,-344.606378
S66x8/11-105,-344.60663312
S66x8/11-110,-344.60662267
S66x8/11-125,-344.60537334
S66x8/11-150,-344.60353263
S66x8/11-200,-344.60238044
S66x8/12-A,-95.91321477
S66x8/12-B,-76.47564945
S66x8/12-090,-172.39733015
S66x8/12-095,-172.39838661
S66x8/12-100,-172.39874867
S66x8/12-105,-172.39866
S66x8/12-110,-172.39829577
S66x8/12-125,-172.39652106
S66x8/12-150,-172.39369201
S66x8/12-200,-172.39084009
S66x8/13-A,-248.68855265
S66x8/13-B,-115.79290182
S66x8/13-090,-364.48625888
S66x8/13-095,-364.48745179
S66x8/13-100,-364.48802479
S66x8/13-105,-364.48819185
S66x8/13-110,-364.48809505
S66x8/13-125,-364.48714166
S66x8/13-150,-364.48532875
S66x8/13-200,-364.48327903
S66x8/14-A,-248.68831969
S66x8/14-B,-95.91322835
