system,energy
S22x5/01-0.9,-11.0288440955
S22x5/01-1.0,-12.8909437592
S22x5/01-1.2,-10.7283893589
S22x5/01-1.5,-5.8619370456
S22x5/01-2.0,-1.9283066822
S22x5/02-0.9,11.5457023141
S22x5/02-1.0, 1.1850401588
S22x5/02-1.2,-1.9256649302
S22x5/02-1.5,-1.1666822436
S22x5/02-2.0,-0.5473709924
S22x5/03-0.9,-1.3389583809
S22x5/03-1.0,-2.2964128388
S22x5/03-1.2,-1.8497310127
S22x5/03-1.5,-0.8831801775
S22x5/03-2.0,-0.3110321618
S22x5/04-0.9,-4.0195170831
S22x5/04-1.0,-4.7397690691
S22x5/04-1.2,-3.8858881875
S22x5/04-1.5,-2.2014018175
S22x5/04-2.0,-0.9234125081
S22x5/05-0.9, 1.1166486542
S22x5/05-1.0, 0.3958279563
S22x5/05-1.2, 0.1191007962
S22x5/05-1.5, 0.0256021355
S22x5/05-2.0, 0.0004139680
S22x5/06-0.9, 2.3415548663
S22x5/06-1.0, 0.5055925411
S22x5/06-1.2, 0.0661833615
S22x5/06-1.5, 0.0278353163
S22x5/06-2.0, 0.0005724769
S22x5/07-0.9,-0.0842174190
S22x5/07-1.0,-0.6519649618
S22x5/07-1.2,-0.6076840027
S22x5/07-1.5,-0.2883777520
S22x5/07-2.0,-0.1027587552
S22x5/08-0.9,-15.2174732248
S22x5/08-1.0,-17.4618879303
S22x5/08-1.2,-14.7362507672
S22x5/08-1.5,-8.6021227648
S22x5/08-2.0,-3.3459745805
S22x5/09-0.9,-12.1250499343
S22x5/09-1.0,-14.1123277606
S22x5/09-1.2,-12.1281414224
S22x5/09-1.5,-7.3877390708
S22x5/09-2.0,-3.2827684377
S22x5/10-0.9,-0.5491327252
S22x5/10-1.0,-1.4411484871
S22x5/10-1.2,-1.4517692104
S22x5/10-1.5,-0.8652954044
S22x5/10-2.0,-0.3740918439
S22x5/11-0.9, 0.8407287850
S22x5/11-1.0,-0.1880811557
S22x5/11-1.2,-0.5339877213
S22x5/11-1.5,-0.3329633669
S22x5/11-2.0,-0.1478155670
S22x5/12-0.9, 1.9763179969
S22x5/12-1.0, 0.7861968312
S22x5/12-1.2, 0.1401297055
S22x5/12-1.5, 0.0517436155
S22x5/12-2.0, 0.0052666243
S22x5/13-0.9, 2.7640809662
S22x5/13-1.0, 0.9909193499
S22x5/13-1.2,-0.0387248647
S22x5/13-1.5,-0.1142889908
S22x5/13-2.0,-0.0700126753
S22x5/14-0.9, 9.8061500425
S22x5/14-1.0, 3.7228244541
S22x5/14-1.2, 0.9132395128
S22x5/14-1.5, 0.2964502221
S22x5/14-2.0, 0.0540825943
S22x5/15-0.9, 1.6736101248
S22x5/15-1.0,-0.5720830056
S22x5/15-1.2,-1.6544866480
S22x5/15-1.5,-1.2198759079
S22x5/15-2.0,-0.5946618006
S22x5/16-0.9,11.9494007452
S22x5/16-1.0, 4.6109762636
S22x5/16-1.2, 1.1928425488
S22x5/16-1.5, 0.5616419383
S22x5/16-2.0, 0.2012721578
S22x5/17-0.9, 8.7799610834
S22x5/17-1.0, 2.4448970799
S22x5/17-1.2, 0.0475702383
S22x5/17-1.5,-0.0617538976
S22x5/17-2.0,-0.0420680468
S22x5/18-0.9,-11.8719117966
S22x5/18-1.0,-13.8291156666
S22x5/18-1.2,-11.7934701003
S22x5/18-1.5,-6.8988657039
S22x5/18-2.0,-2.7447777708
S22x5/19-0.9,-1.7045871300
S22x5/19-1.0,-3.0600745497
S22x5/19-1.2,-2.9878030285
S22x5/19-1.5,-1.7878122056
S22x5/19-2.0,-0.7555263016
S22x5/20-0.9, 6.2999397882
S22x5/20-1.0,-1.0606553562
S22x5/20-1.2,-2.3439506975
S22x5/20-1.5,-1.2502744122
S22x5/20-2.0,-0.5341200630
S22x5/21-0.9,-15.9170999157
S22x5/21-1.0,-17.9526807231
S22x5/21-1.2,-15.2721869682
S22x5/21-1.5,-9.3161144026
S22x5/21-2.0,-4.0963743807
S22x5/22-0.9,-0.7249642684
S22x5/22-1.0,-1.9595761069
S22x5/22-1.2,-2.1293305974
S22x5/22-1.5,-1.3587467666
S22x5/22-2.0,-0.6418891676
S66x8/01-090,-4.3581188109
S66x8/01-095,-4.6719142734
S66x8/01-100,-4.6867547469
S66x8/01-105,-4.5220011932
S66x8/01-110,-4.2575322424
S66x8/01-125,-3.2933158052
S66x8/01-150,-2.0012766842
S66x8/01-200,-0.8389878227
S66x8/02-090,-4.3495396896
S66x8/02-095,-4.7650607130
S66x8/02-100,-4.8397404272
S66x8/02-105,-4.7052240450
S66x8/02-110,-4.4505459991
S66x8/02-125,-3.4543230019
S66x8/02-150,-2.0707793826
S66x8/02-200,-0.8298523515
S66x8/03-090,-5.9392690542
S66x8/03-095,-6.3438638826
S66x8/03-100,-6.3737765690
S66x8/03-105,-6.1693073131
S66x8/03-110,-5.8269009326
S66x8/03-125,-4.5234097010
S66x8/03-150,-2.6808036191
S66x8/03-200,-0.9743466364
S66x8/04-090,-6.1892614241
S66x8/04-095,-6.6843415499
S66x8/04-100,-6.7810889526
S66x8/04-105,-6.6262354276
S66x8/04-110,-6.3203709319
S66x8/04-125,-5.0705116172
S66x8/04-150,-3.2111800233
S66x8/04-200,-1.2083860840
S66x8/05-090,-4.1228382751
S66x8/05-095,-4.6268862643
S66x8/05-100,-4.7683936040
S66x8/05-105,-4.6837396894
