system,energy
S22x5/01-0.9,-13.0937708855
S22x5/01-1.0,-14.5550720903
S22x5/01-1.2,-11.7827194825
S22x5/01-1.5,-6.3694724188
S22x5/01-2.0,-2.0542952108
S22x5/02-0.9, 6.1086376891
S22x5/02-1.0,-2.3230438389
S22x5/02-1.2,-3.2843504519
S22x5/02-1.5,-1.4700363250
S22x5/02-2.0,-0.5882235534
S22x5/03-0.9,-2.0937632349
S22x5/03-1.0,-2.8956759153
S22x5/03-1.2,-2.0857077702
S22x5/03-1.5,-0.9260953622
S22x5/03-2.0,-0.2653684856
S22x5/04-0.9,-4.9414286513
S22x5/04-1.0,-5.4374448330
S22x5/04-1.2,-4.2931891505
S22x5/04-1.5,-2.3857930292
S22x5/04-2.0,-0.9761886905
S22x5/05-0.9, 0.5152436368
S22x5/05-1.0, 0.0618911340
S22x5/05-1.2, 0.0162188609
S22x5/05-1.5, 0.0094223058
S22x5/05-2.0,-0.0009486061
S22x5/06-0.9, 1.0691148115
S22x5/06-1.0,-0.2501081454
S22x5/06-1.2,-0.1866931675
S22x5/06-1.5,-0.0119536790
S22x5/06-2.0,-0.0013837211
S22x5/07-0.9,-0.5195794762
S22x5/07-1.0,-0.9663044122
S22x5/07-1.2,-0.7636916431
S22x5/07-1.5,-0.3388735649
S22x5/07-2.0,-0.1107773850
S22x5/08-0.9,-17.8046149054
S22x5/08-1.0,-19.5326363139
S22x5/08-1.2,-16.0495521683
S22x5/08-1.5,-9.2720195628
S22x5/08-2.0,-3.5599469654
S22x5/09-0.9,-14.1842646937
S22x5/09-1.0,-15.7577258752
S22x5/09-1.2,-13.1889296224
S22x5/09-1.5,-7.9207974505
S22x5/09-2.0,-3.4527667784
S22x5/10-0.9,-1.6983233932
S22x5/10-1.0,-2.2691485561
S22x5/10-1.2,-1.9043162420
S22x5/10-1.5,-1.0603261020
S22x5/10-2.0,-0.4448168679
S22x5/11-0.9,-0.1590869549
S22x5/11-1.0,-0.9304780766
S22x5/11-1.2,-0.8804927426
S22x5/11-1.5,-0.4380011738
S22x5/11-2.0,-0.1525428469
S22x5/12-0.9, 1.0037468358
S22x5/12-1.0, 0.0845801195
S22x5/12-1.2,-0.1994212559
S22x5/12-1.5,-0.0524020612
S22x5/12-2.0,-0.0067580888
S22x5/13-0.9, 1.3918331450
S22x5/13-1.0,-0.0086167091
S22x5/13-1.2,-0.5446332313
S22x5/13-1.5,-0.3022074961
S22x5/13-2.0,-0.0967978545
S22x5/14-0.9, 7.4670338662
S22x5/14-1.0, 2.2758627820
S22x5/14-1.2, 0.4359428800
S22x5/14-1.5, 0.2400472233
S22x5/14-2.0, 0.0909555530
S22x5/15-0.9,-0.1783161670
S22x5/15-1.0,-1.9650171788
S22x5/15-1.2,-2.4219870227
S22x5/15-1.5,-1.5400603581
S22x5/15-2.0,-0.6804397101
S22x5/16-0.9, 8.7525111834
S22x5/16-1.0, 2.5372640899
S22x5/16-1.2, 0.3334326812
S22x5/16-1.5, 0.3548089170
S22x5/16-2.0, 0.1607937807
