system,energy
S22x5/01-0.9,-13.0577342714
S22x5/01-1.0,-14.5427874628
S22x5/01-1.2,-11.8094525783
S22x5/01-1.5,-6.3929552665
S22x5/01-2.0,-2.1081100468
S22x5/02-0.9, 6.1739062045
S22x5/02-1.0,-2.1375534816
S22x5/02-1.2,-3.2038861670
S22x5/02-1.5,-1.4423309032
S22x5/02-2.0,-0.5841658889
S22x5/03-0.9,-2.1314213334
S22x5/03-1.0,-2.8711001343
S22x5/03-1.2,-2.1701047825
S22x5/03-1.5,-1.0098089538
S22x5/03-2.0,-0.3483857928
S22x5/04-0.9,-4.9409012923
S22x5/04-1.0,-5.4445504993
S22x5/04-1.2,-4.2957936914
S22x5/04-1.5,-2.3834170901
S22x5/04-2.0,-0.9765124226
S22x5/05-0.9, 0.5315505372
S22x5/05-1.0, 0.0695530874
S22x5/05-1.2, 0.0232258827
S22x5/05-1.5, 0.0136371614
S22x5/05-2.0, 0.0009367461
S22x5/06-0.9, 1.1134840611
S22x5/06-1.0,-0.2427807173
S22x5/06-1.2,-0.1992501341
S22x5/06-1.5,-0.0109075579
S22x5/06-2.0,-0.0014743335
S22x5/07-0.9,-0.5303495468
S22x5/07-1.0,-0.9753465100
S22x5/07-1.2,-0.7638017711
S22x5/07-1.5,-0.3461019720
S22x5/07-2.0,-0.1127876116
S22x5/08-0.9,-17.7669704865
S22x5/08-1.0,-19.5268699411
S22x5/08-1.2,-16.0568739488
S22x5/08-1.5,-9.2506645369
S22x5/08-2.0,-3.5667901445
S22x5/09-0.9,-14.1272367582
S22x5/09-1.0,-15.7532063637
S22x5/09-1.2,-13.1580695222
S22x5/09-1.5,-7.8972452001
S22x5/09-2.0,-3.4571503086
S22x5/10-0.9,-1.6597410987
S22x5/10-1.0,-2.2897979477
S22x5/10-1.2,-1.8899395607
S22x5/10-1.5,-1.0281139700
S22x5/10-2.0,-0.4091123946
S22x5/11-0.9,-0.1800288913
S22x5/11-1.0,-0.9667851472
S22x5/11-1.2,-0.8941714451
S22x5/11-1.5,-0.4639127970
S22x5/11-2.0,-0.1788646730
S22x5/12-0.9, 1.0132914432
S22x5/12-1.0, 0.0779442068
S22x5/12-1.2,-0.2216369738
S22x5/12-1.5,-0.0713672800
S22x5/12-2.0,-0.0144723138
S22x5/13-0.9, 1.3353026990
S22x5/13-1.0, 0.0079324728
S22x5/13-1.2,-0.5695951189
S22x5/13-1.5,-0.3056368981
S22x5/13-2.0,-0.1116886543
S22x5/14-0.9, 7.6910399393
S22x5/14-1.0, 2.2658462875
S22x5/14-1.2, 0.4902725875
S22x5/14-1.5, 0.2765343892
S22x5/14-2.0, 0.1456072357
S22x5/15-0.9,-0.2337452083
S22x5/15-1.0,-2.0016579590
S22x5/15-1.2,-2.4982882215
S22x5/15-1.5,-1.6227009086
S22x5/15-2.0,-0.7174543605
S22x5/16-0.9, 8.7757658687
S22x5/16-1.0, 2.7001258908
S22x5/16-1.2, 0.4359978498
S22x5/16-1.5, 0.3610878395
S22x5/16-2.0, 0.1581243554
S22x5/17-0.9, 6.2024914574
S22x5/17-1.0, 0.8333627650
S22x5/17-1.2,-0.5664525514
S22x5/17-1.5,-0.2121303935
S22x5/17-2.0,-0.0741981635
S22x5/18-0.9,-13.6254466109
S22x5/18-1.0,-15.2735630337
S22x5/18-1.2,-12.7245041502
S22x5/18-1.5,-7.3495612689
S22x5/18-2.0,-2.8808048193
S22x5/19-0.9,-3.7345105003
S22x5/19-1.0,-4.5902203210
S22x5/19-1.2,-4.0491003270
S22x5/19-1.5,-2.3475211010
S22x5/19-2.0,-0.9969229213
S22x5/20-0.9, 2.3782813016
S22x5/20-1.0,-3.6031932868
S22x5/20-1.2,-3.2067327382
S22x5/20-1.5,-1.4315023486
S22x5/20-2.0,-0.5424953692
S22x5/21-0.9,-17.9442400931
S22x5/21-1.0,-19.7026295718
S22x5/21-1.2,-16.3398563116
