system,energy
S22x5/01-0.9,-16.3087513572
S22x5/01-1.0,-17.0939028831
S22x5/01-1.2,-13.3588487087
S22x5/01-1.5,-7.0830695413
S22x5/01-2.0,-2.2769252183
S22x5/02-0.9,-1.0225762616
S22x5/02-1.0,-6.7253529336
S22x5/02-1.2,-4.8861933221
S22x5/02-1.5,-1.7839451785
S22x5/02-2.0,-0.6109228929
S22x5/03-0.9,-3.3567719478
S22x5/03-1.0,-3.7403555627
S22x5/03-1.2,-2.5680268006
S22x5/03-1.5,-1.1281221001
S22x5/03-2.0,-0.3598687769
S22x5/04-0.9,-6.2558361005
S22x5/04-1.0,-6.4307093741
S22x5/04-1.2,-4.8298972509
S22x5/04-1.5,-2.5891412394
S22x5/04-2.0,-1.0228483497
S22x5/05-0.9,-0.2551407714
S22x5/05-1.0,-0.3558150029
S22x5/05-1.2,-0.0868665130
S22x5/05-1.5,-0.0025203291
S22x5/05-2.0, 0.0004787897
S22x5/06-0.9,-0.5635712789
S22x5/06-1.0,-1.2415453789
S22x5/06-1.2,-0.5018334455
S22x5/06-1.5,-0.0591706921
S22x5/06-2.0,-0.0030911744
S22x5/07-0.9,-1.2463933288
S22x5/07-1.0,-1.4671760112
S22x5/07-1.2,-0.9879119480
S22x5/07-1.5,-0.4096478484
S22x5/07-2.0,-0.1226961117
S22x5/08-0.9,-21.2946267556
S22x5/08-1.0,-22.3542905841
S22x5/08-1.2,-17.8185634370
S22x5/08-1.5,-10.0747278625
S22x5/08-2.0,-3.7829537297
S22x5/09-0.9,-17.1314303970
S22x5/09-1.0,-18.1055335597
S22x5/09-1.2,-14.5731843355
S22x5/09-1.5,-8.5179832197
S22x5/09-2.0,-3.6173218509
S22x5/10-0.9,-3.1655816082
S22x5/10-1.0,-3.3550297305
S22x5/10-1.2,-2.4297204495
S22x5/10-1.5,-1.2224479438
S22x5/10-2.0,-0.4580310880
S22x5/11-0.9,-1.5723140942
S22x5/11-1.0,-1.9361986179
S22x5/11-1.2,-1.3817151822
S22x5/11-1.5,-0.6195374684
S22x5/11-2.0,-0.2028627689
S22x5/12-0.9,-0.3299678249
S22x5/12-1.0,-0.8500363193
S22x5/12-1.2,-0.6438798160
S22x5/12-1.5,-0.1960156993
S22x5/12-2.0,-0.0314712317
S22x5/13-0.9,-0.5079274411
S22x5/13-1.0,-1.3611653765
S22x5/13-1.2,-1.2434411478
S22x5/13-1.5,-0.5361563313
S22x5/13-2.0,-0.1478059661
S22x5/14-0.9, 4.3435462839
S22x5/14-1.0, 0.2873323840
S22x5/14-1.2,-0.2113477637
S22x5/14-1.5, 0.1232439275
S22x5/14-2.0, 0.0852917152
S22x5/15-0.9,-2.7241408667
S22x5/15-1.0,-3.8630275781
S22x5/15-1.2,-3.4785103546
S22x5/15-1.5,-1.9623937499
S22x5/15-2.0,-0.7903743500
S22x5/16-0.9, 4.4249639439
S22x5/16-1.0,-0.1646730442
S22x5/16-1.2,-0.6513946812
S22x5/16-1.5, 0.1608897897
S22x5/16-2.0, 0.1684282492
S22x5/17-0.9, 2.5558993642
S22x5/17-1.0,-1.4224682830
S22x5/17-1.2,-1.3425615403
S22x5/17-1.5,-0.3449258938
S22x5/17-2.0,-0.0813222159
S22x5/18-0.9,-16.6288627026
S22x5/18-1.0,-17.6607008785
S22x5/18-1.2,-14.1751386980
S22x5/18-1.5,-7.9942346960
S22x5/18-2.0,-3.0402259858
S22x5/19-0.9,-6.3015763329
S22x5/19-1.0,-6.6101578192
S22x5/19-1.2,-5.2461940642
S22x5/19-1.5,-2.8741261105
S22x5/19-2.0,-1.1226080489
S22x5/20-0.9,-3.0314198315
S22x5/20-1.0,-6.8485821774
S22x5/20-1.2,-4.3152976898
S22x5/20-1.5,-1.6264249264
S22x5/20-2.0,-0.5588535999
S22x5/21-0.9,-21.1883075744
