system,energy
S22x5/01-0.9,-16.1844033895
S22x5/01-1.0,-16.9982257605
S22x5/01-1.2,-13.3069895686
S22x5/01-1.5,-7.0666990114
S22x5/01-2.0,-2.2753080009
S22x5/02-0.9,-0.8152235997
S22x5/02-1.0,-6.6021319730
S22x5/02-1.2,-4.8523241885
S22x5/02-1.5,-1.7817711718
S22x5/02-2.0,-0.6116533766
S22x5/03-0.9,-3.3035179798
S22x5/03-1.0,-3.7067265142
S22x5/03-1.2,-2.5560811538
S22x5/03-1.5,-1.1260242732
S22x5/03-2.0,-0.3596397987
S22x5/04-0.9,-6.2092961074
S22x5/04-1.0,-6.3959198095
S22x5/04-1.2,-4.8134078079
S22x5/04-1.5,-2.5860774244
S22x5/04-2.0,-1.0238130828
S22x5/05-0.9,-0.2330949203
S22x5/05-1.0,-0.3461362968
S22x5/05-1.2,-0.0853627493
S22x5/05-1.5,-0.0024644180
S22x5/05-2.0, 0.0004821783
S22x5/06-0.9,-0.5094927634
S22x5/06-1.0,-1.2137551178
S22x5/06-1.2,-0.4965086511
S22x5/06-1.5,-0.0588517918
S22x5/06-2.0,-0.0031089329
S22x5/07-0.9,-1.2194909936
S22x5/07-1.0,-1.4516411985
S22x5/07-1.2,-0.9836094293
S22x5/07-1.5,-0.4092339432
S22x5/07-2.0,-0.1227706599
S22x5/08-0.9,-21.2077508927
S22x5/08-1.0,-22.2805412154
S22x5/08-1.2,-17.7729009530
S22x5/08-1.5,-10.0598332977
S22x5/08-2.0,-3.7839408020
S22x5/09-0.9,-17.0294828232
S22x5/09-1.0,-18.0278594957
S22x5/09-1.2,-14.5338228625
S22x5/09-1.5,-8.5087355498
S22x5/09-2.0,-3.6190694648
S22x5/10-0.9,-3.1239397030
S22x5/10-1.0,-3.3274922930
S22x5/10-1.2,-2.4197569796
S22x5/10-1.5,-1.2214714136
S22x5/10-2.0,-0.4587977791
S22x5/11-0.9,-1.5335724123
S22x5/11-1.0,-1.9109399183
S22x5/11-1.2,-1.3732899890
S22x5/11-1.5,-0.6184827505
S22x5/11-2.0,-0.2032033183
S22x5/12-0.9,-0.2918434868
S22x5/12-1.0,-0.8253661608
S22x5/12-1.2,-0.6351681019
S22x5/12-1.5,-0.1946979921
S22x5/12-2.0,-0.0314942613
S22x5/13-0.9,-0.4552783922
S22x5/13-1.0,-1.3268716072
S22x5/13-1.2,-1.2299623698
S22x5/13-1.5,-0.5339940591
S22x5/13-2.0,-0.1480492515
S22x5/14-0.9, 4.4523306988
S22x5/14-1.0, 0.3493222251
S22x5/14-1.2,-0.1958792787
S22x5/14-1.5, 0.1247624377
S22x5/14-2.0, 0.0847996223
S22x5/15-0.9,-2.6520345688
S22x5/15-1.0,-3.8135974645
S22x5/15-1.2,-3.4568492296
