system,energy
S22x5/01-0.9,-16.1176476767
S22x5/01-1.0,-16.9660944517
S22x5/01-1.2,-13.2530075015
S22x5/01-1.5,-7.0267188768
S22x5/01-2.0,-2.2381665936
S22x5/02-0.9,-0.7029398781
S22x5/02-1.0,-6.6526558983
S22x5/02-1.2,-4.8731282611
S22x5/02-1.5,-1.7874774293
S22x5/02-2.0,-0.6002013915
S22x5/03-0.9,-3.2742341834
S22x5/03-1.0,-3.6935783082
S22x5/03-1.2,-2.5375191725
S22x5/03-1.5,-1.1095689668
S22x5/03-2.0,-0.3466733822
S22x5/04-0.9,-6.1726984998
S22x5/04-1.0,-6.3637061087
S22x5/04-1.2,-4.7924883363
S22x5/04-1.5,-2.5803108006
S22x5/04-2.0,-1.0229735378
S22x5/05-0.9,-0.2370906496
S22x5/05-1.0,-0.3521998581
S22x5/05-1.2,-0.0899049139
S22x5/05-1.5,-0.0040593588
S22x5/05-2.0,-0.0006871229
S22x5/06-0.9,-0.4868522216
S22x5/06-1.0,-1.2025180546
S22x5/06-1.2,-0.4905865932
S22x5/06-1.5,-0.0588664128
S22x5/06-2.0,-0.0035303056
S22x5/07-0.9,-1.2091225919
S22x5/07-1.0,-1.4454882798
S22x5/07-1.2,-0.9827931649
S22x5/07-1.5,-0.4064287249
S22x5/07-2.0,-0.1218709995
S22x5/08-0.9,-21.1578145672
S22x5/08-1.0,-22.2339497037
S22x5/08-1.2,-17.7413592521
S22x5/08-1.5,-10.0529513385
S22x5/08-2.0,-3.7851838356
S22x5/09-0.9,-16.9911797077
S22x5/09-1.0,-17.9993319738
S22x5/09-1.2,-14.5193073760
S22x5/09-1.5,-8.5002803617
S22x5/09-2.0,-3.6155227185
S22x5/10-0.9,-3.0672208786
S22x5/10-1.0,-3.2727740943
S22x5/10-1.2,-2.3923720896
S22x5/10-1.5,-1.2049640866
S22x5/10-2.0,-0.4493663744
S22x5/11-0.9,-1.4973447843
S22x5/11-1.0,-1.8645251760
S22x5/11-1.2,-1.3611019980
S22x5/11-1.5,-0.6072899268
S22x5/11-2.0,-0.1972021942
S22x5/12-0.9,-0.2706696856
S22x5/12-1.0,-0.8052022734
S22x5/12-1.2,-0.6210143120
S22x5/12-1.5,-0.1852545393
S22x5/12-2.0,-0.0279557981
S22x5/13-0.9,-0.3862729950
S22x5/13-1.0,-1.3047755553
S22x5/13-1.2,-1.2121852774
S22x5/13-1.5,-0.5223746544
S22x5/13-2.0,-0.1421601379
S22x5/14-0.9, 4.3980520706
S22x5/14-1.0, 0.3819109884
S22x5/14-1.2,-0.2348242737
S22x5/14-1.5, 0.0981987694
S22x5/14-2.0, 0.0491375686
S22x5/15-0.9,-2.5494081553
S22x5/15-1.0,-3.7530234730
S22x5/15-1.2,-3.3908538071
S22x5/15-1.5,-1.8942051819
S22x5/15-2.0,-0.7459295482
S22x5/16-0.9, 4.6974938813
S22x5/16-1.0,-0.1266496724
S22x5/16-1.2,-0.6451798901
S22x5/16-1.5, 0.1945642071
S22x5/16-2.0, 0.2010554789
S22x5/17-0.9, 2.7225911693
S22x5/17-1.0,-1.3800936978
S22x5/17-1.2,-1.3281320854
S22x5/17-1.5,-0.3228614685
S22x5/17-2.0,-0.0579510648
S22x5/18-0.9,-16.4659037005
S22x5/18-1.0,-17.5342355684
S22x5/18-1.2,-14.1021095846
S22x5/18-1.5,-7.9688951732
S22x5/18-2.0,-3.0347598135
S22x5/19-0.9,-6.0970472126
S22x5/19-1.0,-6.5346173502
S22x5/19-1.2,-5.1065651741
S22x5/19-1.5,-2.7643937170
S22x5/19-2.0,-1.0218565710
S22x5/20-0.9,-2.8956301699
S22x5/20-1.0,-6.7225105668
S22x5/20-1.2,-4.2998645963
S22x5/20-1.5,-1.6271289293
S22x5/20-2.0,-0.5642750936
S22x5/21-0.9,-21.0784317949
S22x5/21-1.0,-22.1287715857
S22x5/21-1.2,-17.9149477626
S22x5/21-1.5,-10.5980884598
S22x5/21-2.0,-4.5162341929
S22x5/22-0.9,-3.8535076319
S22x5/22-1.0,-4.3474864786
S22x5/22-1.2,-3.4646145965
S22x5/22-1.5,-1.8993433550
S22x5/22-2.0,-0.7850141013
S66x8/01-090,-6.3110696727
S66x8/01-095,-6.3563482463
S66x8/01-100,-6.1355602301
S66x8/01-105,-5.7648581296
S66x8/01-110,-5.3216451132
S66x8/01-125,-3.9556890157
S66x8/01-150,-2.2953019588
S66x8/01-200,-0.8836289722
S66x8/02-090,-6.8005680390
S66x8/02-095,-6.8880429225
S66x8/02-100,-6.6735155055
S66x8/02-105,-6.2850382579
S66x8/02-110,-5.8090536219
S66x8/02-125,-4.3106283291
S66x8/02-150,-2.4603058260
S66x8/02-200,-0.9007564668
S66x8/03-090,-7.9730581338
S66x8/03-095,-8.1179293636
S66x8/03-100,-7.9162223417
S66x8/03-105,-7.5060520288
S66x8/03-110,-6.9829440041
S66x8/03-125,-5.2632544780
S66x8/03-150,-3.0208097759
S66x8/03-200,-1.0159721009
S66x8/04-090,-9.4736236104
S66x8/04-095,-9.5943942721
S66x8/04-100,-9.3522366717
S66x8/04-105,-8.8914255913
S66x8/04-110,-8.3120787241
S66x8/04-125,-6.4086950239
S66x8/04-150,-3.8786196825
S66x8/04-200,-1.3131597094
S66x8/05-090,-6.7227819646
S66x8/05-095,-6.8900079057
S66x8/05-100,-6.7331905897
S66x8/05-105,-6.3854054491
S66x8/05-110,-5.9368741643
S66x8/05-125,-4.4701716717
S66x8/05-150,-2.6045140293
S66x8/05-200,-1.0036906110
S66x8/06-090,-8.1633837654
S66x8/06-095,-8.4631899709
S66x8/06-100,-8.3551781456
S66x8/06-105,-7.9959129701
S66x8/06-110,-7.4939127953
S66x8/06-125,-5.7442979700
S66x8/06-150,-3.3805225539
S66x8/06-200,-1.2481771500
S66x8/07-090,-9.2336641757
S66x8/07-095,-9.4739426990
S66x8/07-100,-9.3182309920
S66x8/07-105,-8.9184123265
S66x8/07-110,-8.3800225635
S66x8/07-125,-6.5258321547
S66x8/07-150,-3.6686264608
S66x8/07-200,-1.0613325645
S66x8/08-090,-6.2213264680
S66x8/08-095,-6.3375856503
S66x8/08-100,-6.1667975262
S66x8/08-105,-5.8302660149
S66x8/08-110,-5.4094117885
S66x8/08-125,-4.0679370946
S66x8/08-150,-2.3970153459
S66x8/08-200,-0.9661639129
S66x8/09-090,-3.2767841936
S66x8/09-095,-3.3597830520
S66x8/09-100,-3.2387372902
S66x8/09-105,-3.0089799045
S66x8/09-110,-2.7313934957
S66x8/09-125,-1.9052751393
S66x8/09-150,-1.0065778448
S66x8/09-200,-0.3742122629
S66x8/10-090,-4.1126512862
S66x8/10-095,-4.3759206899
S66x8/10-100,-4.3210163719
S66x8/10-105,-4.0828677413
S66x8/10-110,-3.7508284448
S66x8/10-125,-2.6573516448
S66x8/10-150,-1.1508639220
S66x8/10-200,-0.3455886693
S66x8/11-090,-5.2484307590
S66x8/11-095,-5.5399238445
S66x8/11-100,-5.4935955103
S66x8/11-105,-5.2447408151
S66x8/11-110,-4.8850648091
S66x8/11-125,-3.0260769022
S66x8/11-150,-1.3005805290
S66x8/11-200,-0.5229215289
S66x8/12-090,-8.6184991933
S66x8/12-095,-8.8266214956
S66x8/12-100,-8.6474828519
S66x8/12-105,-8.2336000047
S66x8/12-110,-7.6907473944
S66x8/12-125,-5.8760286494
S66x8/12-150,-3.4988766766
S66x8/12-200,-1.4031490861
S66x8/13-090,-6.3237203264
S66x8/13-095,-6.6056126425
S66x8/13-100,-6.5470107877
S66x8/13-105,-6.2821365913
S66x8/13-110,-5.9024083319
S66x8/13-125,-4.5755242373
S66x8/13-150,-2.8100645467
S66x8/13-200,-1.2364493744
S66x8/14-090,-7.0472088181
S66x8/14-095,-7.4786998321
S66x8/14-100,-7.5033638410
S66x8/14-105,-7.2714206516
S66x8/14-110,-6.8876886307
S66x8/14-125,-5.4275084715
S66x8/14-150,-3.3473810175
S66x8/14-200,-1.3985751068
S66x8/15-090,-8.2034916609
S66x8/15-095,-8.5854889947
S66x8/15-100,-8.5665771141
S66x8/15-105,-8.2946118724
S66x8/15-110,-7.8725484980
S66x8/15-125,-6.2988686922
S66x8/15-150,-4.0331655397
S66x8/15-200,-1.6102903400
S66x8/16-090,-5.7754665538
S66x8/16-095,-5.9635271899
S66x8/16-100,-5.8649163978
S66x8/16-105,-5.5977791513
S66x8/16-110,-5.2411603087
S66x8/16-125,-4.0552896412
S66x8/16-150,-2.5292576965
S66x8/16-200,-1.1658507308
S66x8/17-090,-17.9683785629
S66x8/17-095,-18.7874164162
S66x8/17-100,-18.7336049060
S66x8/17-105,-18.1194273725
S66x8/17-110,-17.1665190325
S66x8/17-125,-13.5766937683
S66x8/17-150,-8.3222005775
S66x8/17-200,-3.2019701296
S66x8/18-090,-7.7525253884
S66x8/18-095,-7.9233863663
S66x8/18-100,-7.7413134883
S66x8/18-105,-7.3471046948
S66x8/18-110,-6.8379155832
S66x8/18-125,-5.1551283206
S66x8/18-150,-2.9634001263
S66x8/18-200,-1.0189081550
S66x8/19-090,-7.8723842788
S66x8/19-095,-8.2026920883
S66x8/19-100,-8.1296632887
S66x8/19-105,-7.8064007163
S66x8/19-110,-7.1395600777
S66x8/19-125,-5.6806926684
S66x8/19-150,-3.1578880282
S66x8/19-200,-1.0461798422
S66x8/20-090,-21.9561975696
S66x8/20-095,-22.7022071253
S66x8/20-100,-22.4675833409
S66x8/20-105,-21.6144589220
S66x8/20-110,-20.3968170732
S66x8/20-125,-16.0739194279
S66x8/20-150,-9.7932780034
S66x8/20-200,-3.6532468938
S66x8/21-090,-17.5044935645
S66x8/21-095,-18.2117597440
S66x8/21-100,-18.0986214801
S66x8/21-105,-17.4669899588
S66x8/21-110,-16.5288469167
S66x8/21-125,-13.0959551832
S66x8/21-150,-8.1876815597
S66x8/21-200,-3.0174702959
S66x8/22-090,-21.3774505389
S66x8/22-095,-22.1879951769
S66x8/22-100,-22.0652981866
S66x8/22-105,-21.3422958266
S66x8/22-110,-20.2555651926
S66x8/22-125,-16.2017358287
S66x8/22-150,-10.2154317391
S66x8/22-200,-4.1567562917
S66x8/23-090,-20.3355972489
S66x8/23-095,-21.1589779698
S66x8/23-100,-21.1287375352
S66x8/23-105,-20.5401725539
S66x8/23-110,-19.6054777392
S66x8/23-125,-15.9930575530
S66x8/23-150,-10.4887239124
S66x8/23-200,-4.6910005387
S66x8/24-090, 4.1687142377
S66x8/24-095, 1.6367056651
S66x8/24-100, 0.4196654097
S66x8/24-105,-0.0929115000
S66x8/24-110,-0.2469107337
S66x8/24-125,-0.0556050578
S66x8/24-150, 0.1707177175
S66x8/24-200, 0.1029877962
S66x8/25-090, 2.8782800349
S66x8/25-095, 0.4192535752
S66x8/25-100,-0.7571208660
S66x8/25-105,-1.2146156843
S66x8/25-110,-1.2983169768
S66x8/25-125,-0.8739829594
S66x8/25-150,-0.2994066075
S66x8/25-200,-0.0983937366
S66x8/26-090,-4.1664139762
S66x8/26-095,-6.1203760696
S66x8/26-100,-6.7224673941
S66x8/26-105,-6.5897976468
S66x8/26-110,-6.0908476072
S66x8/26-125,-4.1411754197
S66x8/26-150,-2.0330619844
S66x8/26-200,-0.7370478418
S66x8/27-090, 3.6345339965
S66x8/27-095, 0.9877500505
S66x8/27-100,-0.2328090897
S66x8/27-105,-0.7034378697
S66x8/27-110,-0.8004731110
S66x8/27-125,-0.4532535446
S66x8/27-150,-0.0283162395
S66x8/27-200, 0.0453544395
S66x8/28-090, 0.8345271089
S66x8/28-095,-1.4017031159
S66x8/28-100,-2.3512659519
S66x8/28-105,-2.5863342013
S66x8/28-110,-2.4555027430
S66x8/28-125,-1.4873235834
S66x8/28-150,-0.4496920518
S66x8/28-200,-0.0469313708
S66x8/29-090, 0.6474888112
S66x8/29-095,-2.4138143393
S66x8/29-100,-3.5488932605
