system,energy
S22x5/01-0.9,-17.3544821536
S22x5/01-1.0,-17.9460326368
S22x5/01-1.2,-13.9080097973
S22x5/01-1.5,-7.3418008591
S22x5/01-2.0,-2.3409731023
S22x5/02-0.9,-3.6070466970
S22x5/02-1.0,-8.2127376365
S22x5/02-1.2,-5.3484100864
S22x5/02-1.5,-1.8274843584
S22x5/02-2.0,-0.6039642520
S22x5/03-0.9,-3.8870102372
S22x5/03-1.0,-4.1040257920
S22x5/03-1.2,-2.7421501376
S22x5/03-1.5,-1.1833336467
S22x5/03-2.0,-0.3693900409
S22x5/04-0.9,-6.8620315252
S22x5/04-1.0,-6.9024212981
S22x5/04-1.2,-5.1018807531
S22x5/04-1.5,-2.6986976165
S22x5/04-2.0,-1.0428172072
S22x5/05-0.9,-0.4881196025
S22x5/05-1.0,-0.4812009340
S22x5/05-1.2,-0.1127609425
S22x5/05-1.5,-0.0033012018
S22x5/05-2.0, 0.0004786642
S22x5/06-0.9,-1.1002760535
S22x5/06-1.0,-1.5447090111
S22x5/06-1.2,-0.5792853712
S22x5/06-1.5,-0.0622018767
S22x5/06-2.0,-0.0027136020
S22x5/07-0.9,-1.4134213534
S22x5/07-1.0,-1.5575374383
S22x5/07-1.2,-1.0066255355
S22x5/07-1.5,-0.4017224665
S22x5/07-2.0,-0.1175221706
S22x5/08-0.9,-22.2209334629
S22x5/08-1.0,-23.1981318161
S22x5/08-1.2,-18.3914804655
S22x5/08-1.5,-10.3427297544
S22x5/08-2.0,-3.8358964530
S22x5/09-0.9,-17.9340068569
S22x5/09-1.0,-18.7605384911
S22x5/09-1.2,-14.9798333161
S22x5/09-1.5,-8.6963496502
S22x5/09-2.0,-3.6443388320
S22x5/10-0.9,-3.6789361904
S22x5/10-1.0,-3.6928432436
S22x5/10-1.2,-2.5670074743
S22x5/10-1.5,-1.2454093312
S22x5/10-2.0,-0.4468255885
S22x5/11-0.9,-2.0166449560
S22x5/11-1.0,-2.2225317558
S22x5/11-1.2,-1.4932013392
S22x5/11-1.5,-0.6366844785
S22x5/11-2.0,-0.1979969977
S22x5/12-0.9,-0.7463023516
S22x5/12-1.0,-1.1196640882
S22x5/12-1.2,-0.7498945296
S22x5/12-1.5,-0.2139160973
S22x5/12-2.0,-0.0310645428
S22x5/13-0.9,-1.0686263581
S22x5/13-1.0,-1.7298604506
S22x5/13-1.2,-1.3912536400
S22x5/13-1.5,-0.5612397047
S22x5/13-2.0,-0.1410958818
S22x5/14-0.9, 3.0233307952
S22x5/14-1.0,-0.4174789784
S22x5/14-1.2,-0.4056641673
S22x5/14-1.5, 0.0968186878
S22x5/14-2.0, 0.0791307018
S22x5/15-0.9,-3.4969993565
S22x5/15-1.0,-4.3730842843
S22x5/15-1.2,-3.6840310026
S22x5/15-1.5,-1.9878991235
S22x5/15-2.0,-0.7719939700
S22x5/16-0.9, 2.6504368669
S22x5/16-1.0,-1.1924397505
S22x5/16-1.2,-1.0019509037
S22x5/16-1.5, 0.0894325875
S22x5/16-2.0, 0.1498000029
S22x5/17-0.9, 1.0587354910
S22x5/17-1.0,-2.2216944699
S22x5/17-1.2,-1.5709699689
S22x5/17-1.5,-0.3761333205
S22x5/17-2.0,-0.0885757861
S22x5/18-0.9,-17.7169168168
S22x5/18-1.0,-18.5530047927
S22x5/18-1.2,-14.7426843082
S22x5/18-1.5,-8.2649457345
S22x5/18-2.0,-3.1066966839
S22x5/19-0.9,-7.2255751859
S22x5/19-1.0,-7.3110831410
S22x5/19-1.2,-5.6642688002
S22x5/19-1.5,-3.0468377394
S22x5/19-2.0,-1.1591932318
S22x5/20-0.9,-4.8854903232
S22x5/20-1.0,-7.8597261576
S22x5/20-1.2,-4.5754584743
S22x5/20-1.5,-1.6229542342
S22x5/20-2.0,-0.5459935463
S22x5/21-0.9,-21.8875413188
S22x5/21-1.0,-22.8406758132
S22x5/21-1.2,-18.2627894420
S22x5/21-1.5,-10.6630868952
S22x5/21-2.0,-4.4209953230
S22x5/22-0.9,-4.3275509418
S22x5/22-1.0,-4.6287662199
S22x5/22-1.2,-3.5499774086
S22x5/22-1.5,-1.8827152952
S22x5/22-2.0,-0.7552608024
S66x8/01-090,-7.0246410046
S66x8/01-095,-6.9925213674
S66x8/01-100,-6.7024248670
S66x8/01-105,-6.2682397665
S66x8/01-110,-5.7670281202
S66x8/01-125,-4.2652665477
S66x8/01-150,-2.4732549233
S66x8/01-200,-0.9827718296
S66x8/02-090,-7.6359347556
S66x8/02-095,-7.6319289861
S66x8/02-100,-7.3344950801
S66x8/02-105,-6.8713691172
S66x8/02-110,-6.3269114632
S66x8/02-125,-4.6643362180
S66x8/02-150,-2.6540588516
S66x8/02-200,-0.9958810045
S66x8/03-090,-8.8989397662
S66x8/03-095,-8.9590984720
S66x8/03-100,-8.6798383072
S66x8/03-105,-8.1995263658
S66x8/03-110,-7.6127886294
S66x8/03-125,-5.7345580189
S66x8/03-150,-3.3213642237
S66x8/03-200,-1.1917653033
S66x8/04-090,-10.4287923650
S66x8/04-095,-10.4545070130
S66x8/04-100,-10.1272639597
S66x8/04-105,-9.5917153087
S66x8/04-110,-8.9427158939
S66x8/04-125,-6.8667840938
S66x8/04-150,-4.1517054051
S66x8/04-200,-1.4511302175
S66x8/05-090,-7.4956448469
S66x8/05-095,-7.5690569293
S66x8/05-100,-7.3265393268
S66x8/05-105,-6.9020819410
S66x8/05-110,-6.3835827850
S66x8/05-125,-4.7482286498
S66x8/05-150,-2.7156413764
S66x8/05-200,-1.0083604110
S66x8/06-090,-9.0797910087
S66x8/06-095,-9.2802880669
S66x8/06-100,-9.0779445621
S66x8/06-105,-8.6317047537
S66x8/06-110,-8.0519913583
S66x8/06-125,-6.1178094931
S66x8/06-150,-3.5593491999
S66x8/06-200,-1.2859062199
S66x8/07-090,-10.1094867418
S66x8/07-095,-10.2537119506
S66x8/07-100,-10.0099457297
S66x8/07-105,-9.5323443155
S66x8/07-110,-8.9195862712
S66x8/07-125,-6.8779735917
S66x8/07-150,-3.8060840426
S66x8/07-200,-1.0480887888
S66x8/08-090,-6.8778573142
S66x8/08-095,-6.9119689175
S66x8/08-100,-6.6677662009
S66x8/08-105,-6.2649893930
S66x8/08-110,-5.7834417600
S66x8/08-125,-4.2997546567
S66x8/08-150,-2.4893615854
S66x8/08-200,-0.9707516346
S66x8/09-090,-3.8895520271
S66x8/09-095,-3.8783536185
S66x8/09-100,-3.6770365937
S66x8/09-105,-3.3803372503
S66x8/09-110,-3.0461512440
S66x8/09-125,-2.0955405927
S66x8/09-150,-1.0962207107
S66x8/09-200,-0.4140468781
S66x8/10-090,-4.9165130111
S66x8/10-095,-5.0569018780
S66x8/10-100,-4.8949853574
S66x8/10-105,-4.5636892831
S66x8/10-110,-4.1523532459
S66x8/10-125,-2.8855824254
S66x8/10-150,-1.2046038334
S66x8/10-200,-0.3348132021
S66x8/11-090,-6.0547980665
S66x8/11-095,-6.2187674216
S66x8/11-100,-6.0627708881
S66x8/11-105,-5.7188982689
S66x8/11-110,-5.2760959574
S66x8/11-125,-3.1615989310
S66x8/11-150,-1.2768764213
S66x8/11-200,-0.4561214511
S66x8/12-090,-9.3819588462
S66x8/12-095,-9.4897749513
S66x8/12-100,-9.2172255610
S66x8/12-105,-8.7185272155
S66x8/12-110,-8.1000037397
S66x8/12-125,-6.1016921632
S66x8/12-150,-3.5262286223
S66x8/12-200,-1.2911936147
S66x8/13-090,-7.0967376389
S66x8/13-095,-7.2762597536
S66x8/13-100,-7.1274632638
S66x8/13-105,-6.7812731267
S66x8/13-110,-6.3286713135
S66x8/13-125,-4.8358802400
S66x8/13-150,-2.9164055026
S66x8/13-200,-1.2452391507
S66x8/14-090,-7.8685307431
S66x8/14-095,-8.2002023818
S66x8/14-100,-8.1370729834
S66x8/14-105,-7.8272839806
S66x8/14-110,-7.3728718025
S66x8/14-125,-5.7370860036
S66x8/14-150,-3.4798071657
