system,energy
S22x5/01-0.9,-17.2855800446
S22x5/01-1.0,-17.9153904079
S22x5/01-1.2,-13.8418178389
S22x5/01-1.5,-7.2915563638
S22x5/01-2.0,-2.2826789781
S22x5/02-0.9,-3.4545943998
S22x5/02-1.0,-8.2547165143
S22x5/02-1.2,-5.3558212871
S22x5/02-1.5,-1.8356800715
S22x5/02-2.0,-0.6051572103
S22x5/03-0.9,-3.8285058346
S22x5/03-1.0,-4.0736883445
S22x5/03-1.2,-2.7096134576
S22x5/03-1.5,-1.1330739029
S22x5/03-2.0,-0.3309798095
S22x5/04-0.9,-6.8119051272
S22x5/04-1.0,-6.8608155374
S22x5/04-1.2,-5.0775919949
S22x5/04-1.5,-2.6868616583
S22x5/04-2.0,-1.0342240925
S22x5/05-0.9,-0.4905514527
S22x5/05-1.0,-0.4871224272
S22x5/05-1.2,-0.1141572766
S22x5/05-1.5,-0.0022040643
S22x5/05-2.0, 0.0022019935
S22x5/06-0.9,-1.0926866401
S22x5/06-1.0,-1.5357248325
S22x5/06-1.2,-0.5743513897
S22x5/06-1.5,-0.0619941083
S22x5/06-2.0,-0.0030978888
S22x5/07-0.9,-1.3949263902
S22x5/07-1.0,-1.5440567778
S22x5/07-1.2,-1.0030887039
S22x5/07-1.5,-0.3952253589
S22x5/07-2.0,-0.1167287476
S22x5/08-0.9,-22.1850783246
S22x5/08-1.0,-23.1520150781
S22x5/08-1.2,-18.3577306842
S22x5/08-1.5,-10.3438732649
S22x5/08-2.0,-3.8356238629
S22x5/09-0.9,-17.9060162948
S22x5/09-1.0,-18.7303879159
S22x5/09-1.2,-14.9684241899
S22x5/09-1.5,-8.6966116982
S22x5/09-2.0,-3.6334012164
S22x5/10-0.9,-3.6158652759
S22x5/10-1.0,-3.6235955024
S22x5/10-1.2,-2.5239160222
S22x5/10-1.5,-1.2214354573
S22x5/10-2.0,-0.4367572618
S22x5/11-0.9,-1.9929687726
S22x5/11-1.0,-2.1814760072
S22x5/11-1.2,-1.4869941410
S22x5/11-1.5,-0.6436710435
S22x5/11-2.0,-0.2208133049
S22x5/12-0.9,-0.7177393126
S22x5/12-1.0,-1.0872611305
S22x5/12-1.2,-0.7112307216
S22x5/12-1.5,-0.2026086903
S22x5/12-2.0,-0.0306912374
S22x5/13-0.9,-0.9879075554
S22x5/13-1.0,-1.6970156634
S22x5/13-1.2,-1.3511349513
S22x5/13-1.5,-0.5300792785
S22x5/13-2.0,-0.1360589888
S22x5/14-0.9, 3.0142364886
S22x5/14-1.0,-0.3698409692
S22x5/14-1.2,-0.3792172157
S22x5/14-1.5, 0.1465803774
S22x5/14-2.0, 0.1249392699
S22x5/15-0.9,-3.4120336951
S22x5/15-1.0,-4.3084612251
S22x5/15-1.2,-3.6365887135
S22x5/15-1.5,-1.9396619682
S22x5/15-2.0,-0.7650039536
S22x5/16-0.9, 2.7032230894
S22x5/16-1.0,-1.2625877795
S22x5/16-1.2,-1.0994004267
S22x5/16-1.5, 0.0217965417
S22x5/16-2.0, 0.0697575927
S22x5/17-0.9, 1.1244370508
S22x5/17-1.0,-2.2528527626
S22x5/17-1.2,-1.5606869083
S22x5/17-1.5,-0.3307854698
S22x5/17-2.0,-0.0408366851
S22x5/18-0.9,-17.6854831729
S22x5/18-1.0,-18.5267546281
S22x5/18-1.2,-14.7273704415
S22x5/18-1.5,-8.2627027019
S22x5/18-2.0,-3.0965537462
S22x5/19-0.9,-7.1181151296
S22x5/19-1.0,-7.2970177670
S22x5/19-1.2,-5.5747071966
S22x5/19-1.5,-2.9669899825
S22x5/19-2.0,-1.0820631557
S22x5/20-0.9,-4.9124781252
S22x5/20-1.0,-7.8472576699
S22x5/20-1.2,-4.5843128839
S22x5/20-1.5,-1.6259865482
S22x5/20-2.0,-0.5505743027
S22x5/21-0.9,-21.9110166992
S22x5/21-1.0,-22.7903735242
S22x5/21-1.2,-18.3002941144
S22x5/21-1.5,-10.7345367554
S22x5/21-2.0,-4.4823373233
S22x5/22-0.9,-4.2443079823
S22x5/22-1.0,-4.5805814616
S22x5/22-1.2,-3.5072844878
S22x5/22-1.5,-1.8483530019
S22x5/22-2.0,-0.7487237852
S66x8/01-090,-6.9829344659
S66x8/01-095,-6.9537788697
S66x8/01-100,-6.6654254651
S66x8/01-105,-6.2354269196
S66x8/01-110,-5.7413803019
S66x8/01-125,-4.2559702459
S66x8/01-150,-2.4682174027
S66x8/01-200,-0.9835832621
S66x8/02-090,-7.6057502321
S66x8/02-095,-7.6032972348
S66x8/02-100,-7.3086544910
S66x8/02-105,-6.8488469864
S66x8/02-110,-6.3091296017
S66x8/02-125,-4.6635328803
S66x8/02-150,-2.6640777934
S66x8/02-200,-1.0101890991
S66x8/03-090,-8.8613621143
S66x8/03-095,-8.9194827321
S66x8/03-100,-8.6388382814
S66x8/03-105,-8.1588973864
S66x8/03-110,-7.5735217847
S66x8/03-125,-5.7109039238
S66x8/03-150,-3.3186509355
S66x8/03-200,-1.1988593606
S66x8/04-090,-10.4050363624
S66x8/04-095,-10.4408125600
S66x8/04-100,-10.1177270707
S66x8/04-105,-9.5843731340
S66x8/04-110,-8.9345520584
S66x8/04-125,-6.8626105282
S66x8/04-150,-4.1627946898
S66x8/04-200,-1.4646967841
S66x8/05-090,-7.4615931708
S66x8/05-095,-7.5366532814
S66x8/05-100,-7.2957001226
S66x8/05-105,-6.8727724794
S66x8/05-110,-6.3568604196
S66x8/05-125,-4.7314561374
S66x8/05-150,-2.7076772771
S66x8/05-200,-0.9941578635
S66x8/06-090,-9.0477976264
S66x8/06-095,-9.2479429028
S66x8/06-100,-9.0448030257
S66x8/06-105,-8.5986740982
S66x8/06-110,-8.0218230873
S66x8/06-125,-6.1004497572
S66x8/06-150,-3.5523353382
S66x8/06-200,-1.2766983969
S66x8/07-090,-10.0727878542
S66x8/07-095,-10.2239098942
S66x8/07-100,-9.9844952632
S66x8/07-105,-9.5046619861
S66x8/07-110,-8.8939408375
S66x8/07-125,-6.8641225123
S66x8/07-150,-3.7939177007
S66x8/07-200,-1.0399146621
S66x8/08-090,-6.8415093927
S66x8/08-095,-6.8782252230
S66x8/08-100,-6.6348559645
S66x8/08-105,-6.2348062500
S66x8/08-110,-5.7584930500
S66x8/08-125,-4.2849505159
S66x8/08-150,-2.4758099536
S66x8/08-200,-0.9540092426
S66x8/09-090,-3.8542853044
S66x8/09-095,-3.8473483127
S66x8/09-100,-3.6507610150
S66x8/09-105,-3.3561085448
S66x8/09-110,-3.0224290013
S66x8/09-125,-2.0734610443
S66x8/09-150,-1.0710140317
S66x8/09-200,-0.3990641482
S66x8/10-090,-4.8796029038
S66x8/10-095,-5.0211045333
S66x8/10-100,-4.8636223711
S66x8/10-105,-4.5367733310
S66x8/10-110,-4.1284989125
S66x8/10-125,-2.8626079858
