system,energy
S22x5/01-0.9,-16.3979788119
S22x5/01-1.0,-17.2322170782
S22x5/01-1.2,-13.5449300544
S22x5/01-1.5,-7.2306462782
S22x5/01-2.0,-2.3240770332
S22x5/02-0.9,-2.0315397092
S22x5/02-1.0,-7.3568947211
S22x5/02-1.2,-5.1336127149
S22x5/02-1.5,-1.8133396047
S22x5/02-2.0,-0.6110574936
S22x5/03-0.9,-3.4685911868
S22x5/03-1.0,-3.8521276130
S22x5/03-1.2,-2.6550454220
S22x5/03-1.5,-1.1640781420
S22x5/03-2.0,-0.3663829527
S22x5/04-0.9,-6.4704944787
S22x5/04-1.0,-6.6215024374
S22x5/04-1.2,-4.9769141238
S22x5/04-1.5,-2.6741753620
S22x5/04-2.0,-1.0490071489
S22x5/05-0.9,-0.3462112842
S22x5/05-1.0,-0.4189574535
S22x5/05-1.2,-0.1012984779
S22x5/05-1.5,-0.0027233284
S22x5/05-2.0, 0.0005090984
S22x5/06-0.9,-0.7358727676
S22x5/06-1.0,-1.3683332289
S22x5/06-1.2,-0.5447533366
S22x5/06-1.5,-0.0598268160
S22x5/06-2.0,-0.0028975878
S22x5/07-0.9,-1.2504744622
S22x5/07-1.0,-1.4723457481
S22x5/07-1.2,-0.9880526983
S22x5/07-1.5,-0.4019525743
S22x5/07-2.0,-0.1190011477
S22x5/08-0.9,-21.5064788487
S22x5/08-1.0,-22.6126034787
S22x5/08-1.2,-18.0630126392
S22x5/08-1.5,-10.2521435534
S22x5/08-2.0,-3.8439394929
S22x5/09-0.9,-17.1305432868
S22x5/09-1.0,-18.1751276234
S22x5/09-1.2,-14.7133029340
S22x5/09-1.5,-8.6426997237
S22x5/09-2.0,-3.6564534672
S22x5/10-0.9,-3.3824784382
S22x5/10-1.0,-3.5091297422
S22x5/10-1.2,-2.5055879137
S22x5/10-1.5,-1.2408187229
S22x5/10-2.0,-0.4549901771
S22x5/11-0.9,-1.7502888960
S22x5/11-1.0,-2.0597485818
S22x5/11-1.2,-1.4431348055
S22x5/11-1.5,-0.6308805179
S22x5/11-2.0,-0.2014627952
S22x5/12-0.9,-0.4921304548
S22x5/12-1.0,-0.9645522175
S22x5/12-1.2,-0.6982617322
S22x5/12-1.5,-0.2057444806
S22x5/12-2.0,-0.0314060961
S22x5/13-0.9,-0.7105183101
S22x5/13-1.0,-1.5110509089
S22x5/13-1.2,-1.3142578509
S22x5/13-1.5,-0.5511182907
S22x5/13-2.0,-0.1442744055
S22x5/14-0.9, 3.8105700451
S22x5/14-1.0,-0.0013777598
S22x5/14-1.2,-0.3061909890
S22x5/14-1.5, 0.1087943296
S22x5/14-2.0, 0.0761191583
S22x5/15-0.9,-2.9926971004
S22x5/15-1.0,-4.0511835329
S22x5/15-1.2,-3.5603467517
S22x5/15-1.5,-1.9657354261
S22x5/15-2.0,-0.7746913822
S22x5/16-0.9, 3.7557659404
S22x5/16-1.0,-0.5797182900
S22x5/16-1.2,-0.8100125100
S22x5/16-1.5, 0.1364864482
S22x5/16-2.0, 0.1644199697
S22x5/17-0.9, 1.9295702982
S22x5/17-1.0,-1.7824958825
S22x5/17-1.2,-1.4686782689
S22x5/17-1.5,-0.3627456568
S22x5/17-2.0,-0.0862915888
S22x5/18-0.9,-16.7011890681
S22x5/18-1.0,-17.7834112975
S22x5/18-1.2,-14.3410016885
S22x5/18-1.5,-8.1364853208
S22x5/18-2.0,-3.0878123510
S22x5/19-0.9,-6.6716849976
S22x5/19-1.0,-6.9235309677
S22x5/19-1.2,-5.4811188649
S22x5/19-1.5,-3.0016769492
S22x5/19-2.0,-1.1577748093
S22x5/20-0.9,-3.7439403361
S22x5/20-1.0,-7.2586214663
S22x5/20-1.2,-4.4462355110
S22x5/20-1.5,-1.6202785966
S22x5/20-2.0,-0.5529626037
S22x5/21-0.9,-21.0580402471
S22x5/21-1.0,-22.2358951713
S22x5/21-1.2,-18.0097842108
S22x5/21-1.5,-10.6575417822
S22x5/21-2.0,-4.4843643044
S22x5/22-0.9,-4.1024477312
S22x5/22-1.0,-4.5110189617
S22x5/22-1.2,-3.5405238529
S22x5/22-1.5,-1.9131509480
S22x5/22-2.0,-0.7782843132
S66x8/01-090,-6.6523796686
S66x8/01-095,-6.6766977315
S66x8/01-100,-6.4369364643
S66x8/01-105,-6.0469594064
S66x8/01-110,-5.5838535865
S66x8/01-125,-4.1636820510
S66x8/01-150,-2.4316617128
S66x8/01-200,-0.9610736188
S66x8/02-090,-7.2275635124
S66x8/02-095,-7.2822744319
S66x8/02-100,-7.0380813790
S66x8/02-105,-6.6224581344
S66x8/02-110,-6.1196130808
S66x8/02-125,-4.5492494744
S66x8/02-150,-2.6101822596
S66x8/02-200,-0.9767794279
S66x8/03-090,-8.3795073154
S66x8/03-095,-8.5016830336
S66x8/03-100,-8.2792685755
S66x8/03-105,-7.8504419040
S66x8/03-110,-7.3096325272
S66x8/03-125,-5.5375024110
S66x8/03-150,-3.2171196516
S66x8/03-200,-1.1351094809
S66x8/04-090,-9.9574273283
S66x8/04-095,-10.0449979069
S66x8/04-100,-9.7745646041
S66x8/04-105,-9.2902451362
S66x8/04-110,-8.6867967597
S66x8/04-125,-6.7158125306
S66x8/04-150,-4.0882421090
S66x8/04-200,-1.4229808955
S66x8/05-090,-7.0779589159
S66x8/05-095,-7.2146055045
S66x8/05-100,-7.0294295294
S66x8/05-105,-6.6562345221
S66x8/05-110,-6.1827266032
S66x8/05-125,-4.6478826058
S66x8/05-150,-2.6961898377
S66x8/05-200,-1.0214675151
S66x8/06-090,-8.5094810311
S66x8/06-095,-8.7845318624
S66x8/06-100,-8.6503329372
S66x8/06-105,-8.2658751388
S66x8/06-110,-7.7413000597
S66x8/06-125,-5.9342543122
S66x8/06-150,-3.4898317550
S66x8/06-200,-1.2786311888
S66x8/07-090,-9.5925360911
S66x8/07-095,-9.8046841176
S66x8/07-100,-9.6232307170
S66x8/07-105,-9.2023528962
S66x8/07-110,-8.6408080964
S66x8/07-125,-6.7194628160
S66x8/07-150,-3.7644426394
S66x8/07-200,-1.0612379361
S66x8/08-090,-6.5013267803
S66x8/08-095,-6.5966731426
S66x8/08-100,-6.4070435445
S66x8/08-105,-6.0522324312
S66x8/08-110,-5.6121159857
S66x8/08-125,-4.2180932092
S66x8/08-150,-2.4760061758
S66x8/08-200,-0.9827093924
S66x8/09-090,-3.5306005436
S66x8/09-095,-3.5899136803
S66x8/09-100,-3.4468741507
S66x8/09-105,-3.1976988608
S66x8/09-110,-2.9016733371
S66x8/09-125,-2.0243741157
S66x8/09-150,-1.0706073428
S66x8/09-200,-0.4040846632
S66x8/10-090,-4.4122447661
S66x8/10-095,-4.6467664547
S66x8/10-100,-4.5644913030
S66x8/10-105,-4.3000308236
S66x8/10-110,-3.9436707032
S66x8/10-125,-2.7863059713
S66x8/10-150,-1.1888734259
S66x8/10-200,-0.3421629068
S66x8/11-090,-5.5637006805
