system,energy
S22x5/01-0.9,-11.8785084272
S22x5/01-1.0,-13.3083126724
S22x5/01-1.2,-10.9048161577
S22x5/01-1.5,-6.0802226796
S22x5/01-2.0,-2.1360699864
S22x5/02-0.9, 5.9277973652
S22x5/02-1.0,-1.4191751133
S22x5/02-1.2,-2.9668789761
S22x5/02-1.5,-1.5416649627
S22x5/02-2.0,-0.5744912615
S22x5/03-0.9,-1.6372521004
S22x5/03-1.0,-2.4547981753
S22x5/03-1.2,-2.0231654697
S22x5/03-1.5,-1.0170204182
S22x5/03-2.0,-0.3507619829
S22x5/04-0.9,-4.0924643065
S22x5/04-1.0,-4.7309472272
S22x5/04-1.2,-3.9023872314
S22x5/04-1.5,-2.2825015812
S22x5/04-2.0,-0.9696379936
S22x5/05-0.9, 0.8042440664
S22x5/05-1.0, 0.1485358851
S22x5/05-1.2, 0.0012868337
S22x5/05-1.5, 0.0015231537
S22x5/05-2.0, 0.0004860688
S22x5/06-0.9, 1.4712776642
S22x5/06-1.0,-0.0165275955
S22x5/06-1.2,-0.2047160554
S22x5/06-1.5,-0.0471304796
S22x5/06-2.0,-0.0024894556
S22x5/07-0.9,-0.3555514490
S22x5/07-1.0,-0.8226363063
S22x5/07-1.2,-0.7185760965
S22x5/07-1.5,-0.3486266936
S22x5/07-2.0,-0.1127222879
S22x5/08-0.9,-16.0134779036
S22x5/08-1.0,-17.8006895826
S22x5/08-1.2,-14.6944494746
S22x5/08-1.5,-8.6234145378
S22x5/08-2.0,-3.4728293858
S22x5/09-0.9,-12.5177225847
S22x5/09-1.0,-14.1752641998
S22x5/09-1.2,-12.0483267981
S22x5/09-1.5,-7.4847276881
S22x5/09-2.0,-3.4115453045
S22x5/10-0.9,-1.6620659585
S22x5/10-1.0,-2.2015937727
S22x5/10-1.2,-1.8986256724
S22x5/10-1.5,-1.1047663230
S22x5/10-2.0,-0.4427102559
S22x5/11-0.9,-0.1542300316
S22x5/11-1.0,-0.8908080571
S22x5/11-1.2,-0.9192743969
S22x5/11-1.5,-0.5196207036
S22x5/11-2.0,-0.1910197198
S22x5/12-0.9, 1.0591893059
S22x5/12-1.0, 0.1682573784
S22x5/12-1.2,-0.1987015653
S22x5/12-1.5,-0.1252330070
S22x5/12-2.0,-0.0274780751
S22x5/13-0.9, 1.2956178075
S22x5/13-1.0, 0.0744760247
S22x5/13-1.2,-0.5393626537
S22x5/13-1.5,-0.3496866199
S22x5/13-2.0,-0.1319758473
S22x5/14-0.9, 6.7334968771
S22x5/14-1.0, 2.0304021600
S22x5/14-1.2, 0.3752394960
S22x5/14-1.5, 0.1621485736
S22x5/14-2.0, 0.0838321282
S22x5/15-0.9,-0.4561951835
S22x5/15-1.0,-1.9975254326
S22x5/15-1.2,-2.4940791389
S22x5/15-1.5,-1.7026402819
S22x5/15-2.0,-0.7821473243
S22x5/16-0.9, 7.5265685766
S22x5/16-1.0, 2.4290662081
S22x5/16-1.2, 0.3218627871
S22x5/16-1.5, 0.2024352467
S22x5/16-2.0, 0.1178341683
S22x5/17-0.9, 5.6375213343
S22x5/17-1.0, 0.9669993789
S22x5/17-1.2,-0.5507867147
S22x5/17-1.5,-0.2920083964
S22x5/17-2.0,-0.0979525347
S22x5/18-0.9,-12.7337211976
S22x5/18-1.0,-14.2472826464
S22x5/18-1.2,-11.8887765529
S22x5/18-1.5,-7.0291798434
S22x5/18-2.0,-2.8882915093
S22x5/19-0.9,-2.7128893080
S22x5/19-1.0,-3.6376066594
S22x5/19-1.2,-3.6121369284
S22x5/19-1.5,-2.3316820715
S22x5/19-2.0,-1.1027384006
S22x5/20-0.9, 3.0229051555
S22x5/20-1.0,-2.7870191357
S22x5/20-1.2,-3.0961772405
S22x5/20-1.5,-1.4816106745
S22x5/20-2.0,-0.5283877639
S22x5/21-0.9,-15.8873901032
S22x5/21-1.0,-17.6649483647
S22x5/21-1.2,-14.7830750223
S22x5/21-1.5,-9.0880396836
S22x5/21-2.0,-4.0271886375
S22x5/22-0.9,-2.0491299920
S22x5/22-1.0,-2.8133486803
S22x5/22-1.2,-2.6041104780
S22x5/22-1.5,-1.6277613961
S22x5/22-2.0,-0.7139999836
S66x8/01-090,-4.4233809257
S66x8/01-095,-4.7026233320
S66x8/01-100,-4.7079991429
S66x8/01-105,-4.5478567171
S66x8/01-110,-4.2948090035
S66x8/01-125,-3.3886282820
S66x8/01-150,-2.1370957761
S66x8/01-200,-0.9284231085
S66x8/02-090,-4.4954435490
S66x8/02-095,-4.8549375772
S66x8/02-100,-4.9011454924
S66x8/02-105,-4.7585356184
S66x8/02-110,-4.5062244128
S66x8/02-125,-3.5514998721
S66x8/02-150,-2.2050219824
S66x8/02-200,-0.9186867970
S66x8/03-090,-6.3792608135
S66x8/03-095,-6.6746263855
S66x8/03-100,-6.6247795429
S66x8/03-105,-6.3659069726
S66x8/03-110,-5.9904499192
S66x8/03-125,-4.6597392718
S66x8/03-150,-2.8410460700
S66x8/03-200,-1.1152951790
S66x8/04-090,-6.5203473454
S66x8/04-095,-6.9321852020
S66x8/04-100,-6.9746348374
S66x8/04-105,-6.7928405736
S66x8/04-110,-6.4766687955
S66x8/04-125,-5.2595353549
S66x8/04-150,-3.4262535619
S66x8/04-200,-1.3452096930
S66x8/05-090,-4.2719015191
S66x8/05-095,-4.7074404713
S66x8/05-100,-4.8084302145
S66x8/05-105,-4.7057534120
S66x8/05-110,-4.4819576801
S66x8/05-125,-3.5678921766
S66x8/05-150,-2.2263247368
S66x8/05-200,-0.9157173595
S66x8/06-090,-6.0579639773
S66x8/06-095,-6.5683717750
S66x8/06-100,-6.6452035958
S66x8/06-105,-6.4596832435
S66x8/06-110,-6.1347398242
S66x8/06-125,-4.8609540753
S66x8/06-150,-2.9924690007
S66x8/06-200,-1.1852437228
S66x8/07-090,-6.1240317515
S66x8/07-095,-6.6458020516
S66x8/07-100,-6.7692615913
S66x8/07-105,-6.6452942082
S66x8/07-110,-6.3661971330
S66x8/07-125,-5.1827196611
S66x8/07-150,-3.1188119465
S66x8/07-200,-0.9714287173
S66x8/08-090,-4.1773851636
S66x8/08-095,-4.5253511525
S66x8/08-100,-4.5808859292
S66x8/08-105,-4.4583984017
S66x8/08-110,-4.2315139426
S66x8/08-125,-3.3637135203
S66x8/08-150,-2.1201254099
S66x8/08-200,-0.9057237063
S66x8/09-090,-1.4180259552
