system,energy
S22x5/01-0.9,-13.5031828531
S22x5/01-1.0,-14.6725740551
S22x5/01-1.2,-11.7705933639
S22x5/01-1.5,-6.4744555696
S22x5/01-2.0,-2.2241586368
S22x5/02-0.9, 5.3724395578
S22x5/02-1.0,-2.0345996964
S22x5/02-1.2,-3.3765932151
S22x5/02-1.5,-1.6984549819
S22x5/02-2.0,-0.5973788539
S22x5/03-0.9,-2.1969596779
S22x5/03-1.0,-2.8694121965
S22x5/03-1.2,-2.2387029259
S22x5/03-1.5,-1.0875381759
S22x5/03-2.0,-0.3604137061
S22x5/04-0.9,-4.6787656728
S22x5/04-1.0,-5.2062702800
S22x5/04-1.2,-4.1859842397
S22x5/04-1.5,-2.3922114472
S22x5/04-2.0,-0.9825997665
S22x5/05-0.9, 0.5014080569
S22x5/05-1.0,-0.0430644064
S22x5/05-1.2,-0.0851084197
S22x5/05-1.5,-0.0099211130
S22x5/05-2.0, 0.0003881146
S22x5/06-0.9, 0.9646237536
S22x5/06-1.0,-0.3718452345
S22x5/06-1.2,-0.3766923686
S22x5/06-1.5,-0.0764091304
S22x5/06-2.0,-0.0032818746
S22x5/07-0.9,-0.8446064171
S22x5/07-1.0,-1.1967794805
S22x5/07-1.2,-0.9134883203
S22x5/07-1.5,-0.4192023077
S22x5/07-2.0,-0.1209953728
S22x5/08-0.9,-17.4704964190
S22x5/08-1.0,-19.0255876371
S22x5/08-1.2,-15.5604185105
S22x5/08-1.5,-9.0624293904
S22x5/08-2.0,-3.6028807244
S22x5/09-0.9,-14.0353795996
S22x5/09-1.0,-15.4367352636
S22x5/09-1.2,-12.8326222756
S22x5/09-1.5,-7.8282006465
S22x5/09-2.0,-3.4861869917
S22x5/10-0.9,-1.9310773876
S22x5/10-1.0,-2.4822743052
S22x5/10-1.2,-2.0856512316
S22x5/10-1.5,-1.1797311776
S22x5/10-2.0,-0.4539812673
S22x5/11-0.9,-0.4394713030
S22x5/11-1.0,-1.1798308889
S22x5/11-1.2,-1.0768738406
S22x5/11-1.5,-0.5951666947
S22x5/11-2.0,-0.2062636192
S22x5/12-0.9, 0.7667601645
S22x5/12-1.0,-0.1128405734
S22x5/12-1.2,-0.3962099841
S22x5/12-1.5,-0.2052850809
S22x5/12-2.0,-0.0366414077
S22x5/13-0.9, 0.8827928159
S22x5/13-1.0,-0.2572244167
S22x5/13-1.2,-0.7929716745
S22x5/13-1.5,-0.4679391488
S22x5/13-2.0,-0.1555856403
S22x5/14-0.9, 6.6163165736
S22x5/14-1.0, 1.6803760575
S22x5/14-1.2, 0.2045538442
S22x5/14-1.5, 0.1506281900
S22x5/14-2.0, 0.1623911688
S22x5/15-0.9,-0.9741592621
S22x5/15-1.0,-2.4741837627
