system,energy
S22x5/01-0.9,-13.1615812535
S22x5/01-1.0,-14.4983244633
S22x5/01-1.2,-11.7780759123
S22x5/01-1.5,-6.5634465159
S22x5/01-2.0,-2.2503036309
S22x5/02-0.9, 6.7474664303
S22x5/02-1.0,-1.6736422532
S22x5/02-1.2,-3.4919684248
S22x5/02-1.5,-1.7765678005
S22x5/02-2.0,-0.5728648198
S22x5/03-0.9,-2.2788763962
S22x5/03-1.0,-2.9737692184
S22x5/03-1.2,-2.2955336352
S22x5/03-1.5,-1.1139422686
S22x5/03-2.0,-0.3452941163
S22x5/04-0.9,-4.6936262267
S22x5/04-1.0,-5.2719375149
S22x5/04-1.2,-4.2758036868
S22x5/04-1.5,-2.4578409688
S22x5/04-2.0,-0.9925586556
S22x5/05-0.9, 0.4875615583
S22x5/05-1.0,-0.0965527493
S22x5/05-1.2,-0.1248777112
S22x5/05-1.5,-0.0195033710
S22x5/05-2.0,-0.0009130263
S22x5/06-0.9, 1.1275136669
S22x5/06-1.0,-0.3401160337
S22x5/06-1.2,-0.4223659595
S22x5/06-1.5,-0.0926165706
S22x5/06-2.0,-0.0033712946
S22x5/07-0.9,-0.8215406121
S22x5/07-1.0,-1.1903468809
S22x5/07-1.2,-0.9279467034
S22x5/07-1.5,-0.4174563254
S22x5/07-2.0,-0.1152687214
S22x5/08-0.9,-16.5299325082
S22x5/08-1.0,-18.4429260767
S22x5/08-1.2,-15.3549324382
S22x5/08-1.5,-9.0667742660
S22x5/08-2.0,-3.6132299244
S22x5/09-0.9,-13.3818030680
S22x5/09-1.0,-14.9815643638
S22x5/09-1.2,-12.6771973405
S22x5/09-1.5,-7.8038461880
S22x5/09-2.0,-3.4628264456
S22x5/10-0.9,-1.7757544855
S22x5/10-1.0,-2.3665728533
S22x5/10-1.2,-2.0445742732
S22x5/10-1.5,-1.1558973010
S22x5/10-2.0,-0.4076309702
S22x5/11-0.9,-0.3261649293
S22x5/11-1.0,-1.0726375870
S22x5/11-1.2,-1.1067324985
S22x5/11-1.5,-0.6105382296
S22x5/11-2.0,-0.1877995922
S22x5/12-0.9, 0.8520566488
S22x5/12-1.0,-0.0677696427
S22x5/12-1.2,-0.4084329274
S22x5/12-1.5,-0.2129124586
S22x5/12-2.0,-0.0385711248
S22x5/13-0.9, 1.1984699910
S22x5/13-1.0,-0.1729124319
S22x5/13-1.2,-0.7715736642
S22x5/13-1.5,-0.4928610013
S22x5/13-2.0,-0.1462489896
S22x5/14-0.9, 6.5809077200
S22x5/14-1.0, 1.7720440220
S22x5/14-1.2,-0.0257827328
S22x5/14-1.5,-0.0016386155
S22x5/14-2.0, 0.0375400640
S22x5/15-0.9,-0.4565338504
S22x5/15-1.0,-2.1689603935
S22x5/15-1.2,-2.6583412900
S22x5/15-1.5,-1.7668045062
S22x5/15-2.0,-0.7258992576
S22x5/16-0.9, 7.8130776053
S22x5/16-1.0, 2.0305245871
S22x5/16-1.2,-0.1551650207
S22x5/16-1.5, 0.0229783302
S22x5/16-2.0, 0.1432762262
S22x5/17-0.9, 5.6381273202
S22x5/17-1.0, 0.5998486056
S22x5/17-1.2,-0.8857456872
S22x5/17-1.5,-0.3758836345
S22x5/17-2.0,-0.0611221839
S22x5/18-0.9,-14.1365019356
S22x5/18-1.0,-15.5134715774
S22x5/18-1.2,-12.8473044285
S22x5/18-1.5,-7.5707954443
S22x5/18-2.0,-3.0454264705
S22x5/19-0.9,-2.9403589824
S22x5/19-1.0,-4.0628024356
S22x5/19-1.2,-3.7480279955
S22x5/19-1.5,-2.3341036933
S22x5/19-2.0,-0.9625658990
S22x5/20-0.9, 3.1770256240
S22x5/20-1.0,-2.9641261548
S22x5/20-1.2,-3.4547229764
S22x5/20-1.5,-1.6173384009
S22x5/20-2.0,-0.5318445254
S22x5/21-0.9,-17.0488517816
S22x5/21-1.0,-18.6524075017
S22x5/21-1.2,-15.5978587377
S22x5/21-1.5,-9.5258493414
S22x5/21-2.0,-4.1449693419
S22x5/22-0.9,-2.0086856886
S22x5/22-1.0,-2.8768622400
S22x5/22-1.2,-2.6907317603
S22x5/22-1.5,-1.6547466880
S22x5/22-2.0,-0.6897501938
S66x8/01-090,-5.0175439190
S66x8/01-095,-5.2629048298
S66x8/01-100,-5.2264574480
S66x8/01-105,-5.0229361707
S66x8/01-110,-4.7277922978
S66x8/01-125,-3.6950609876
S66x8/01-150,-2.2987242699
S66x8/01-200,-0.9653236777
S66x8/02-090,-5.0804836213
S66x8/02-095,-5.4205901168
S66x8/02-100,-5.4374479706
S66x8/02-105,-5.2586335610
S66x8/02-110,-4.9689942640
S66x8/02-125,-3.8957245240
S66x8/02-150,-2.3998552656
S66x8/02-200,-0.9647168760
S66x8/03-090,-7.1669924701
S66x8/03-095,-7.4376130218
S66x8/03-100,-7.3570281923
S66x8/03-105,-7.0610848096
S66x8/03-110,-6.6432166498
S66x8/03-125,-5.1762655379
S66x8/03-150,-3.1584822170
S66x8/03-200,-1.2191912324
S66x8/04-090,-7.0525231958
S66x8/04-095,-7.4672327239
S66x8/04-100,-7.5032546543
S66x8/04-105,-7.3024188038
S66x8/04-110,-6.9619513021
S66x8/04-125,-5.6436673504
S66x8/04-150,-3.6827323089
S66x8/04-200,-1.4151658297
S66x8/05-090,-4.8967483452
S66x8/05-095,-5.3060657472
S66x8/05-100,-5.3737011656
S66x8/05-105,-5.2312334226
S66x8/05-110,-4.9667752650
S66x8/05-125,-3.9242912653
S66x8/05-150,-2.4160540461
S66x8/05-200,-0.9374777565
S66x8/06-090,-6.8809853234
S66x8/06-095,-7.3569504439
S66x8/06-100,-7.4143437782
S66x8/06-105,-7.2087128140
S66x8/06-110,-6.8440034918
S66x8/06-125,-5.4148605788
S66x8/06-150,-3.3223078725
S66x8/06-200,-1.2619721301
S66x8/07-090,-6.8288296225
S66x8/07-095,-7.3373259636
S66x8/07-100,-7.4386445219
S66x8/07-105,-7.2817492692
S66x8/07-110,-6.9685452972
S66x8/07-125,-5.6700266389
S66x8/07-150,-3.4103057223
S66x8/07-200,-1.0063796773
S66x8/08-090,-4.7974434649
S66x8/08-095,-5.1067795941
S66x8/08-100,-5.1167695449
S66x8/08-105,-4.9462473593
S66x8/08-110,-4.6738172586
S66x8/08-125,-3.6700327722
S66x8/08-150,-2.2697330184
S66x8/08-200,-0.9158960114
S66x8/09-090,-2.0590514188
S66x8/09-095,-2.3858798138
S66x8/09-100,-2.4788077546
S66x8/09-105,-2.4321177239
S66x8/09-110,-2.3078148742
S66x8/09-125,-1.7835931456
S66x8/09-150,-1.0498000071
S66x8/09-200,-0.4077581664
S66x8/10-090,-2.5704120897
