system,energy
S22x5/01-0.9,-5.8242354606
S22x5/01-1.0,-8.8896255175
S22x5/01-1.2,-8.6433531493
S22x5/01-1.5,-5.3520910570
S22x5/01-2.0,-2.0685159559
S22x5/02-0.9,20.1878143752
S22x5/02-1.0, 6.1917614846
S22x5/02-1.2,-1.1254821678
S22x5/02-1.5,-1.5785000825
S22x5/02-2.0,-0.5905930919
S22x5/03-0.9, 0.3079942002
S22x5/03-1.0,-1.3016366274
S22x5/03-1.2,-1.6314869826
S22x5/03-1.5,-0.9883964480
S22x5/03-2.0,-0.3403046630
S22x5/04-0.9,-1.8545917010
S22x5/04-1.0,-3.2106710504
S22x5/04-1.2,-3.2391223300
S22x5/04-1.5,-2.1384769872
S22x5/04-2.0,-0.9674941075
S22x5/05-0.9, 1.6557339486
S22x5/05-1.0, 0.4739955565
S22x5/05-1.2,-0.0550074805
S22x5/05-1.5,-0.0190386375
S22x5/05-2.0,-0.0012110933
S22x5/06-0.9, 4.1947878839
S22x5/06-1.0, 1.3118211062
S22x5/06-1.2,-0.0746736274
S22x5/06-1.5,-0.0829567525
S22x5/06-2.0,-0.0038654584
S22x5/07-0.9, 0.5128321178
S22x5/07-1.0,-0.3764994095
S22x5/07-1.2,-0.6624429267
S22x5/07-1.5,-0.4047749864
S22x5/07-2.0,-0.1241966752
S22x5/08-0.9,-9.0683778664
S22x5/08-1.0,-12.5210291203
S22x5/08-1.2,-11.8298399846
S22x5/08-1.5,-7.5954311526
S22x5/08-2.0,-3.3647811022
S22x5/09-0.9,-7.1107930354
S22x5/09-1.0,-10.2253547347
S22x5/09-1.2,-10.0574331994
S22x5/09-1.5,-6.8312626650
S22x5/09-2.0,-3.3486352835
S22x5/10-0.9, 0.9829057401
S22x5/10-1.0,-0.5052141528
S22x5/10-1.2,-1.2925251898
S22x5/10-1.5,-1.0162076679
S22x5/10-2.0,-0.4193645816
S22x5/11-0.9, 2.1430452562
S22x5/11-1.0, 0.5583642053
S22x5/11-1.2,-0.4521519517
S22x5/11-1.5,-0.4963160685
S22x5/11-2.0,-0.1938502268
S22x5/12-0.9, 3.1745767055
S22x5/12-1.0, 1.4674999316
S22x5/12-1.2, 0.2090924319
S22x5/12-1.5,-0.1016314345
S22x5/12-2.0,-0.0432291277
S22x5/13-0.9, 4.4770981212
S22x5/13-1.0, 2.0418530784
S22x5/13-1.2, 0.1744915595
S22x5/13-1.5,-0.3022713137
S22x5/13-2.0,-0.1510289803
S22x5/14-0.9,13.0649606077
S22x5/14-1.0, 5.3877649707
S22x5/14-1.2, 0.9527727352
S22x5/14-1.5, 0.0521585875
S22x5/14-2.0, 0.0227660437
S22x5/15-0.9, 4.1270356859
S22x5/15-1.0, 1.0576923193
S22x5/15-1.2,-1.1712276084
S22x5/15-1.5,-1.4274146264
S22x5/15-2.0,-0.7260033614
S22x5/16-0.9,16.5790199388
S22x5/16-1.0, 7.2755142723
S22x5/16-1.2, 1.5688678121
S22x5/16-1.5, 0.2032189432
S22x5/16-2.0, 0.1362009314
S22x5/17-0.9,12.8286405397
S22x5/17-1.0, 4.6225422672
S22x5/17-1.2, 0.2544174413
S22x5/17-1.5,-0.2944525457
S22x5/17-2.0,-0.0633157060
S22x5/18-0.9,-6.9163717749
S22x5/18-1.0,-9.9545467460
S22x5/18-1.2,-9.6948519500
S22x5/18-1.5,-6.3189764803
S22x5/18-2.0,-2.8378802219
S22x5/19-0.9, 1.8689051921
S22x5/19-1.0,-0.4556158040
S22x5/19-1.2,-1.8025711656
S22x5/19-1.5,-1.6602833923
S22x5/19-2.0,-0.9200920418
S22x5/20-0.9,12.7668747822
S22x5/20-1.0, 2.3291457409
S22x5/20-1.2,-2.0654035089
S22x5/20-1.5,-1.5625299664
S22x5/20-2.0,-0.5542916688
S22x5/21-0.9,-10.5624214488
S22x5/21-1.0,-13.7322416325
S22x5/21-1.2,-12.9182488926
S22x5/21-1.5,-8.6117831476
S22x5/21-2.0,-4.1261320723
S22x5/22-0.9, 1.1092422226
S22x5/22-1.0,-0.7504009297
S22x5/22-1.2,-1.7810099401
S22x5/22-1.5,-1.4819138243
S22x5/22-2.0,-0.7083954455
S66x8/01-090,-2.3826471987
S66x8/01-095,-3.0228072640
S66x8/01-100,-3.3258190390
S66x8/01-105,-3.4164565074
S66x8/01-110,-3.3702906354
S66x8/01-125,-2.8889783184
S66x8/01-150,-1.9680956147
S66x8/01-200,-0.8605664930
S66x8/02-090,-1.9663448633
S66x8/02-095,-2.7621586537
S66x8/02-100,-3.1739366458
S66x8/02-105,-3.3384633549
S66x8/02-110,-3.3436340330
S66x8/02-125,-2.9234223135
S66x8/02-150,-2.0005127542
S66x8/02-200,-0.8606041436
S66x8/03-090,-3.6136450846
S66x8/03-095,-4.3386883565
S66x8/03-100,-4.6615168806
S66x8/03-105,-4.7230002589
S66x8/03-110,-4.6194172700
S66x8/03-125,-3.8741619180
S66x8/03-150,-2.5353892799
S66x8/03-200,-1.0194267915
S66x8/04-090,-3.0746332715
S66x8/04-095,-3.9967270685
S66x8/04-100,-4.4912861104
S66x8/04-105,-4.6927480272
S66x8/04-110,-4.7053923431
S66x8/04-125,-4.1836872412
S66x8/04-150,-3.0155658047
S66x8/04-200,-1.2576356630
S66x8/05-090,-1.7531547945
S66x8/05-095,-2.6343098734
S66x8/05-100,-3.1117190814
S66x8/05-105,-3.3250848529
S66x8/05-110,-3.3673538911
S66x8/05-125,-3.0015786185
S66x8/05-150,-2.0879812998
S66x8/05-200,-0.9321339486
S66x8/06-090,-2.7706676822
S66x8/06-095,-3.8028266410
S66x8/06-100,-4.3631800513
S66x8/06-105,-4.6032087003
S66x8/06-110,-4.6220214343
S66x8/06-125,-4.0480385182
S66x8/06-150,-2.7561973137
S66x8/06-200,-1.1882456654
S66x8/07-090,-2.6358786471
S66x8/07-095,-3.6870448678
S66x8/07-100,-4.2742682339
S66x8/07-105,-4.5435325493
S66x8/07-110,-4.6071682851
S66x8/07-125,-4.1839507952
S66x8/07-150,-2.8693309968
S66x8/07-200,-1.0152977792
S66x8/08-090,-2.1311288513
S66x8/08-095,-2.8545970744
S66x8/08-100,-3.2196946367
S66x8/08-105,-3.3571066614
S66x8/08-110,-3.3457801153
S66x8/08-125,-2.9171472187
S66x8/08-150,-2.0148136951
S66x8/08-200,-0.9099703139
S66x8/09-090, 0.3744035278
S66x8/09-095,-0.4039780494
S66x8/09-100,-0.8648398326
S66x8/09-105,-1.1199036086
S66x8/09-110,-1.2460518382
S66x8/09-125,-1.2353277013
S66x8/09-150,-0.8751623634
S66x8/09-200,-0.3669612655
S66x8/10-090, 1.0230977220
S66x8/10-095,-0.0863829542
S66x8/10-100,-0.7784882538
S66x8/10-105,-1.1861497838
S66x8/10-110,-1.4001932654
S66x8/10-125,-1.4953425270
S66x8/10-150,-0.9825417846
S66x8/10-200,-0.3323415678
S66x8/11-090, 1.2959451165
S66x8/11-095, 0.0392067920
S66x8/11-100,-0.7725080885
S66x8/11-105,-1.2781175723
S66x8/11-110,-1.5773705655
S66x8/11-125,-1.7455682050
S66x8/11-150,-1.1169982397
